"All Websites","Alle Webseiten"
"Apply Discounts To FPT","Rabatte auf FPT anwenden"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Display Prices In Product Lists","Preise in Produktlisten anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices On Product View Page","Preise auf der Produktansicht anzeigen"
"Enable FPT","FPT aktivieren"
"Excluding FPT","FPT ausschließen"
"Excluding FPT, FPT description, final price","Ohne FPT, FPT-Beschreibung, Endpreis"
"FPT Tax Configuration","FPT-Steuerkonfiguration"
"Fixed Product Tax","Feste Produktsteuer"
"Fixed Product Taxes","Feste Produktsteuern"
"Include FPT In Subtotal","FPT in Zwischensumme aufnehmen"
"Including FPT and FPT description","Einschließlich FPT- und FPT-Beschreibung"
"Including FPT and FPT description [incl. FPT VAT]","Einschließlich FPT und FPT Beschreibung [inkl. FPT MwSt]"
"Including FPT only","Nur FPT einschließen"
"Loaded and Displayed with Tax","Geladen und mit Steuern angezeigt"
"Not Taxed","Nicht besteuert"
"Taxed","Besteuert"
"Total","Gesamt"
"Total Incl. Tax","Gesamt inkl. Steuern"
"Total excl. tax","Gesamt exkl. Steuern"
"Total incl. tax","Gesamt inkl. Steuern"
"Total:","Gesamt:"
