"* Select shipping method","* Versandart auswählen"
"2Day","2 Tage"
"2nd Day Air","2. Tag Luft"
"2nd Day Air AM","2. Tag Air AM"
"3 Day Select","3 Tage Auswahl"
"<br />Warning: <strong>%s</strong><br />","<br />Warnung: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Warnung!</strong> Diese Option deaktiviert den berechneten Versandhandel. Mit dieser Option ignoriert Google API jeden Versuch, die Versandkosten zu beeinflussen."
"A virtual item to reflect the discount total","Ein virtueller Artikel, der den Rabatt insgesamt widerspiegelt"
"A virtual item to reflect the tax total","Ein virtueller Artikel, der die Steuersumme widerspiegelt"
"AVS Status: %s","AVS-Status: %s"
"Add Shipping Method","Versandart hinzufügen"
"Allowed Methods","Erlaubte Methoden"
"Amount: %s","Betrag: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch generiert von GoogleCheckout Charge"
"Buyer Account Age: %s days","Käuferkonto: %s Tage"
"CC Partial: xxxx-%s","CC Teil: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Versanddienst berechnete Methoden"
"Cart Discount","Warenkorb-Rabatt"
"Checkout Image Style","Bildstil für Checkout"
"Commercial","Kommerzielle"
"Continue Shopping URL","Shopping-URL fortsetzen"
"Credit memo has been created automatically","Rechnungskorrektur wurde automatisch erstellt"
"Debug","Debug"
"Default Package Height (in)","Standard-Pakethöhe (in)"
"Default Package Length (in)","Standard-Paketlänge (in)"
"Default Package Width (in)","Standard-Paketbreite (in)"
"Default Price for Methods","Standardpreis für Methoden"
"Default price:","Standardpreis:"
"Delivery Address Category","Lieferadresse: Kategorie"
"Delivery Schedule","Lieferzeitplan"
"Description-based delivery","Beschreibungsbasierte Lieferung"
"Disable Default Tax Tables","Standardsteuertabellen deaktivieren"
"Discount Tax","Rabattsteuer"
"Eligible for Protection: %s","Berechtigt für Schutz: %s"
"Email delivery","E-Mail-Versand"
"Enable","Aktivieren"
"Enable Carrier Calculated","Errechnete Versanddienste aktivieren"
"Enable Digital Delivery","Digitale Lieferung aktivieren"
"Enable Flat Rate","Pauschale aktivieren"
"Enable Merchant Calculated","Aktiviere die Berechnung des Händlers"
"Enable this if your checkout request is too big and being cut off.","Aktivieren Sie dies, wenn Ihre Checkout-Anfrage zu groß ist und abgeschnitten wird."
"Expiration: %s","Ablauf: %s"
"Express Mail","Express-Mail"
"Express Saver","Express-Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Finanzen: %s -> %s"
"First Overnight","Erste Übernachtung"
"Free Shipping","Kostenloser Versand"
"Fulfillment: %s -> %s","Erfüllung: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google-Autorisierung:"
"Google Buyer ID: %s","Google Käufer-ID: %s"
"Google Charge:","Google Gebühr:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google-Checkout"
