"%s Index process is working now. Please try run this process later.","Der %s Indexprozess funktioniert jetzt. Bitte versuchen Sie es später erneut."
"'%s' Index Process Information","'%s' Indexprozessinformationen"
"Action","Aktion"
"Already running, skipped.","Bereits gestartet, übersprungen."
"Cannot initialize the indexer process.","Der Indexer-Prozess kann nicht initialisiert werden."
"Change Index Mode","Indexmodus ändern"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klicken Sie hier, um zur <a href=""%s"">Cache-Verwaltung</a> zu gehen und Cache-Typen zu aktualisieren."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klicken Sie hier, um zur <a href=""%s"">Index-Verwaltung</a> zu gehen und benötigte Indizes neu zu erstellen."
"Close","Schließen"
"Delete","Löschen"
"Description","Beschreibung"
"Disable","Deaktivieren"
"Enable","Aktivieren"
"General","Allgemein"
"Index","Index"
"Index Description","Indexbeschreibung"
"Indexer code is not defined.","Indexer-Code ist nicht definiert."
"Indexer model is not defined.","Indexer-Modell ist nicht definiert."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer-Modell sollte Mage_Index_Model_Indexer_Abstract erweitern."
"Index Management","Indexverwaltung"
"Index Mode","Indexmodus"
"Index mode","Indexmodus"
"Index Name","Indexname"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Manuelles Update"
"Mode","Modus"
"Never","Nie"
"No","Nein"
"Not started.","Nicht gestartet."
"One or more of the Indexes are not up to date:","Einer oder mehrere Indizes sind nicht auf dem neuesten Stand:"
"Please select Index(es)","Bitte Index(e) auswählen"
"Please select Indexes","Bitte Indexe auswählen"
"Process Information","Prozessinformationen"
"Processing","Verarbeitung"
"Process is locked.","Prozess ist gesperrt."
"Ready","Bereit"
"Refresh","Aktualisieren"
"Reindex All","Alle neu indizieren"
"Reindex complete","Neuindizieren abgeschlossen"
"Reindex Data","Daten neu indizieren"
"Reindex did not complete","Reindex nicht abgeschlossen"
"Reindex finished with errors","Reindex mit Fehlern beendet"
"Reindex Required","Neuindizieren erforderlich"
"Request failed","Anfrage fehlgeschlagen"
"Revoke","Revoke"
"Status","Status"
"System","System"
"The index has been saved.","Der Index wurde gespeichert."
"The reindex process was interrupted.","Der Neuindizierungsprozess wurde unterbrochen."
"There was a problem with reindexing process.","Es gab ein Problem mit dem Neuindizierungsprozess."
"There was a problem with saving process.","Es gab ein Problem beim Speichern des Prozesses."
"Total of %d index(es) have changed index mode.","%d Index(es) insgesamt haben den Indexmodus geändert."
"Unable to create directory var/%s.","Verzeichnis var/%s kann nicht erstellt werden."
"Unknown reindex run.","Unbekannter Neuindexlauf."
"Updated At","Aktualisiert am"
"Update on Save","Beim Speichern aktualisieren"
"Update Required","Update erforderlich"
"Yes","Ja"
