"Actions","Aktionen"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","Sind Sie sicher?"
"critical","Kritisch"
"Date Added","Hinzugefügt am"
"Last Update","Letzte Aktualisierung"
"major","sehr wichtige"
"Mark as Read","Als gelesen markieren"
"Mark as read","Mark as read"
"Message","Nachricht"
"Messages Inbox","Posteingang"
"minor","wichtige"
"notice","unwichtige"
"Notifications","Benachrichtigungen"
"Please select messages.","Bitte Nachrichten wählen."
"Read Details","Details anzeigen"
"Remove","Entfernen"
"Severity","Schweregrad"
"Show List","Liste anzeigen"
"Show Toolbar","Symbolleiste anzeigen"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","Die Nachricht wurde entfernt."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Update Frequenz"
"Wrong message type","Falscher Nachrichtentyp"
