"-- None --","-- Keine --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Fügt AggregateRating (Bewertungswert- und Bewertungsanzahl) und individuelle Rezensionsknoten (Reviewer Name und Bewertungstext) zum Produktschema hinzu, wenn Bewertungen aktiviert sind."
"Brand Attribute","Markenattribut"
"Enable Structured Data","Strukturierte Daten aktivieren"
"GTIN Attribute","GTIN Attribut"
"Include Ratings & Reviews","Bewertungen und Bewertungen einbeziehen"
"Local Business","Lokales Unternehmen"
"MPN Attribute","MPN-Attribut"
"Online Store","Onlineshop"
"Organization","Organisation"
"Organization Type","Organisationstyp"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Gibt <strong>JSON-LD strukturierte Daten</strong> aus, die den Anforderungen von schema.org und Google folgen und so reiche Ergebnisse für Produkte, Breadcrumbs, Organisationsinformationen und Site-Suche ermöglichen. Überprüfen Sie Ihre Seiten mit dem <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Produktattribut mit globaler Handelsnummer (UPC/EAN/ISBN)."
"Product attribute holding the Manufacturer Part Number.","Produkt-Attribut mit der Artikelnummer des Herstellers."
"Product attribute used for the schema.org ""brand"" property.","Produkt-Attribut für die Eigenschaft schema.org ""Brand"" verwendet."
"Product Schema","Produkt-Schema"
"Structured Data (schema.org)","Strukturierte Daten (schema.org)"
