"""Remember Me"" Cookie Lifetime","""Remember me"" Cookie Lebensdauer"
"%s already exist.","%s existiert bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte wählen --"
"<strong>Disabled:</strong> No deferral (default behavior)<br><strong>Defer Only:</strong> Moves all script tags to the end of the page, improving initial render performance<br><strong>Load on Intent:</strong> <strong style=""color:red"">Highly Experimental!</strong> Defers all scripts until user interaction (click, scroll, hover, etc.) - designed for pure vanilla JavaScript and may not work with legacy JavaScript libraries","<strong>Deaktiviert:</strong> Keine Verschiebung (Standardverhalten)<br><strong>Nur verschieben:</strong> Verschiebt alle Skript-Tags an das Ende der Seite Verbesserung der Erstrenderperformance<br><strong>Load on Intent:</strong> <strong style=""color:red"">Highly Experimental!</strong> Schützt alle Skripte bis zur Interaktion des Benutzers (Klicken, Scrollen, Hover, etc.). - Entworfen für reines Vanilla-JavaScript und funktioniert möglicherweise nicht mit alten JavaScript-Bibliotheken"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Warnung!</strong> Bei der Verwendung von CDN, in manchen Fällen kann JavaScript nicht richtig laufen, wenn sich CDN nicht in Ihrer Subdomain befindet"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warnung!</strong> Wenn Store-Code in URLs verwendet wird, In einigen Fällen kann es vorkommen, dass das System nicht richtig funktioniert, wenn URLs ohne Store-Codes in den Diensten Dritter angegeben werden (z. . PayPal usw.)."
"A category object is required for determining the product request path.","Ein Kategorieobjekt wird benötigt, um den Pfad der Produktanforderung zu bestimmen."
"Add Block Names to Hints","Blocknamen zu Hinweisen hinzufügen"
"Add Secret Key to URLs","Geheimer Schlüssel zu URLs hinzufügen"
"Add Store Code to Urls","Store-Code zu Urls hinzufügen"
"Admin","Admin"
"Admin Base URL","Admin Basis-URL"
"Admin Theme","Admin-Theme"
"Admin User Emails","Admin-Benutzer E-Mails"
"Advanced","Erweitert"
"Advanced Cache Settings","Erweiterte Cache-Einstellungen"
"Allow Countries","Länder erlauben"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Not all browsers support all these formats!","Erlaubte Dateitypen: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Nicht alle Browser unterstützen diese Formate!"
"Allowed IPs (comma separated)","Erlaubte IPs (Komma getrennt)"
"Allowed Shipping Countries","Erlaubte Versandländer"
"Allow Maho Backend to run in frame","Maho Backend im Rahmen laufen lassen"
"Allow Maho Frontend to run in frame","Erlaube Maho Frontend im Rahmen auszuführen"
"Allows customers to stay logged in when switching between different stores.","Kunden können beim Umschalten zwischen verschiedenen Shops eingeloggt bleiben."
"Allow Symlinks","Symlinks erlauben"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativer Text für den nächsten Link im Seitennummerierungsmenü. Wenn leer, wird das Standard-Pfeil-Bild verwendet."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativer Text für den vorherigen Link im Paginierungsmenü. Wenn leer, wird das Standard-Pfeil-Bild verwendet."
"Anchor symbol (#) is not supported in request path","Ankersymbol (#) wird im Anfragepfad nicht unterstützt"
"Anchor symbol (#) is not supported in url rewrite suffix","Ankersymbol (#) wird im Url Rewrite Suffix nicht unterstützt"
"Anchor Text for Next","Ankertext für den nächsten"
"Anchor Text for Previous","Ankertext für Vorheriges"
"An error occured.","Ein Fehler ist aufgetreten."
"An error occurred while saving. Please review the error log.","Beim Speichern ist ein Fehler aufgetreten. Bitte überprüfen Sie das Fehlerprotokoll."
"Are you sure?","Bist du sicher?"
"Are you sure you want to delete the selected email log entries?","Sind Sie sicher, dass Sie die ausgewählten E-Mail-Logeinträge löschen möchten?"
"Auto-redirect to Base URL","Automatische Weiterleitung zur Basis-URL"
"Back","Zurück"
"Backup Options","Backup-Optionen"
"Base JavaScript URL","Basis-JavaScript-URL"
"Base Link URL","Basis-Link-URL"
"Base Media URL","Basis-Medien-URL"
"Base Secure URL","Sichere Basis-URL"
"Base Skin URL","Basis-Skin-URL"
"Base Unsecure URL","Unsichere Basis-URL"
"Base URL","Basis-URL"
"Bcc","Bcc"
"Before modifying the store view code please make sure that it is not used in index.php.","Bevor Sie den Shop-Ansichtscode ändern, stellen Sie bitte sicher, dass er nicht in index.php verwendet wird."
"Before modifying the website code please make sure that it is not used in index.php.","Bevor Sie den Website-Code ändern, stellen Sie bitte sicher, dass er nicht in index.php verwendet wird."
"Cache Storage Management","Cache-Speicher-Verwaltung"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache-Speicher kann zusätzliche Daten enthalten. Sind Sie sicher, dass Sie ihn leeren möchten?"
"Can't retrieve entity config: %s","Konnte Entity Konfiguration nicht abrufen: %s"
"Can't retrieve request object","Kann Anfrageobjekt nicht abrufen"
"Cancel","Abbrechen"
