"--Please Select--","-- Bitte wählen --"
"Accepted Currency","Akzeptierte Währung"
"API Login ID","API-Login-ID"
"Card Verification Number","Kartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Close","Schließen"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten Verifizierung"
"Debug","Debuggen"
"Email Customer","Kunden Email"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Gateway URL","Gateway-URL"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Merchant's Email","Händler Email"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"New Order Status","Neuer Bestellstatus"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Zahlungsvorgang"
"Payment authorization error.","Payment authorization error."
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Sort Order","Sortierreihenfolge"
"Test Mode","Test Modus"
"The order has been created.","The order has been created."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Titel"
"Transaction Key","Transaktionsschlüssel"
"What is this?","Was ist das?"
