"Add","Neu"
"ALL","ALLE"
"ANY","JEDE"
"Apply","Anwenden"
"by","von"
"Conditions Combination","Bedingungskombination"
"contains","enthält"
"Customer Groups must be specified.","Kundengruppen müssen angegeben werden."
"does not contain","enthält nicht"
"End Date must be greater than Start Date.","Das Enddatum muss größer als das Startdatum sein."
"equals or greater than","gleich oder größer als"
"equals or less than","gleich oder kleiner als"
"FALSE","FALSE"
"from","von"
"greater than","größer als"
"If %s of these conditions are %s:","Wenn %s dieser Bedingungen %s sind:"
"Invalid discount amount.","Ungültiger Rabattbetrag."
"is","ist"
"is not","ist nicht"
"is not one of","ist nicht einer von"
"is one of","ist einer von"
"less than","weniger als"
"Open Chooser","Auswahl öffnen"
"Perform following actions","Folgende Aktionen ausführen"
"Please choose a condition to add...","Bitte wählen Sie eine Bedingung zum Hinzufügen..."
"Please choose an action to add...","Bitte wählen Sie eine Aktion zum Hinzufügen..."
"Remove","Entfernen"
"There is no information about associated entity type ""%s"".","Es gibt keine Informationen über den zugehörigen Entitätstyp ""%s""."
"to","zu"
"TRUE","TRUE"
"Websites must be specified.","Websites müssen angegeben werden."
