"%s file does not exists or is not readable","%s Datei existiert nicht oder ist nicht lesbar"
"-- Please Select --","-- Bitte wählen --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter muss eine Instanz von Mage_ImportExport_Model_Import_Adapter_Abstract sein"
"Adapter object must be an instance of %s","Adapterobjekt muss eine Instanz von %s sein"
"Adapter type must be a non empty string","Adaptertyp muss ein nicht leerer String sein"
"Append Complex Data","Komplexe Daten anhängen"
"Attribute Code","Attribut-Code"
"Attribute Label","Attributbezeichnung"
"Attribute does not has options, so filtering is impossible","Attribut hat keine Optionen, daher ist Filterung unmöglich"
"Begin data validation","Datenvalidierung beginnen"
"Begin export of %s","Beginne Export von %s"
"Begin import of ""%s"" with ""%s"" behavior","Beginnen Sie den Import von ""%s"" mit ""%s"" Verhalten"
"CSV","CSV"
"Can not determine attribute filter type","Attributfiltertyp konnte nicht ermittelt werden"
"Can not find required columns: %s","Benötigte Spalten nicht gefunden: %s"
"Cannot get autoincrement value","Autoincrement-Wert kann nicht abgerufen werden"
"Check Data","Daten überprüfen"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Überprüfte Zeilen: %d, überprüfte Entitäten: %d, ungültige Zeilen: %d, Gesamtfehler: %d"
"Column names have duplicates","Spaltennamen haben Duplikate"
"Column names is empty or is not an array","Spaltennamen sind leer oder kein Array"
"Column names: ""%s"" are invalid","Spaltennamen: ""%s"" sind ungültig"
"Customers","Kunden"
"Data is invalid or file is not uploaded","Daten sind ungültig oder Datei wurde nicht hochgeladen"
"Delete Entities","Entitäten löschen"
"Destination directory is not writable","Zielverzeichnis ist nicht beschreibbar"
"Destination file is not writable","Zieldatei ist nicht beschreibbar"
"Destination file path must be a string","Zieldateipfad muss ein String sein"
"Done import data validation","Datenvalidierung abgeschlossen"
"Duplicate Unique Attribute for '%s'","Eindeutiges Attribut für '%s ' duplizieren"
"Entity Type","Entitätstyp"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entitäts-Adapter gehorcht muss eine Instanz von Mage_ImportExport_Model_Export_Entity_Abstract sein"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entitäts-Adapterobjekt muss eine Instanz von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity is unknown","Entität ist unbekannt"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entitätstyp Model muss eine Instanz von Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract sein"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entitätstyp Model muss eine Instanz von Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract sein"
"Error in data structure: behaviors are mixed","Fehler in der Datenstruktur: Verhalten ist gemischt"
"Error in data structure: entity codes are mixed","Fehler in der Datenstruktur: Entitäts-Codes sind gemischt"
"Errors limit (%d) reached. Please fix errors and re-upload file","Fehlerlimit erreicht (%d) Bitte Fehler beheben und Datei erneut hochladen"
"Escape CSV fields","CSV-Felder Escape"
"Export","Exportieren"
"Export File Format","Dateiformat exportieren"
"Export Settings","Export-Einstellungen"
"Export has been done.","Export abgeschlossen."
"Exported %s rows.","Exportierte %s Zeilen."
"File does not contain data.","Datei enthält keine Daten."
"File does not contain data. Please upload another one","Datei enthält keine Daten. Bitte laden Sie eine andere hoch"
"File format is unknown","Dateiformat ist unbekannt"
"File is partially valid, but import is not possible","Datei ist teilweise gültig, aber Import ist nicht möglich"
"File is totally invalid. Please fix errors and re-upload file","Datei ist völlig ungültig. Bitte Fehler beheben und Datei erneut hochladen"
"File is valid! To start import process press ""Import"" button","Datei ist gültig! Um den Import zu starten, drücken Sie den ""Import"" Button"
"File is valid, but import is not possible","Datei ist gültig, aber Import ist nicht möglich"
"File was not uploaded","Datei wurde nicht hochgeladen"
"Filter","Filtern"
"From","Von"
"Header column names already set","Spaltennamen der Kopfzeile bereits festgelegt"
"Import","Importieren"
"Import Behavior","Verhalten importieren"
"Import CSV","CSV importieren"
"Import Settings","Import-Einstellungen"
"Import has been done successfuly.","Import wurde erfolgreich durchgeführt."
"Import successfully done.","Import erfolgreich abgeschlossen."
"Import/Export","Import/Export"
"Incorrect entity type","Falscher Entitätstyp"
"Input entity code is not equal to entity adapter code","Entitäts-Code ist nicht identisch mit Entitäts-Adapter-Code"
"Invalid entity","Ungültige Entität"
"Invalid entity model","Ungültiges Entitätsmodell"
"Invalid file format","Ungültiges Dateiformat"
"Invalid parameters","Ungültige Parameter"
"Invalid seek position","Ungültige Suchposition"
"Invalid value for '%s'","Ungültiger Wert für '%s'"
"Invalid value for '%s' column","Ungültiger Wert für '%s' Spalte"
"Invalid value in SKU column. HTML tags are not allowed","Ungültiger Wert in der SKU-Spalte. HTML-Tags sind nicht erlaubt"
"No filter data provided","Keine Filterdaten angegeben"
"No source specified","Keine Quelle angegeben"
"No valid data sent","Keine gültigen Daten gesendet"
"No writer specified","Kein Autor angegeben"
"Node does not has model token tag","Knoten hat kein Model-Token Tag"
"Not implemented yet","Noch nicht implementiert"
"Please fix errors and re-upload file","Bitte beheben Sie Fehler und laden Sie die Datei erneut hoch"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte beheben Sie Fehler und laden Sie die Datei erneut hoch oder drücken Sie einfach ""Import"", um Zeilen mit Fehlern zu überspringen"
"Products","Produkte"
"Replace Existing Complex Data","Existierende komplexe Daten ersetzen"
"Select File to Import","Datei zum Importieren auswählen"
"Skip","Überspringen"
"Source file moving failed","Verschieben der Quelldatei fehlgeschlagen"
"Source file path must be a string","Quelldateipfad muss ein String sein"
"Source is not set","Quelle ist nicht gesetzt"
"Status","Status"
"There are no product types available for export","Es gibt keine Produkttypen für den Export"
"There is no data for export","Keine Daten für den Export vorhanden"
"To","An"
"Total size of uploadable files must not exceed %s","Die Gesamtgröße der hochladbaren Dateien darf nicht mehr als %s überschreiten"
"Unknown attribute filter type","Unbekannter Attributfiltertyp"
"Uploaded file has no extension","Hochgeladene Datei hat keine Erweiterung"
"Validation finished successfully","Validierung erfolgreich abgeschlossen"
"in rows","in Zeilen"
"in rows:","in Zeile:"
