"Add","Hinzufügen"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Add New Row","Neue Zeile einfügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumerisch, Bindestrich und Unterstrich-Zeichen für Dateinamen empfohlen. Unzulässige Zeichen werden mit '_' ersetzt."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"attachment","Anhang"
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Canceled","Storniert"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Datum"
"Default Link Title","Standard-Linktitel"
"Default Maximum Number of Downloads","Standardmäßige maximale Anzahl von Downloads"
"Default Sample Title","Standard-Beispieltitel"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastbestellung deaktivieren, wenn im Warenkorb Downloadprodukte sind"
"Disable Sample","Disable Sample"
"download","herunterladen"
"Downloadable Information","Downloadinformation"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Optionen für Download-Produkte"
"Edit","Bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Excl. Tax","Exkl. Steuern"
"File","Datei"
"File:","File:"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","Unabhängig von dieser Funktion, ist die Gastbestellung bei teilbaren Downloadprodukten nicht möglich."
"Incl. Tax","Inkl. MwSt."
"inline","Inline"
"In stock","Auf Lager"
"Invalid download link type.","Ungültiger Download Link Typ."
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid file path.","Invalid file path."
"Invoiced","In Rechnung gestellt"
"Links can be purchased separately","Links können separat erworben werden"
"List","Liste"
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"Move","Verschieben"
"Move to wishlist","Move to wishlist"
"My Downloadable Products","Meine Produkte zum Herunterladen"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung #"
"Ordered","Bestellt"
"Order id cannot be null","Bestellnummer darf nicht null sein"
"Order item id cannot be null","Die ID des Bestellelements darf nicht 0 sein"
"Order Item Status to Enable Downloads","Bestellstatus des Produkts, der Download ermöglicht"
"Out of stock","Nicht lieferbar"
"Pending","Ausstehend"
"Please log in to download your product.","Please log in to download your product."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please set resource file and link type.","Bitte setzen Sie die Ressourcen-Datei und den Link-Typ."
"Please specify product link(s).","Bitte Produktlink(s) angeben."
"Price","Preis"
"Product downloadable links","Product downloadable links"
"Qty","Menge"
"Refunded","Erstattet"
"Remaining Downloads","Verbleibenden Downloads"
"Remove","Entfernen"
"Remove Item","Artikel entfernen"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Beispiel"
"sample","Beispiel"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"Shareable","Teilbar"
"Shipped","Versandt"
"SKU","Artikelnummer"
"Sorry, there was an error getting requested content. Please contact the store owner.","Der angeforderte Inhalt konnte nicht geladen werden. Bitte wenden Siesich an den Shop-Betreiber."
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Status","Status"
"Subtotal","Zwischensumme"
"The file does not exist.","The file does not exist."
"The link has expired.","Gültigkeitsdauer des Links ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Titel"
"To:","Bis:"
"U","U"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"URL:","URL:"
"Use Content-Disposition","Bereitstellung der Inhalte"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
