"Action","Aktion"
"Activities","Activities"
"Activity Information","Activity Information"
"Activity Log","Activity Log"
"Activity log entry not found","Activity log entry not found"
"Admin Activity Log","Admin Activity Log"
"Back","Zurück"
"Configuration","Konfiguration"
"Create","Anlegen"
"CSV","CSV"
"Date/Time","Date/Time"
"Days to Keep Logs","Days to Keep Logs"
"Delete","Löschen"
"Enable Admin Activity Log","Enable Admin Activity Log"
"Entity","Entity"
"Entity Type","Entitätstyp"
"Excel XML","Excel XML"
"Failed","Fehlgeschlagen"
"Failure Reason","Failure Reason"
"General Settings","Allgemeine Einstellungen"
"ID","Id"
"IP Address","IP Adresse"
"Log Delete Actions","Log Delete Actions"
"Log Failed Login Attempts","Log Failed Login Attempts"
"Login","Anmelden"
"Login Activity","Login Activity"
"Log Login/Logout Activity","Log Login/Logout Activity"
"Log Mass Actions","Log Mass Actions"
"Logout","Logout"
"Log Page Visits","Log Page Visits"
"Log Save Actions","Log Save Actions"
"Number of days to keep activity logs. Set to 0 to keep forever.","Number of days to keep activity logs. Set to 0 to keep forever."
"Request URL","Request URL"
"Status","Status"
"Success","Erfolgreich"
"System","System"
"Type","Typ"
"Update","Aktualisieren"
"URL","URL"
"Username","Benutzername"
"View","Anzeigen"
"View Activity Log","View Activity Log"
"View Activity Log Entry #%s","View Activity Log Entry #%s"
"View Login Activity","View Login Activity"
