"# of Items (and above)","# der Artikel (und oben)"
"# of Items vs. Destination","Anzahl der Artikel vs. Ziel"
"An error occurred while import table rates.","Beim Importieren der Tabellenraten ist ein Fehler aufgetreten."
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Carrier:","Lieferant:"
"City","Stadt"
"Close Window","Fenster schließen"
"Condition","Bedingung"
"contact us","kontaktiere uns"
"Country","Land"
"Custom Value","Eigener Wert"
"Date","Datum"
"Delivered on:","Liefert am:"
"Delivered to:","Liefert an:"
"Description","Beschreibung"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Divide to equal weight (one request)","In gleiches Gewicht aufteilen (eine Anfrage)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Doppelte Zeile #%s (Land ""%s"", Region/Staat ""%s"", Zip ""%s"" und Wert ""%s"")."
"email us at ","mailen Sie uns unter "
"Enabled","Aktiviert"
"Error:","Fehler:"
"Export","Exportieren"
"File has not been imported. See the following list of errors: %s","Datei wurde nicht importiert. Siehe folgende Fehlerliste: %s"
"Fixed","Feste"
"Flat Rate","Pauschale"
" for more information or "," für weitere Informationen oder "
"Free Shipping","Kostenloser Versand"
"Handling Fee","Bearbeitungsgebühr"
"Import","Importieren"
"Include Virtual Products in Price Calculation","Virtuelle Produkte in die Preisberechnung einbeziehen"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","Ungültige %s ""%s"" in der Zeile #%s."
"Invalid Country ""%s"" in the Row #%s.","Ungültiges Land ""%s"" in der Zeile #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Ungültige Region/Bundesland ""%s"" in der Zeile #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Ungültiger Versandpreis ""%s"" in der Zeile #%s."
"Invalid Table Rate code for type %s: %s","Ungültiger Tabellenrate-Code für Typ %s: %s"
"Invalid Table Rate code type: %s","Ungültiger Tabellenrate-Code-Typ: %s"
"Invalid Table Rates File Format","Ungültiges Tabellenpreis-Dateiformat"
"Invalid Table Rates format in the Row #%s","Ungültiges Tabellenpreisformat in Zeile #%s"
"Local Time","Lokale Zeit"
"Location","Standort"
"Method Name","Methodenname"
"Minimum Order Amount","Mindestbestellmenge"
"N/A","N/A"
"None","Keine"
"Options","Optionen"
"Order Subtotal (and above)","Bestellsumme (und höher)"
"Origin","Ursprung"
"Percent","Prozent"
"Per Order","Pro Bestellung"
"Per Package","Pro Paket"
"Price","Preis"
"Price vs. Destination","Preis vs. Ziel"
"Region/State","Region/Bundesland"
"Service Type:","Servicetyp:"
"Shipment #","Versand #"
"Shipment Tracking Popup","Versandverfolgung Popup"
"Shipped or billed on:","Versendet oder abgerechnet am:"
"Shipping Methods","Versandarten"
"Shipping Settings","Versandeinstellungen"
"Ship to Applicable Countries","Versand an zulässige Länder"
"Ship to Specific Countries","Versand an bestimmte Länder"
"Show Method if Not Applicable","Zeige Methode, wenn nicht anwendbar"
"Signed by:","Signiert von:"
"Sort Order","Sortierung"
"Status:","Status:"
"Street Address","Straße"
"Street Address Line 2","Straßenadresse Linie 2"
"Table Rates","Tischpreise"
"There is no tracking available.","Es ist kein Tracking verfügbar."
"There is no tracking available for this shipment.","Für diese Sendung ist keine Sendungsverfolgung verfügbar."
"The shipping module is not available.","Das Versandmodul ist nicht verfügbar."
"The shipping module is not available for selected delivery country.","Das Versandmodul ist für das ausgewählte Lieferland nicht verfügbar."
"This shipping method is currently unavailable.","Diese Versandart ist derzeit nicht verfügbar."
"This shipping method is not available, please specify ZIP-code","Diese Versandart ist nicht verfügbar, bitte Postleitzahl angeben"
"Title","Titel"
"Track:","Titel:"
"Tracking Information","Tracking-Informationen"
"Tracking information is currently not available. Please ","Tracking-Informationen sind derzeit nicht verfügbar. Bitte "
"Tracking information is currently unavailable.","Tracking-Informationen sind derzeit nicht verfügbar."
"Tracking Number:","Tracking-Nummer:"
"Type","Typ"
"Use origin weight (few requests)","Verwende Ursprungsgewicht (wenige Anfragen)"
"Weight (and above)","Gewicht (und höher)"
"Weight:","Gewicht:"
"Weight vs. Destination","Gewicht vs. Ziel"
"ZIP/Postal Code","Postleitzahl"
