"%s message(s) discarded.","%s Nachricht(en) verworfen."
"%s message(s) re-queued.","%s Nachricht(en) erneut in Warteschlange."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s Nachricht(en) wurden übersprungen: Nur fehlgeschlagene oder festgehaltene Nachrichten können ohne neuere Kopie ihres Entfaltungsschlüssels erneut ausprobiert werden."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s Warteschlange(n) wurden von einem Arbeiter abgeholt, der nie fertig war. Sie werden nicht automatisch in die Warteschlange gestellt: <a href=""%s"">erneut versuchen oder verwerfen sie</a>."
"0 keeps failed messages forever.","0 hält fehlgeschlagene Nachrichten für immer."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 entfernt Nachrichten sofort bei Erfolg; ein positiver Wert hält sie so viele Tage im Raster sichtbar."
"Action","Aktion"
"Available","Verfügbar"
"Available (UTC)","Verfügbar (UTC)"
"Back","Zurück"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Hintergrundnachricht verarbeitet. Maho cron hält einen abgetrennten ""Warteschlange:work"" Arbeiter pro Pool: ein Bewohner ""schneller"" Arbeiter, so dass kurze Jobs nie hinter langen, warten plus ein ""langsamer"" Catch-all startete nur, wenn es funktioniert. Beide werden innerhalb einer Minute wiederbelebt, wenn sie sterben. Pools werden in config.xml unter global/queue/pools deklariert."
"Body (serialized)","Körper (serialisiert)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Abgeschlossen"
"Discard","Verwerfen"
"Discard Messages","Nachrichten verwerfen"
"Each retry waits this many times longer than the previous one.","Jeder Wiederholungsversuch wartet so oft länger als der vorhergehene."
"Error","Fehler"
"Failed","Fehler"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Fehlgeschlagene Nachrichten werden wiederholt mit exponentiellem Backoff versucht, dann als fehlgeschlagen markiert."
"ID","ID"
"Initial Retry Delay (seconds)","Erstmalige Wiederholung (Sekunden)"
"Keep Completed Messages (days)","Erledigte Nachrichten behalten (Tage)"
"Keep Failed Messages (days)","Fehlgeschlagene Nachrichten behalten (Tage)"
"Max Retries","Max. Wiederholungen"
"Max Retry Delay (seconds)","Max. Wiederholungsverzögerung (Sekunden)"
"Message","Nachricht"
"Message #%s","Nachricht #%s"
"Message Class","Message Class"
"Message Details","Nachrichtendetails"
"Message discarded.","Nachricht verworfen."
"Message not found.","Nachricht nicht gefunden."
"Message Queue","Nachrichtenwarteschlange"
"Message re-queued.","Nachricht erneut in Warteschlange."
"Pending","Ausstehend"
"Permanently delete the selected messages?","Ausgewählte Nachrichten dauerhaft löschen?"
"Permanently delete this message?","Nachricht dauerhaft löschen?"
"Processed (UTC)","Verarbeitet (UTC)"
"Processing","Verarbeitung"
"Queue","Warteschlange"
"Queued","Warteschlange"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Ausgewählte Nachrichten erneut eingereihen?"
"Re-queue this message?","Nachricht erneut ansehen?"
"Retries","Wiederholungen"
"Retry","Wiederholen"
"Retry Delay Multiplier","Verzögerungs-Multiplikator wiederholen"
"Retry Messages","Nachrichten wiederholen"
"Status","Status"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Die Nachricht wurde nicht erneut versucht: Nur fehlgeschlagene oder festgehaltene Nachrichten ohne neuere Kopie ihres Entpuffschlüssels können erneut versucht werden."
"Upper bound for the backoff. 0 means no bound.","Obere Grenze für Rückseite. 0 bedeutet keine Grenze."
"View","Ansicht"
"View Messages","Nachrichten anzeigen"
