"%s %s cycle.","%s %s Zyklus."
"%s (unavailable)","%s (nicht verfügbar)"
"* Required Fields","* Pflichtfelder"
"--Please Select--","--Bitte auswählen--"
"3D Secure Card Validation","3D Secure Card Validierung"
"<label>Make Check payable to:</label> %s","<label>Scheck zahlbar an:</label> %s"
"Action","Aktion"
"Add New Restriction","Neue Beschränkung hinzufügen"
"Allow Initial Fee Failure","Erlaube Initialgebühr Fehler"
"An internal reference ID is required to save the payment profile.","Eine interne Referenz-ID wird benötigt, um das Zahlungsprofil zu speichern."
"Apply the restriction only if the following conditions are met (leave blank for all)","Die Beschränkung nur anwenden, wenn die folgenden Bedingungen erfüllt sind (leer lassen für alle)"
"Are you sure?","Bist du sicher?"
"Authorize action is not available.","Autorisierungsaktion ist nicht verfügbar."
"Auto Bill on Next Cycle","Auto-Rechnung am nächsten Zyklus"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Den ausstehenden Restbetrag automatisch im nächsten Abrechnungszyklus abrechnen (bei fehlgeschlagenen Zahlungen)."
"Automatically Invoice All Items","Automatisch alle Artikel in Rechnung stellen"
"Bank Transfer Payment","Überweisungszahlung"
"Billing Agreement status is not set.","Status des Rechnungsvertrags ist nicht festgelegt."
"Billing Amount","Rechnungsbetrag"
"Billing Frequency","Abrechnungshäufigkeit"
"Billing Period","Abrechnungszeitraum"
"Billing Period Unit","Rechnungszeitraum Einheit"
"Billing period unit is not defined or wrong.","Rechnungszeiteinheit ist nicht definiert oder falsch."
"Cannot retrieve the payment info model object.","Das Zahlungsinformationsobjekt kann nicht abgerufen werden."
"Cannot retrieve the payment information object instance.","Zahlungsinformationsobjektinstanz kann nicht abgerufen werden."
"Cannot retrieve the payment method code.","Der Zahlungsmethodencode kann nicht abgerufen werden."
"Cannot retrieve the payment method model object.","Das Objekt der Zahlungsmethode kann nicht abgerufen werden."
"Capture action is not available.","Capture Aktion ist nicht verfügbar."
"Card Verification Number","Kartenprüfnummer"
"Cart Attribute","Warenkorb-Attribut"
"Cash On Delivery Payment","Zahlung per Nachnahme"
"Change status","Status ändern"
"Check / Money Order","Scheck / Zahlungsanweisung"
"Conditions","Bedingungen"
"Conditions Combination","Bedingungskombination"
"Countries","Länder"
"Created At","Erstellt am"
"Credit Card Number","Kreditkartennummer"
"Credit card number mismatch with credit card type.","Kreditkartennummer stimmt nicht mit dem Kreditkartentyp überein."
"Credit Card Type","Kreditkartenart"
"Credit card type is not allowed for this payment method.","Kreditkartenart ist für diese Zahlungsmethode nicht erlaubt."
"Credit Card Types","Kreditkartentypen"
"Currency","Währung"
"Currency code is undefined.","Währungscode ist nicht definiert."
"Customer Groups","Kundengruppen"
"Customer ID is not set.","Kunden-ID ist nicht festgelegt."
"Day","Tag"
"Debug Mode","Debug-Modus"
"Delete Restriction","Einschränkung löschen"
"Description","Beschreibung"
"Edit","Bearbeiten"
"Edit Restriction","Bearbeite Einschränkung"
"Edit Restriction '%s'","Bearbeite Einschränkung '%s'"
"Enabled","Aktiviert"
"equals or greater than","gleich oder größer als"
"equals or less than","gleich oder kleiner als"
"Expiration Date","Ablaufdatum"
"FOUND","GEFUNDEN"
"Full name of the person receiving the product or service paid for by the recurring payment.","Voller Name der Person, die durch die wiederkehrende Zahlung das Produkt oder die Dienstleistung erhält."
"General Information","Allgemeine Informationen"
"greater than","größer als"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Wenn %s %s %s für eine Unterauswahl von Artikeln im Warenkorb, die %s dieser Bedingungen entsprechen:"
"If an item is %s in the cart with %s of these conditions true:","Wenn ein Artikel %s im Warenkorb mit %s dieser Bedingungen ist:"
"Incorrect credit card expiration date.","Falsches Ablaufdatum der Kreditkarte."
"Initial Fee","Anfangsgebühr"
"Initial non-recurring payment amount due immediately upon profile creation.","Erster, nicht wiederkehrender Zahlungsbetrag, der sofort nach Erstellung des Profils fällig wird."
"Instructions","Anleitungen"
"Internal Reference ID","Interne Referenz-ID"
"Invalid Credit Card Number","Ungültige Kreditkartennummer"
"is","ist"
"is not","ist nicht"
"Issue Number","Ticket Nummer"
"less than","weniger als"
"Make Check Payable to","Scheck ausstellen auf"
"Make Check payable to:","Scheck ausstellen auf:"
"Make Check payable to: %s","Scheck ausstellen an: %s"
"Maximum Billing Cycles","Maximale Abrechnungszyklen"
"Maximum Order Total","Maximale Bestellsumme"
"Maximum Payment Failures","Maximale Zahlungsfehler"
"Maximum Trial Billing Cycles","Maximale Probeabrechnungszyklen"
"Minimum Order Total","Mindestbestellsumme"
"Month","Monat"
"N/A","N/A"
"Name","Name"
"Name on Card","Name auf Karte"
"New Order Status","Neuer Bestellstatus"
"New Restriction","Neue Beschränkung"
"NOT FOUND","NICHT GEFUNDEN"
"Number of billing periods that make up one billing cycle.","Anzahl der Abrechnungszeiträume, die einen Abrechnungszyklus ausmachen."
"Number of Complete Orders","Anzahl der kompletten Bestellungen"
"Order action is not available.","Bestellvorgang ist nicht verfügbar."
"Password","Passwort"
"Payment from Applicable Countries","Zahlung aus zulässigen Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment Method","Zahlungsmethode"
"Payment method code is not set.","Zahlungsart Code ist nicht festgelegt."
"Payment method code is undefined.","Zahlungsart Code ist nicht definiert."
"Payment Methods","Zahlungsarten"
"Payment profile is invalid:\n%s","Zahlungsprofil ist ungültig:\n%s"
"Payment Reference ID","Zahlungsreferenz-ID"
"Payment Restrictions","Zahlungsbeschränkungen"
"Payment Services","Zahlungsdienste"
"Period frequency is wrong.","Periodenfrequenz ist falsch."
"Please choose a condition to add.","Bitte wählen Sie eine Bedingung zum Hinzufügen aus."
"Please enter a valid credit card verification number.","Bitte geben Sie eine gültige Kreditkartenüberprüfungsnummer ein."
"Please select restriction(s).","Bitte die Einschränkung(en) auswählen."
"Product Attribute","Produkt-Attribut"
"Product attribute combination","Produkt-Attribut-Kombination"
"Product Categories","Produktkategorien"
"Products subselection","Produkt-Unterauswahl"
"Purchase Order","Bestellung"
"Purchase Order Number","Bestellnummer"
"Purchase Order Number:","Bestellnummer:"
"Purchase Order Number: %s","Bestellnummer: %s"
"Recurring Profile Start Date","Startdatum für wiederkehrendes Profil"
"Recurring profile start date has invalid format.","Startdatum des wiederkehrenden Profils hat ein ungültiges Format."
"Reference ID is not set.","Referenz-ID ist nicht gesetzt."
"Refund action is not available.","Erstattungsaktion ist nicht verfügbar."
"Repeats %s time(s).","Wiederholt sich %s mal(s)."
"Repeats until suspended or canceled.","Wiederholt sich bis zum Abbrechen oder Abbrechen."
"Save Restriction","Speicherbeschränkung"
"Schedule Description","Beschreibung planen"
"Schedule description must be not empty.","Die Beschreibung des Zeitplans darf nicht leer sein."
"Selected payment type is not allowed for billing country.","Ausgewählte Zahlungsart ist für das Zahlungsland nicht zulässig."
"Send Check to","Scheck senden an"
"Send Check to:","Scheck senden an:"
"Severe 3D Secure Card Validation","Schwere 3D Secure Card Validierung"
"Shipping Amount","Versandbetrag"
"Shipping Country","Versandland"
"Shipping Method","Versandart"
"Shipping Postcode","Postleitzahl"
"Shipping Region","Versandregion"
"Shipping State/Province","Versandstaat/Provinz"
"Short description of the recurring payment. By default equals to the product name.","Kurze Beschreibung der wiederkehrenden Zahlung. Standardmäßig entspricht dies dem Produktnamen."
"Sort Order","Sortierung"
"Start Date","Startdatum"
"Start date has invalid format.","Startdatum hat ein ungültiges Format."
"Start date is undefined.","Startdatum ist nicht definiert."
"Status","Status"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Status ""%s"" kann nicht aufgehoben werden. Es wird in %d Zahlungsmethode Konfiguration(en): %s verwendet"
"Stores","Filialen"
"Subscriber Name","Abonnentenname"
"Subtotal","Zwischensumme"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Nummer"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Startdatum"
"Tax Amount","Steuerbetrag"
"Test Mode","Testmodus"
"The date when billing for the profile begins.","Das Datum, an dem die Abrechnung für das Profil beginnt."
"The number of billing cycles for payment period.","Die Anzahl der Abrechnungszyklen für den Zahlungszeitraum."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Die Anzahl der geplanten Zahlungen, die scheitern können, bevor das Profil automatisch gesperrt wird."
"The payment restriction has been deleted.","Die Zahlungsbeschränkung wurde gelöscht."
"The payment restriction has been saved.","Die Zahlungsbeschränkung wurde gespeichert."
"The payment review action is unavailable.","Die Zahlungsüberprüfung ist nicht verfügbar."
"The requested Payment Method is not available.","Die angeforderte Zahlungsmethode ist nicht verfügbar."
"This restriction no longer exists.","Diese Beschränkung existiert nicht mehr."
"Title","Titel"
"total amount","Gesamtbetrag"
"Total Items Quantity","Gesamtmenge der Artikel"
"Total of %d record(s) were deleted.","Insgesamt wurden %d Einträge(n) gelöscht."
"Total of %d record(s) were updated.","Gesamte %d Einträge(n) wurden aktualisiert."
"total quantity","Gesamtmenge"
"Total Weight","Gesamtgewicht"
"Trial Billing Amount","Probeabrechnungsbetrag"
"Trial billing amount is wrong.","Rechnungsbetrag der Testversion ist falsch."
"Trial Billing Frequency","Probeabrechnungshäufigkeit"
"Trial Billing Period Unit","Test-Abrechnungszeitraum Einheit"
"Trial billing period unit is wrong.","Testabrechnungszeiteinheit ist falsch."
"Trial Period","Testzeitraum"
"Trial period frequency is wrong.","Die Testzeitraumfrequenz ist falsch."
"Trial period max cycles is wrong.","Maximale Zyklen des Testzeitraums sind falsch."
"Two Weeks","Zwei Wochen"
"Type","Typ"
"Unable to find a restriction to delete.","Es konnte keine Beschränkung zum Löschen gefunden werden."
"Unable to save Billing Agreement:","Zahlungsvereinbarung konnte nicht gespeichert werden:"
"Unit for billing during the subscription period.","Einheit für die Abrechnung während des Abonnements."
"Void action is not available.","Stornierungsaktion ist nicht verfügbar."
"Week","Woche"
"What is this?","Was ist das?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Ob das Zahlungsprofil im Falle eines Fehlschlags der Anfangsgebühr ausgesetzt oder dem ausstehenden Guthaben hinzugefügt werden soll."
"Wrong %s specified.","Falsche %s angegeben."
"Wrong or empty billing amount specified.","Falscher oder leerer Rechnungsbetrag angegeben."
"Year","Jahr"
"Zero Subtotal Checkout","Null Zwischensumme"
