"%s wants to connect to your store","%s möchte sich mit Ihrem Shop verbinden"
"-- No Role --","-- Keine Rolle --"
"Access Token Lifetime","Zugangs-Token Lebenszeit"
"Account Information","Kontoinformationen"
"Act as you until you revoke this application, or your admin account is disabled.","Achten Sie so lange, bis Sie diese Anwendung widerrufen oder Ihr Admin-Konto deaktiviert ist."
"Active","Aktiv"
"Add New Role","Neue Rolle hinzufügen"
"Add New User","Neuer Benutzer"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Admin GraphQL unter /api/admin/graphql (benötigt Admin auth)"
"All","Alle"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point."
"Allow Applications to Register Themselves","Anwendungen erlauben, sich selbst zu registrieren"
"API","API"
"API Cache","API Cache"
"API Key","API-Schlüssel"
"API Protocols","API Protocols"
"API Role","API-Rolle"
"API user has been deleted.","API-Benutzer wurde gelöscht."
"API user has been saved.","API-Benutzer wurde gespeichert."
"API User Information","API-Benutzerinformationen"
"API user not found.","API-Benutzer nicht gefunden."
"API v2 Roles","API v2 Roles"
"API v2 Users","API v2 Benutzer"
"Application","Anwendung"
"Approve","Bestätigen"
"Assign Role","Rolle zuweisen"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Authentifiziert über Kundenanmeldung (E-Mail + Passwort). Jeder Kunde kann nur auf seine eigenen Daten zugreifen."
"Authorization Code Lifetime","Gültigkeitsdauer des Autorisierungscodes"
"Authorization Server","Autorisierungsserver"
"Authorize Application","Anwendung autorisieren"
"Cache TTL (seconds)","Cache-TTL (Sekunden)"
"Can reach","Kann erreichen"
"Catalog, cart and order tools for %s","Katalog, Warenkorb und Bestellwerkzeuge für %s"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Aktivieren um neue client_id und client_secret zu generieren. Die alten Anmeldedaten funktionieren nicht mehr."
"Client Credentials","Client-Zugangsdaten"
"Client ID","Kunden-ID"
"Client ID: %s","Client-ID: %s"
"Client Secret","Kundengeheimnis"
"Client Secret: %s","Kundengeheim: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Kommaseparierte Liste von erlaubten Quellen. Standardmäßig wird die Basis-URL gespeichert, wenn sie leer ist."
"Connected Applications","Verbundene Anwendungen"
"Contact Form","Kontaktformular"
"CORS Allowed Origins","CORS Erlaubte Herkunft"
"Created","Erstellt"
"Custom","Eigene"
"Customer Session Operations","Kunden-Session-Operationen"
"Delete API User","API Benutzer löschen"
"Delete Role","Rolle löschen"
"Deny","Leugnen"
"Edit API User","API-Benutzer bearbeiten"
"Edit API User '%s'","API-Benutzer '%s ' bearbeiten"
"Edit Role","Rolle bearbeiten"
"Edit Role '%s'","Rolle '%s ' bearbeiten"
"Email","E-Mail"
"Exposes the REST v2 resource surface to AI agents at /api/mcp. Same bearer tokens and permissions as REST.","Enthält die REST v2 Ressourcenoberfläche von KI-Agenten unter /api/mcp. Gleiche Token und Berechtigungen wie REST."
"First Name","Vorname"
"Frontend/customer-facing GraphQL at /api/graphql","Frontend/kundenorientierte GraphQL unter /api/graphql"
"General Settings","Allgemeine Einstellungen"
"GraphQL, admin","GraphQL, Admin"
"GraphQL, public","GraphQL, öffentlich"
"Hidden (stored hashed). Regenerate if needed.","Versteckt (gespeicherte Hashed). Regenerieren Sie bei Bedarf erneut."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Wie lange die API-Antworten zwischengespeichert werden. Standard: 300 (5 Minuten). Setzen Sie 0 um den Cache zu deaktivieren."
"ID","ID"
"If you approve, this application can:","Wenn Sie einverstanden sind, kann diese Anwendung:"
"Inactive","Inaktiv"
"In seconds (default: 60). A code is used once, seconds after it is issued.","In Sekunden (Standard: 60). Ein Code wird einmal verwendet, Sekunden nachdem er ausgegeben wurde."
"In seconds (default: 3600 = 1 hour)","In Sekunden (Standard: 3600 = 1 Stunde)"
"In seconds (default: 86400 = 24 hours)","In Sekunden (Standard: 86400 = 24 Stunden)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","JWT Signieren geheim. Automatisch generiert (zufällig) und bei der ersten Verwendung verschlüsselt, wenn leer gelassen."
"Last Name","Nachname"
"Last Used","Zuletzt verwendet"
"Leave blank to keep the current key.","Leer lassen, um den aktuellen Schlüssel zu behalten."
"Leave empty to allow access to all stores.","Leer lassen um Zugriff auf alle Shops zu ermöglichen."
"Legacy JSON-RPC","Altes JSON-RPC"
"Legacy REST (Magento 1)","Legacy REST (Magento 1)"
"Legacy SOAP v1","Legacy SOAP v1"
"Legacy SOAP v2","Legacy SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Lets an application connect with a browser login and your approval, instead of a token pasted by hand. Required by MCP clients such as Claude and ChatGPT. Off by default, like every other protocol.","Lässt eine Anwendung sich mit einem Browser-Login und Ihrer Genehmigung verbinden, anstatt ein von Hand eingefügtes Token einzufügen. Wird von MCP-Clients wie Claude und ChatGPT benötigt. Standardmäßig deaktiviert, wie jedes andere Protokoll."
"MCP (Model Context Protocol)","MCP (Model Context Protokoll)"
