"3D Secure","3D sicher"
"Actions","Aktionen"
"Added","Hinzugefügt"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Ermöglicht eingeloggten Kunden, ihre Zahlungsmethoden für schnellere zukünftige Kassen zu speichern. Gespeicherte Token werden sicher von PayPal gespeichert."
"Are you sure you want to delete this payment method?","Sind Sie sicher, dass Sie diese Zahlungsmethode löschen möchten?"
"Authorization ID","Autorisierungs-ID"
"Authorize and Capture","Autorisieren und erfassen"
"Authorize Only","Nur autorisieren"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Automatisch ausgefüllt, nachdem auf ""Webhook"" geklickt wurde. Wird verwendet, um die Authentizität eingehender PayPal-Benachrichtigungen zu überprüfen."
"AVS Code","AVS-Code"
"Bancontact","Sperrung"
"BLIK","BLIK"
"Capture ID","Capture ID"
"Cart is empty.","Warenkorb ist leer."
"Client ID","Kunden-ID"
"Client Secret","Kundengeheimnis"
"Confirm your payment with PayPal, then click ""Place Order"".","Bestätigen Sie Ihre Zahlung mit PayPal, dann klicken Sie auf ""Bestellung machen""."
"Connection failed. Please check your credentials.","Verbindung fehlgeschlagen. Bitte überprüfen Sie Ihre Anmeldeinformationen."
"Connection failed: %s","Verbindung fehlgeschlagen: %s"
"Connection successful.","Verbindung erfolgreich."
"Could not acquire order lock.","Bestellsperre konnte nicht erworben werden."
"CVV Code","CVV-Code"
"Debug Mode","Debug-Modus"
"Delete","Löschen"
"Display on Product Page","Auf Produktseite anzeigen"
"Display on Shopping Cart","Im Warenkorb anzeigen"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Zeigt Inline-Kredit-/Debitkartenfelder direkt auf Ihrer Checkout-Seite an. Kunden geben ihre Kartendaten ein, ohne zu PayPal weitergeleitet zu werden. Erfordert die Berechtigung für PayPal Erweiterte Checkout."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Zeigt PayPal Buttons an der Kasse an. Kunden zahlen mit ihrem PayPal-Konto, bezahlen Sie später oder andere von PayPal unterstützte Methoden, ohne Ihre Website zu verlassen."
"Enabled","Aktiviert"
"eps","eps"
"Failed to create PayPal order.","Erstellen der PayPal-Bestellung fehlgeschlagen."
"Failed to create PayPal order: %s","Fehler beim Erstellen der PayPal-Bestellung: %s"
"Failed to register webhook.","Fehler beim Registrieren des Webhook."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Ungültiger Formularschlüssel."
"Invalid payment method.","Ungültige Zahlungsmethode."
"Log API requests and responses to var/log/paypal.log","API-Anfragen und Antworten an var/log/paypal.log protokollieren"
"Missing PayPal order ID.","Fehlende PayPal-Bestell-ID."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Keine PayPal-Autorisierungs-ID für ungültig gefunden."
"No PayPal authorization or order ID found for capture.","Keine PayPal-Autorisierung oder Bestell-ID für die Erfassung gefunden."
"No PayPal capture ID found for refund.","Keine PayPal-Capture-ID zur Erstattung gefunden."
"No saved payment methods available.","Keine gespeicherten Zahlungsmethoden verfügbar."
"No saved payment methods available for this customer.","Keine gespeicherten Zahlungsmethoden für diesen Kunden verfügbar."
