"Average Duration","Durchschnittliche Dauer"
"Average Pages","Durchschnittliche Seiten"
"Bounce Rate","Bounce-Rate"
"Browsers","Browsers"
"Devices","Geräte"
"Devices & Browsers","Geräte & Browser"
"Direct / No referrer","Direkter / kein Referrer"
"Enable Log","Log aktivieren"
"Enable Log Cleaning","Log-Reinigung aktivieren"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Exit Pages","Seiten verlassen"
"Exits","Beendet"
"Frequency","Frequenz"
"Landing Pages","Landing-Seiten"
"Log","Log"
"Log cleanup Warnings","Aufräum-Warnungen"
"Logged in","Angemeldet"
"Login Conversion","Login-Konvertierung"
"New vs Returning","Neue vs Rückkehr"
"No data","Keine Daten"
"No language data available","Keine Sprachdaten verfügbar"
"No page view data available","Keine Seitenansichtsdaten verfügbar"
"No traffic source data available","Keine Datenquellen verfügbar"
"of visitors logged in","der eingeloggten Besucher"
"Online","Online"
"Page","Seite"
"Returning","Zurück"
"Save Log, Days","Log speichern, Tage"
"Session Metrics","Sitzungsmetriken"
"Sessions","Sitzungen"
"Start Time","Startzeit"
"Today","Heute"
"Top Pages","Top Seiten"
"Total visitors","Besucher insgesamt"
"Traffic Sources","Traffic Quellen"
"Views","Aufrufe"
"Visitors","Besucher"
"Visitors only","Nur Besucher"
"Visits","Besuche"
"Week","Woche"
