"""Remember Me"" Default Value","Standardwert ""An mich erinnern"""
"* Required Fields","* Pflichtfelder"
"Accept Format-valid VAT When VIES Unavailable","Format-gültige Mehrwertsteuer akzeptieren, wenn VIES nicht verfügbar"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>."
"Account Dashboard","Kundenübersicht"
"Account Information","Kontoinformationen"
"Account Options","Konto-Optionen"
"Account Sharing Options","Kontofreigaben"
"Action","Aktion"
"Added From","Hinzugefügt von"
"Additional Address Entries","Zusätzliche Adresseinträge"
"Add New Address","Neue Adresse hinzufügen"
"Add New Customer","Neuen Kunden hinzufügen"
"Add New Customer Group","Neue Kundengruppe hinzufügen"
"Address","Adresse"
"Address Book","Adressbuch"
"Addresses","Adressen"
"Address Information","Adressinformationen"
"Address Templates","Adressvorlagen"
"Admin","Admin"
"All","Alle"
"All countries","Alle Länder"
"ALL GROUPS","ALLE GRUPPE"
"Allow customers to login via a secure link sent to their email instead of using a password.","Kunden erlauben, sich über einen sicheren Link anzumelden, der an ihre E-Mail gesendet wird, anstatt ein Passwort zu verwenden."
"All Store Views","Alle StoreViews"
"Always optional.","Immer optional."
"Amount","Betrag"
"An error occurred during validation. Please try again.","Bei der Validierung ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"An error occurred while deleting the address.","Beim Löschen der Adresse ist ein Fehler aufgetreten."
"An error occurred while retrieving the option value: %s.","Beim Abrufen des Optionswertes ist ein Fehler aufgetreten: %s."
"An error occurred while saving the collection, aborting. Error: %s","Beim Speichern der Sammlung ist ein Fehler aufgetreten. Fehler: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Options-ID wurde für %s (%s) angegeben, der Datensatz wird übersprungen."
"Approved","Genehmigt"
"Are you sure?","Bist du sicher?"
"Are you sure that you want to remove this item?","Sind Sie sicher, dass Sie dieses Element entfernen möchten?"
"Are you sure you want to cancel adding of this address?","Sind Sie sicher, dass Sie das Hinzufügen dieser Adresse abbrechen möchten?"
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen möchten?"
"Assign a Customer Group","Kundengruppe zuweisen"
"Average Sale","Durchschnittlicher Verkauf"
"Back","Zurück"
"Bad request.","Falsche Anfrage."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Basierend auf der USt-IdNr. würde der Kunde zur Kundengruppe %s gehören."
"Bill to Name","Rechnung an Name"
"Bought From","Gekauft von"
"By Email","Per E-Mail"
"By IP","Nach IP"
"By IP and Email","Per IP und E-Mail"
"Cache Lifetime (hours)","Cache-Lebensdauer (Stunden)"
"Cancel","Abbrechen"
"Cannot save address.","Adresse kann nicht gespeichert werden."
"Cannot save a new password.","Ein neues Passwort kann nicht gespeichert werden."
"Cannot save the customer.","Kunde kann nicht gespeichert werden."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kundenkonten können nicht global geteilt werden, da einige Kundenkonten mit denselben E-Mails auf mehreren Websites existieren und nicht zusammengeführt werden können."
"Change Account Data","Kontodaten ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Changed Email or Password Email Template","Vorlage für E-Mail oder Passwort geändert"
"Changed Password or Email","Passwort oder E-Mail geändert"
"Change Password","Passwort ändern"
"Change Shipping Address","Versandadresse ändern"
"City","Stadt"
"Close","Schließen"
"Company","Firma"
"Configure","Konfigurieren"
"Confirmation Link Email","Bestätigungslink E-Mail"
"Confirmed","Bestätigt"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Contact Information","Kontaktinformationen"
"Continue","Weiter"
"Continue Shopping","Weiter einkaufen"
"Controls whether password is required during registration when Magic Link is enabled.","Legt fest, ob bei der Registrierung ein Passwort erforderlich ist, wenn Magic Link aktiviert ist."
"Country","Land"
"Country is required.","Land ist erforderlich."
"Create","Anlegen"
"Create an account","Ein Konto erstellen"
"Create customer","Kunde erstellen"
"Create customer address","Kundenadresse erstellen"
"Create New Account Options","Neue Kontooptionen erstellen"
"Create New Customer Account","Neues Kundenkonto erstellen"
"Create Order","Bestellung erstellen"
"CSV","CSV"
"Current Admin Password","Aktuelles Admin-Passwort"
"Current Password","Aktuelles Passwort"
"Customer","Kunde"
"Customer Account Edit Form","Kundenkonto Bearbeitungs-Formular"
"Customer Account Login Form","Kundenkonto Anmeldeformular"
"Customer Account Logout Success","Abmeldung des Kundenkontos erfolgreich"
"Customer Account Registration Form","Kundenkonto Registrierungsformular"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Kundenkonten können nicht deaktiviert werden, da Gastbestellung nicht erlaubt ist. Bitte aktivieren Sie zuerst die Gastbestellung."
"Customer Addresses","Kundenadressen"
"Customer API","Kunden-API"
