"(not processed yet)","(noch nicht verarbeitet)"
"0 disables the limit.","0 deaktiviert das Limit."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Aktivieren allein zeigt den Button nicht an.</strong> Das Gesetz verlangt, dass die Widerrufsschaltfläche während der Auszahlungsfrist dauerhaft sichtbar bleibt, aber nur Ihr Thema weiß, wo das ist. Nach dem Aktivieren müssen Sie die <strong>Widerrufsschaltfläche</strong> in einem Block platzieren, das auf jeder Schaufensterseite angezeigt wird (typischerweise in der Fußzeile). Bis du dies tust, existiert das Formular unter <em>/revocation</em> aber nichts verlinkt darauf."
"Abuse Protection","Missbrauchsschutz"
"Accepted","Akzeptiert"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Akzeptieren oder Ablehnen nur Datensätze der Entscheidung und fügt eine Notiz zu dieser Bestellung hinzu. Der Status der Bestellung, der Status und die Rückerstattung bleiben unverändert."
"Accept Revocation","Widerruf akzeptieren"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Diesen Widerruf akzeptieren? Dies protokolliert die Entscheidung und fügt der zugehörigen Bestellung eine Notiz hinzu. Kein Bestellstatus oder Erstattung ändert sich automatisch."
"A confirmation email is on its way to you.","Eine Bestätigungsmail ist auf dem Weg zu Ihnen."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Fügt ein unsichtbares Fallenfeld hinzu. Einreichungen, die es füllen, werden stillschweigend als Bot-Verkehr fallen gelassen."
"Back","Zurück"
"Button Label","Schaltflächenbezeichnung"
"Cooling-Off Period (Days)","Abkühlungszeitraum (Days)"
"create a credit memo","eine Rechnungskorrektur erstellen"
"CSV","CSV"
"Customer Name","Kundenname"
"Customer Receipt Template","Kunden-Belegvorlage"
"Customer submitted revocation request #%s via their account.","Kunde hat eine Widerrufsanfrage #%s über sein Konto eingereicht."
"Custom Label","Eigene Bezeichnung"
"Declaration (read-only legal record)","Deklaration (schreibgeschützter Datensatz)"
"Email","E-Mail"
"Email Sender","E-Mail Absender"
"Email Settings","E-Mail-Einstellungen"
"Email Suppressed","E-Mail unterdrückt"
"Enabled","Aktiviert"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","Die EU-Richtlinie 2023/2673 (in Deutschland: &sect;356a BGB) verlangt, dass B2C-Shops, die in die EU verkauft werden, ab dem 19. Juni 2026 einen Widerrufsknopf zur Verfügung stellen. Dieses Modul stellt diesen Kanal zur Verfügung."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Weitere Anfragen werden zwar noch aufgezeichnet, aber die Kundenquittierungs-E-Mail wird unterdrückt (sichtbar und im Admin-Raster erneut versandbar). Besiegt E-Mail-Bombardierung von Dritten. 0 deaktiviert das Limit."
"General","Allgemein"
"Honeypot Field","Honeypot-Feld"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Wenn Sie innerhalb weniger Minuten keine Bestätigungs-E-Mail erhalten, kontaktieren Sie uns bitte unter %s und geben Sie Ihre Referenznummer an."
"I hereby revoke this contract","Ich widerrufe hiermit diesen Vertrag"
"Information Requested","Information angefordert"
"Internal Note","Interne Notiz"
"Invalid decision.","Ungültige Entscheidung."
"Invalid form key. Please refresh the page and try again.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut."
"IP Address","IP-Adresse"
"Leave empty to use the General Contact email address.","Leer lassen, um die allgemeine Kontaktadresse zu verwenden."
"Leave empty to use the label configured under Sales > Revocation Button.","Leer lassen, um die unter Verkauf > Widerrufsbelehrung konfigurierte Bezeichnung zu verwenden."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Leer lassen, um den übersetzten Standard zu verwenden (""Widerrufsvertrag"" / ""Vertrag widerrufen"")."
"Link Order","Link-Reihenfolge"
"Link to order (increment ID):","Link zur Bestellung (Inkrement-ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link zum Widerrufsformular (EU-Richtlinie 2023/2673). Platzieren Sie es in Ihrer Fußzeile oder wo immer es während der Widerrufsfrist sichtbar bleiben muss."
"Locale","Lokal"
"Mark as Accepted","Als akzeptiert markieren"
"Mark as Rejected","Als abgelehnt markieren"
"Mark the selected requests as accepted? The matched orders are not modified.","Markieren Sie die ausgewählten Anfragen als akzeptiert? Die zugehörigen Bestellungen werden nicht geändert."
"Mark the selected requests as rejected? The matched orders are not modified.","Ausgewählte Anfragen als abgelehnt markieren? Die zugehörigen Aufträge wurden nicht geändert."
"Matched Order","Übereinstimmende Reihenfolge"
"Merchant Notification Email","Händlerbenachrichtigungs-E-Mail"
"Merchant Notifications per Store per Hour","Händlerbenachrichtigungen pro Shop pro Stunde"
"Merchant Notification Template","Händlerbenachrichtigungsvorlage"
"Minimum Submit Time (Seconds)","Minimale Sendezeit (Sekunden)"
"Must only acknowledge receipt of the declaration, never acceptance.","Sie dürfen nur den Erhalt der Erklärung anerkennen, niemals die Annahme annehmen."
"Name","Name"
"No","Nein"
"No (self-asserted via the public form)","Nein (selbstbehauptet über die öffentliche Form)"
"No order could be matched to this request. The customer typed ""%s"".","Keine Bestellung konnte auf diese Anfrage abgestimmt werden. Der Kunde hat ""%s "" eingegeben."
"No order found for increment ID ""%s"".","Keine Bestellung für Inkrement-ID ""%s "" gefunden."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Es werden nur unsichtbare Hintergrundmessungen verwendet (Honigtopf, Einreichungszeiten, unsichtbares Captcha, Kurslimits).<br>Manuelle CAPTCHAs und E-Mail-Verifizierungslinks sind rechtlich unzulässig für das Widerrufsformular. Passen Sie diese Grenzen nicht so streng an, dass legitime Kunden blockiert werden."
"Order","Sortierung"
"Order Number","Bestellnummer"
"Order Reference","Bestellnummer"
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Please fill in your name, your order reference and your email address.","Bitte geben Sie Ihren Namen, Ihre Bestellnummer und Ihre E-Mail-Adresse ein."
"Please select request(s).","Bitte Anfrage(n) auswählen."
"Processed At","Verarbeitet am"
"Processed Status","Verarbeitete Status"
"Processing","Verarbeitung"
"Process Requests","Prozessanfragen"
"Reason","Grund"
"Reason (optional)","Grund (optional)"
"Receipt Emails per Recipient per Day","Erhalt von E-Mails pro Empfänger pro Tag"
"Received","Erhalten"
"Received at","Erhalten am"
"Received at (UTC)","Erhalten am (UTC)"
"Reference number","Referenznummer"
"Rejected","Abgelehnt"
"Reject Revocation","Widerruf ablehnen"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Widerrufsbelehr? Dies erfasst die Entscheidung und fügt der zugehörigen Bestellung eine Notiz hinzu. Kein Bestellstatus ändert sich automatisch."
"Request #%s","Anfrage #%s"
"Resend Receipt Email","Empfangsbestätigung erneut senden"
"Resend the receipt email to %s?","Empfangsbestätigung erneut an %s senden?"
"Revocation Button","Widerrufsschaltfläche"
"Revocation Form","Widerrufsformular"
"Revocation Merchant Notification","Widerrufsrecht Händlerbenachrichtigung"
"Revocation Receipt Confirmation","Widerrufsbeleg Bestätigung"
"Revocation received","Widerruf erhalten"
"Revocation Request","Widerrufsantrag"
"Revocation Request #%s","Widerrufsanfrage #%s"
"Revocation request #%s accepted.","Widerrufsanfrage #%s akzeptiert."
"Revocation request #%s rejected.","Widerrufsanfrage #%s abgelehnt."
"Revocation Requests","Widerrufsanfragen"
"Revocation Success","Widerruf erfolgreich"
"Revoke contract","Vertrag widerrufen"
"Revoke this contract","Diesen Vertrag widerrufen"
"Sales","Verkäufe"
"Save Note","Notiz speichern"
"Store View","Store-Ansicht"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Einreichungen schneller als diese nach der Seitendarstellung werden stillschweigend fallen gelassen als Bot Traffic. 0 deaktiviert die Prüfung."
"Submissions per IP per Hour","Einreichungen pro IP pro Stunde"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage."
"The receipt email could not be sent. Please check the email configuration.","Die Quittungs-E-Mail konnte nicht gesendet werden. Bitte überprüfen Sie die E-Mail-Konfiguration."
"The receipt email has been resent to %s.","Die Quittungs-E-Mail wurde an %s gesendet."
"The request has been linked to order %s.","Die Anfrage wurde mit Bestellung %s verknüpft."
"The revocation has been marked as accepted.","Der Widerruf wurde als angenommen markiert."
"The revocation has been marked as rejected.","Der Widerruf wurde als abgelehnt markiert."
"The revocation request has been saved.","Die Widerrufsanfrage wurde gespeichert."
"This revocation request no longer exists.","Diese Widerrufsanfrage existiert nicht mehr."
"This revocation was accepted. To refund the customer, %s for order %s.","Dieser Widerruf wurde angenommen. Um den Kunden zu erstatten, %s für die Bestellung %s."
"Total of %d request(s) were updated.","%d Anfrage(n) wurden aktualisiert."
"Used to gate the my-account entry point. The statutory period is 14 days.","Wird verwendet, um den Startpunkt für mein Konto zu verlegen."
"User Agent","User-Agent"
"Verified","Verifiziert"
"View Request","Anfrage anzeigen"
"View Requests","Anfragen anzeigen"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Wir haben Ihre Widerrufserklärung erhalten. Bitte beachten Sie, dass dies nur den Erhalt bestätigt; die Gültigkeit des Widerrufs wird geprüft und wir werden Sie separat kontaktieren."
"Yes","Ja"
"Yes (submitted from an authenticated customer session)","Ja (eingereicht von einer authentifizierten Kundensitzung)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","Sie können Ihren Vertrag innerhalb der gesetzlichen Widerrufsfrist über dieses Formular widerrufen.<br>Nach dem Absenden erhalten Sie eine Bestätigung, dass Ihre Erklärung empfangen wurde."
"Your request could not be processed right now. Please try again later or contact us directly.","Ihre Anfrage konnte momentan nicht bearbeitet werden. Bitte versuchen Sie es später noch einmal oder kontaktieren Sie uns direkt."
"Your revocation has been received","Dein Widerruf wurde empfangen"
