"%d Review(s)","%d Bewertung(en)"
"1 star","1 Stern"
"2 stars","2 Sterne"
"3 stars","3 Sterne"
"4 stars","4 Sterne"
"5 stars","5 Sterne"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Neue Bewertung hinzufügen"
"Administrator","Administrator"
"Allow Guests to Write Reviews","Gästen das Schreiben von Bewertungen erlauben"
"All Reviews","Alle Bewertungen"
"All Reviews of Customer `%s`","Alle Bewertungen des Kunden `%s`"
"All Reviews of Product `%s`","Alle Bewertungen des Produkts `%s`"
"Approved","Genehmigt"
"Are you sure?","Bist du sicher?"
"Are you sure you want to do this?","Bist du sicher, dass du dies tun möchtest?"
"Average Customer Rating:","Durchschnittliche Kundenbewertung:"
"Back","Zurück"
"Back to My Reviews","Zurück zu meinen Bewertungen"
"Be the First to Review","Sei der Erste der Überprüfung"
"Be the first to review this product","Sei der Erste, der dieses Produkt prüft"
"Cancel","Abbrechen"
"Close","Schließen"
"Created On","Erstellt am"
"Customer","Kunde"
"Customer My Account Product Reviews","Kunde - Mein Konto - Produktbewertungen"
"Customer My Account Review Details","Kunde - Mein Konto - Bewertungsdetails"
"Customer Reviews","Kundenbewertungen"
"Customers Reviews","Kundenbewertungen"
"Delete","Löschen"
"Delete Review","Bewertung löschen"
"Detailed Rating","Detaillierte Bewertung"
"Edit Review '%s'","Bewertung '%s ' bearbeiten"
"Guest","Gast"
"ID","ID"
"Manage Ratings","Bewertungen verwalten"
"My Product Reviews","Meine Produktbewertungen"
"My Recent Reviews","Meine letzten Bewertungen"
"Name","Name"
"Name in Store","Name im Store"
"New Review","Neue Bewertung"
"Nickname","Spitzname"
"Nickname can't be empty","Nickname darf nicht leer sein"
"Not Approved","Nicht genehmigt"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Ausstehend"
"Pending Reviews","Ausstehende Bewertungen"
"Pending Reviews of Customer `%s`","Ausstehende Bewertungen des Kunden `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Pro IP-Adresse. Standard 5 pro Stunde. 0 zum Deaktivieren."
"Please select a rating for each category","Bitte wählen Sie eine Bewertung für jede Kategorie"
"Posted By","Gepostet von"
"Price","Preis"
"Product","Produkt"
"Product Name","Produktname"
"Product Rating","Produkt-Bewertung"
"Product Reviews","Produktbewertungen"
"Product SKU","Produkt-SKU"
"Products Reviews","Produkt-Bewertungen"
"Qty","Menge"
"Rating:","Bewertung:"
"Review","Überprüfen"
"Review (submitted on %s):","Bewertung (eingereicht am %s):"
"Review can't be empty","Bewertung darf nicht leer sein"
"Review Details","Bewertungsdetails"
"Review Form Fields Before","Bewertungsformularfelder vorher"
"Reviews","Bewertungen"
"Reviews and Ratings","Bewertungen und Bewertungen"
"Review submit","Bewertung absenden"
"Review summary can't be empty","Überprüfungszusammenfassung darf nicht leer sein"
"Save Review","Bewertung speichern"
"SKU","SKU"
"Status","Status"
"Submit Review","Bewertung absenden"
"Summary","Summary"
"Summary of Review","Zusammenfassung der Überprüfung"
"Summary Rating","Zusammenfassungs-Bewertung"
"This product has no reviews yet","Dieses Produkt hat noch keine Bewertungen"
"Title","Titel"
"Type","Typ"
"Unable to post the review.","Kann die Bewertung nicht veröffentlichen."
"Update Status","Status aktualisieren"
"View All Reviews","Alle Bewertungen anzeigen"
"View Details","Details anzeigen"
"Visible In","Sichtbar in"
"Websites","Webseiten"
"Write a Review","Schreibe eine Bewertung"
"You're reviewing:","Du überprüfst:"
"You have submitted no reviews.","Du hast keine Bewertungen eingereicht."
"Your Rating:","Ihre Bewertung:"
"Your Review (submitted on %s):","Ihre Bewertung (eingereicht am %s):"
"Your review has been accepted for moderation.","Ihre Bewertung wurde zur Moderation angenommen."
