"-- All Categories --","-- Alle Kategorien --"
"-- Top Level --","-- Top Level --"
"-- Use System Default --","-- Systemstandard verwenden --"
"86400 by default, if not set. Saving a post refreshes it.","86400 wenn nicht gesetzt. Speichern eines Beitrags wird aktualisiert."
"A category with URL key ""%s"" already exists under the same parent.","Eine Kategorie mit dem URL-Schlüssel ""%s"" existiert bereits unter demselben Elternteil."
"Add Category","Neue Kategorie"
"Add Post","Neuer Beitrag"
"Blog","Blog"
"Blog Categories","Blog-Kategorien"
"Blog Category","Blog-Kategorie"
"Blog Post","Blogbeitrag"
"Blog Post API","Blog Post API"
"Blog Posts","Blog-Beiträge"
"Blog Posts Grid Template","Blog-Beitragsraster-Vorlage"
"Blog Recent Posts","Aktuelle Blogbeiträge"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (Sekunden)"
"Categories","Kategorien"
"Category","Kategorie"
"Category Information","Kategorieinformationen"
"Category Posts","Kategoriebeiträge"
"Category URL Prefix","Kategorie-URL-Präfix"
"Category was successfully deleted","Kategorie wurde erfolgreich gelöscht"
"Category was successfully saved","Kategorie wurde erfolgreich gespeichert"
"Create blog post","Blogbeitrag erstellen"
"Create new post","Neuen Beitrag erstellen"
"Delete Category","Kategorie löschen"
"Delete Post","Beitrag löschen"
"Delete post","Beitrag löschen"
"Edit Category","Kategorie bearbeiten"
"Edit Category '%s'","Kategorie '%s ' bearbeiten"
"Edit Post","Beitrag bearbeiten"
"Edit Post '%s'","Beitrag '%s ' bearbeiten"
"Enable Blog Search in Autosuggest","Blog-Suche in Autosuggest aktivieren"
"Enable Categories","Kategorien aktivieren"
"General","Allgemein"
"General Information","Allgemeine Informationen"
"Get post info","Beitragsinfo abrufen"
"Get post list","Beitragsliste erhalten"
"Include Images","Bilder einbeziehen"
"Level","Level"
"Maximum Blog Posts in Autosuggest","Maximale Anzahl von Blog-Beiträgen in Autosuggest"
"Meta Information","Meta-Informationen"
"Meta Title","Meta-Titel"
"New Category","Neue Kategorie"
"New Post","Neuer Beitrag"
"Number of Posts to Display","Anzahl der anzuzeigenden Beiträge"
"Parent Category","Übergeordnete Kategorie"
"Please select category(s)","Bitte Kategorie(n) auswählen"
"Please select post(s)","Bitte Poste(s) auswählen"
"Position","Position"
"Post Categories","Post-Kategorien"
"Post Content","Beitragsinhalt"
"Post Information","Beitragsinformationen"
"Posts","Beiträge"
"Posts in this category and its subcategories. Leave empty for all posts.","Beiträge in dieser Kategorie und ihren Unterkategorien. Leer lassen für alle Beiträge."
"Posts per Page","Beiträge pro Seite"
"Post was successfully deleted","Beitrag wurde erfolgreich gelöscht"
"Post was successfully saved","Beitrag wurde erfolgreich gespeichert"
"Publishing Date","Veröffentlichungsdatum"
"Remove blog post","Blog-Beitrag entfernen"
"Retrieve blog post info","Blog-Beitragsinformationen abrufen"
"Retrieve blog posts","Blog-Beiträge abrufen"
"Save Category","Kategorie speichern"
"Save Post","Beitrag speichern"
"Show in Navigation","In Navigation anzeigen"
"Shown above the posts. Leave empty for no title.","Über den Beiträgen anzeigen. Leer lassen für keinen Titel."
"Template","Vorlage"
"The latest published blog posts, optionally from one category","Die zuletzt veröffentlichten Blog-Beiträge, wahlweise aus einer Kategorie"
"There are no blog posts in this category.","There are no blog posts in this category."
"There are no blog posts to display.","Es gibt keine Blog-Beiträge zum Anzeigen."
"This category no longer exists.","Diese Kategorie existiert nicht mehr."
"This post no longer exists.","Dieser Beitrag existiert nicht mehr."
"Title","Titel"
"Total of %d category(s) were deleted","Insgesamt wurden %d Kategorie(n) gelöscht"
"Total of %d post(s) were deleted","%d Beiträge(n) wurden gelöscht"
"Update blog post","Blogbeitrag aktualisieren"
"Update post","Beitrag aktualisieren"
"URL Prefix","URL-Präfix"
