"Alert Email Sender","Benachrichtigungs-E-Mail-Absender"
"Alert subscription has been saved.","Alarm-Abonnierung wurde gespeichert."
"Allow Alert When Product Comes Back in Stock","Erlaube Benachrichtigung wenn Artikel wieder verfügbar wird"
"Allow Alert When Product Price Changes","Erlaube Benachrichtigung wenn sich Artikelpreis ändert"
"Click here not to receive alerts for this product","Click here not to receive alerts for this product"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Frequency","Häufigkeit"
"Not enough parameters.","Not enough parameters."
"Price:","Preis:"
"Price Alert Email Template","E-Mail-Vorlage Preisbenachrichtigung"
"Product Alerts","Artikelbenachrichtigungen"
"Product alerts Cron error","Ausführungsfehler bei Artikelbenachrichtigungen"
"Product Alerts Run Settings","Ausführungseinstellungen für Artikelbenachrichtigungen"
"Product price alert","Product price alert"
"Product stock alert","Product stock alert"
"Regular Price:","Regular Price:"
"Sign up for price alert","Sign up for price alert"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Special price:","Special price:"
"Start Time","Startzeit"
"Stock Alert Email Template","E-Mail-Vorlage Verfügbarkeitsbenachrichtung"
"The alert subscription has been deleted.","You will no longer receive price alerts for this product."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product was not found."
"The product was not found.","Das Produkt wurde nicht gefunden."
"Unable to update the alert subscription.","Das Alarm-Abo konnte nicht aktualisiert werden."
"Unsubscribe from all price alerts","Alle Preis-Benachrichtigungen abbestellen"
"Unsubscribe from all stock alerts","Alle Bestandsbenachrichtigungen abbestellen"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
"You will no longer receive price alerts for this product.","Sie erhalten künftig keine Preis-Alarme mehr für dieses Produkt."
"You will no longer receive stock alerts.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand."
"You will no longer receive stock alerts for this product.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand dieses Produkts."
