"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping."
"%1$s has been updated in your wishlist.","Το %1$s ενημερώθηκε στη λίστα επιθυμιών σας."
"%d product(s) have been added to shopping cart: %s.","%d προϊόν(τα) έχουν προστεθεί στο καλάθι αγορών: %s."
"%s's Wishlist","%s's Wishlist"
"%s for ""%s"".","%s για ""%s""."
"%s has been moved to wishlist %s","%s έχει μεταφερθεί στη λίστα επιθυμιών %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","Το %s έχει μεταφερθεί στη λίστα επιθυμιών %s. Παρακαλώ σημειώστε ότι τα αρχεία που φορτώθηκαν θα πρέπει να ξαναφορτωθούν κατά την προσθήκη στο καλάθι."
"%s was added to your shopping cart.","Το %s προστέθηκε στο καλάθι αγορών σας."
"* Required Fields","* Απαιτούμενα Πεδία"
"Add All to Cart","Προσθήκη όλων στο Καλάθι"
"Added From","Προστέθηκε Από"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη στη Σύγκριση"
"Add to Wishlist","Προσθήκη στη λίστα επιθυμιών"
"An error occurred while adding item to wishlist.","Παρουσιάστηκε σφάλμα κατά την προσθήκη στοιχείου στη λίστα επιθυμιών."
"An error occurred while adding item to wishlist: %s","Παρουσιάστηκε σφάλμα κατά την προσθήκη στοιχείου στη λίστα επιθυμιών: %s"
"An error occurred while deleting the item from wishlist.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή του στοιχείου από τη λίστα επιθυμιών."
"An error occurred while deleting the item from wishlist: %s","Παρουσιάστηκε σφάλμα κατά τη διαγραφή του στοιχείου από τη λίστα επιθυμιών: %s"
"An error occurred while updating wishlist.","Παρουσιάστηκε σφάλμα κατά την ενημέρωση λίστας επιθυμιών."
"Are you sure you want to remove this product from your wishlist?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε αυτό το προϊόν από τη λίστα επιθυμιών σας?"
"Are you sure you would like to remove this item from the wishlist?","Είστε βέβαιοι ότι θα θέλατε να αφαιρέσετε αυτό το στοιχείο από τη λίστα επιθυμιών?"
"Back","Πίσω"
"Can't delete item from wishlist","Αδυναμία διαγραφής στοιχείου από τη λίστα επιθυμιών"
"Can't save description %s","Αδυναμία αποθήκευσης περιγραφής %s"
"Can't update wishlist","Αδυναμία ενημέρωσης λίστας επιθυμιών"
"Cannot add item to shopping cart","Δεν είναι δυνατή η προσθήκη στοιχείου στο καλάθι αγορών"
"Cannot add the item to shopping cart.","Δεν είναι δυνατή η προσθήκη του στοιχείου στο καλάθι αγορών."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Δεν είναι δυνατή η προσθήκη του επιλεγμένου προϊόντος στο καλάθι αγορών, επειδή το προϊόν αφαιρέθηκε από τη λίστα επιθυμιών"
"Cannot configure product","Αδυναμία ρύθμισης προϊόντος"
"Cannot load wishlist item","Αδυναμία φόρτωσης αντικειμένου λίστας επιθυμιών"
"Cannot move item to wishlist","Δεν μπορείτε να μετακινήσετε το στοιχείο στη λίστα επιθυμιών"
"Cannot specify product.","Δεν μπορεί να προσδιοριστεί το προϊόν."
"Cannot specify wishlist.","Αδυναμία καθορισμού λίστας επιθυμιών."
"Cannot specify wishlist item.","Αδυναμία καθορισμού στοιχείου λίστας επιθυμιών."
"Cannot update wishlist","Αδυναμία ενημέρωσης λίστας επιθυμιών"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Ενεργοποιήστε αυτή την επιλογή αν θέλετε να προσθέσετε ένα σύνδεσμο σε μια ροή rss στη λίστα επιθυμιών σας."
"Click for price","Κάντε κλικ για τιμή"
"Comment","Σχόλιο"
"Comment:","Σχόλιο:"
"Configured Price:","Διαμορφωμένη Τιμή:"
"Configure Wishlist Item","Ρύθμιση Στοιχείου Λίστας Επιθυμιών"
"Could not find wishlist","Αδυναμία εύρεσης λίστας επιθυμιών"
"Customer My Account My Wishlist","Ο Λογαριασμός Μου Λίστα Επιθυμιών"
"Customer My Account Wishlist Sharing Form","Πελάτης Ο Λογαριασμός Μου Λίστα Επιθυμιών Κοινή Χρήση Φόρμας"
"Customer Shared Wishlist View","Πελάτης Κοινή Λίστα Επιθυμιών Προβολή"
"Date Added","Ημερομηνία Προσθήκης"
"Days in Wishlist","Ημέρες στη λίστα επιθυμιών"
"Display Wishlist Summary","Εμφάνιση Περίληψης Λίστας Επιθυμιών"
"Edit","Επεξεργασία"
"Email address can't be empty.","Η διεύθυνση ηλεκτρονικού ταχυδρομείου δεν μπορεί να είναι κενή."
"Email Sender","Αποστολέας Email"
"Email Template","Πρότυπο Email"
"Enabled","Ενεργοποιημένο"
"General Options","Γενικές Επιλογές"
"Go to Wishlist","Μετάβαση στη λίστα επιθυμιών"
"Helper for wishlist options rendering doesn't implement required interface.","Βοηθός για τις επιλογές wishlist rendering δεν εφαρμόζει την απαιτούμενη διασύνδεση."
"In stock","Σε απόθεμα"
"Last Added Items","Στοιχεία Που Προστέθηκαν Τελευταία"
"Message","Μήνυμα"
"My Wishlist","Λίστα Επιθυμιών Μου"
"My Wishlist (%d item)","Λίστα επιθυμιών μου (%d item)"
"My Wishlist (%d items)","Λίστα επιθυμιών μου (%d αντικείμενα)"
"My Wishlist <small>(%d)</small>","Λίστα Επιθυμιών Μου <small>(%d)</small>"
"My Wishlist Link","Σύνδεσμος Λίστας Επιθυμιών Μου"
"Options Details","Λεπτομέρειες Επιλογών"
"Out of stock","Χωρίς απόθεμα"
"Please, enter your comments...","Παρακαλώ, εισάγετε τα σχόλιά σας..."
"Please add product to wishlist again.","Παρακαλώ προσθέστε το προϊόν στη λίστα επιθυμιών ξανά."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου, χωρισμένη με κόμμα. Για παράδειγμα johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Παρακαλώ εισάγετε όχι περισσότερες από 5 διευθύνσεις email."
"Please input a valid email address.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email."
"Price","Τιμή"
"Product","Προϊόν"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Προϊόν(τα) %s έχουν απαιτούμενες επιλογές. Κάθε ένα από αυτά μπορεί να προστεθεί στο καλάθι ξεχωριστά μόνο."
"Qty","Ποσότητα"
"Remove Item","Αφαίρεση Αντικειμένου"
"Remove item","Αφαίρεση αντικειμένου"
"Remove This Item","Αφαίρεση Αυτού Του Είδους"
"Requested cart item doesn't exist","Το ζητούμενο στοιχείο καλαθιού δεν υπάρχει"
"Requested wishlist doesn't exist","Η ζητούμενη λίστα επιθυμιών δεν υπάρχει"
"RSS Feed","Ροή RSS"
"RSS link to %s's wishlist","Σύνδεσμος RSS στη λίστα επιθυμιών του %s"
"Share Options","Επιλογές Κοινοποίησης"
"Share Wishlist","Κοινή Χρήση Λίστας Επιθυμιών"
"Share Your Wishlist","Μοιραστείτε Τη Λίστα Επιθυμιών Σας"
"Sharing Information","Πληροφορίες Κοινή Χρήση"
"SKU","SKU"
"This product(s) is currently out of stock","Αυτό το(τα) προϊόν(τα) έχει εξαντληθεί"
"This Wishlist has no Items","Αυτή η λίστα επιθυμιών δεν έχει κανένα στοιχείο"
"Unable to add the following product(s) to shopping cart: %s.","Δεν είναι δυνατή η προσθήκη των παρακάτω προϊόντων στο καλάθι αγορών: %s."
"Update Wishlist","Ενημέρωση Λίστας Επιθυμιών"
"Up to 5 email addresses, separated by commas","Έως 5 διευθύνσεις ηλεκτρονικού ταχυδρομείου, διαχωρισμένες με κόμματα"
"User Description","Περιγραφή Χρήστη"
"View Details","Προβολή Λεπτομερειών"
"View Product","Προβολή Προϊόντος"
"What's this?","Τι είναι αυτό?"
"Wishlist","Λίστα Επιθυμιών"
"Wishlist could not be created.","Δεν ήταν δυνατή η δημιουργία λίστας επιθυμιών."
"Wishlist is empty now.","Η λίστα επιθυμιών είναι κενή τώρα."
"Wishlist Sharing","Κοινή Χρήση Λιστών Επιθυμιών"
"You have no items in your wishlist.","Δεν έχετε προϊόντα στη λίστα επιθυμιών σας."
"Your Wishlist has been shared.","Η λίστα επιθυμιών σας έχει κοινοποιηθεί."
