"-- None --","-- Κανένα --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Προσθέτει αθροιστική αξιολόγηση (αξία αξιολόγησης και μέτρηση αξιολόγησης) και μεμονωμένους κόμβους αναθεώρησης (όνομα κριτή και κείμενο αξιολόγησης) στο σχήμα προϊόντος όταν είναι ενεργοποιημένες οι κριτικές."
"Brand Attribute","Χαρακτηριστικό Εμπορικού Σήματος"
"Enable Structured Data","Ενεργοποίηση Δομημένων Δεδομένων"
"GTIN Attribute","Χαρακτηριστικό GTIN"
"Include Ratings & Reviews","Συμπερίληψη Αξιολογήσεων & Αξιολογήσεων"
"Local Business","Τοπική Επιχείρηση"
"MPN Attribute","Χαρακτηριστικό MPN"
"Online Store","Ηλεκτρονικό Κατάστημα"
"Organization","Οργανισμός"
"Organization Type","Τύπος Οργανισμού"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Έξοδοι <strong>JSON-LD δομημένα δεδομένα</strong> σύμφωνα με το schema.org και τις απαιτήσεις της Google, επιτρέποντας πλούσια αποτελέσματα για τα προϊόντα, breadcrumbs, πληροφορίες οργανισμού και αναζήτηση ιστοσελίδων. Επικυρώστε τις σελίδες σας με το <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Αποτελέσματα Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Ιδιότητα προϊόντος που κατέχει τον παγκόσμιο εμπορικό αριθμό (UPC/EAN/ISBN)."
"Product attribute holding the Manufacturer Part Number.","Ιδιότητα προϊόντος που κρατά τον Αριθμό Εξαρτήματος Κατασκευαστή."
"Product attribute used for the schema.org ""brand"" property.","Χαρακτηριστικό προϊόντος που χρησιμοποιείται για την ιδιότητα schema.org ""brand""."
"Product Schema","Σχήμα Προϊόντων"
"Structured Data (schema.org)","Δομημένα Δεδομένα (schema.org)"
