"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"-- All Active Rules --","-- All Active Rules --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 by default, if not set. Rule prices change with the daily catalog rule reindex."
"Actions","Ενέργειες"
"Active","Ενεργό"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Εφαρμογή"
"Apply Rules","Εφαρμογή των κανόνων"
"Attribute Set","Σύνολο χαρακτηριστικών"
"Best Selling","Best Selling"
"Biggest Discount","Biggest Discount"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Κατάλογος"
"Catalog On Sale Products","Catalog On Sale Products"
"Catalog Price Rule","Κανόνας Τιμής Καταλόγου"
"Catalog Price Rules","Κανόνες Τιμών Καταλόγου"
"Category","Κατηγορία"
"Conditions","Συνθήκες"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Customer Groups","Ομάδες Πελατών"
"Date Expire","Date Expire"
"Date From","Ημερομηνία από"
"Date Start","Date Start"
"Date To","Ημερομηνία έως"
"Description","Περιγραφή"
"Discount Amount","Ποσό Έκπτωσης"
"Edit Rule","Επεξεργασία Ρόλου"
"Edit Rule '%s'","Edit Rule '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expiration Date","Ημερομηνία λήξης"
"From Date","From Date"
"General Information","Γενικές Πληροφορίες"
"ID","ID"
"Inactive","Ανενεργό"
"List of Products with an active Catalog Price Rule discount","List of Products with an active Catalog Price Rule discount"
"Newest","Newest"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"Only In-Stock Products","Only In-Stock Products"
"On Sale","On Sale"
"On Sale Images and Names Template","On Sale Images and Names Template"
"On Sale Images Only Template","On Sale Images Only Template"
"On Sale Names Only Template","On Sale Names Only Template"
"On Sale Products Grid Template","On Sale Products Grid Template"
"On Sale Products List Template","On Sale Products List Template"
"Options","Επιλογές"
"Order Products By","Order Products By"
"Priority","Προτεραιότητα"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Promotions","Προωθητικές ενέργειες"
"Random","Random"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules."
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα κανόνα"
"Save and Apply","Αποθήκευση και Εφαρμογή"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Start Date","Ημερομηνία έναρξης"
"Status","Κατάσταση"
"Stop Further Rules Processing","Stop Further Rules Processing"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"This rule no longer exists.","Ο κανόνας αυτός δεν υπάρχει πια."
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Type","Τύπος"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Website","Ιστοσελίδα"
"Websites","Ιστοσελίδες"
"Wrong rule specified","Wrong rule specified"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ναί"
