"%s's Wishlist","%s's Wishlist"
"%s - Discounts and Coupons","%s - Εκπτώσεις και Κουπόνια"
"%s - Special Products","%s - Ειδικά Προϊόντα"
"%s has reached a quantity of %s.","Το %s έχει φτάσει σε ποσότητα %s."
"%s RSS Feed","Τροφοδοσία RSS %s"
"Admin Catalog","Κατάλογος Διαχειριστή"
"Admin Order","Παραγγελία Διαχειριστή"
"Cannot retrieve the wishlist","Δεν είναι δυνατή η ανάκτηση της λίστας επιθυμιών"
"Catalog","Κατάλογος"
"Category Feeds","Ροές Κατηγοριών"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
"Click for price","Κάντε κλικ για τιμή"
"Coupons/Discounts","Κουπόνια/Εκπτώσεις"
"Customer Name: %s","Όνομα Πελάτη: %s"
"Discount","Έκπτωση"
"Discount (%s)","Έκπτωση (%s)"
"Enable RSS","Ενεργοποίηση RSS"
"Error in processing xml. %s","Σφάλμα στην επεξεργασία xml. %s"
"From:","Από:"
"Get Feed","Λήψη Ροής"
"Gift Message","Μήνυμα Δώρου"
"Grand Total","Γενικό Σύνολο"
"Low Stock Products","Προϊόντα Χαμηλού Αποθέματος"
"Message:","Μήνυμα:"
"Miscellaneous Feeds","Διάφορες Ροές"
"New Order Notification","Ειδοποίηση Νέας Παραγγελίας"
"New Order Period (days)","Νέα Περίοδος Παραγγελίας (ημέρες)"
"New Orders","Νέες Παραγγελίες"
"New Products","Νέα Προϊόντα"
"New Products from %s","Νέα Προϊόντα από %s"
"Order","Σειρά"
"Order #%s created at %s","Η παραγγελία #%s δημιουργήθηκε στο %s"
"Pending product review(s)","Αξιολόγηση(εις) προϊόντος σε αναμονή"
"Product: ""%s"" review By: %s","Προϊόν: ""%s"" κριτική Από: %s"
"Product: <a href=""%s"">%s</a> <br>","Προϊόν: <a href=""%s"">%s</a> <br>"
"Products tagged with %s","Προϊόντα με ετικέτα %s"
"Purchased From: %s","Αγορασμένο Από: %s"
"Review: %s <br>","Κριτική: %s <br>"
"Review Notification","Αναθεώρηση Ειδοποίησης"
"Rss Config","Ρυθμίσεις RSS"
"RSS Feeds","Ροές RSS"
"RSS Feeds List","Λίστα Ροών RSS"
"Shipping &amp; Handling","Μεταφορικά &amp; Χειρισμός"
"Special Products","Ειδικά Προϊόντα"
"Stock Notification","Ειδοποίηση Αποθέματος"
"Store: %s <br>","Κατάστημα: %s <br>"
"Subtotal","Υποσύνολο"
"Summary of review: %s <br>","Περίληψη αξιολόγησης: %s <br>"
"Tags Products","Προϊόντα Ετικετών"
"Tax","Φόρος"
"There are no Rss Feeds","Δεν υπάρχουν ροές RSS"
"To:","Προς:"
"Top Level Category","Ανώτερο Επίπεδο Κατηγορίας"
"Wishlist","Λίστα Επιθυμιών"
