"%s wants to connect to your store","Το %s θέλει να συνδεθεί στο κατάστημά σας"
"-- No Role --","-- Δεν Υπάρχει Ρόλος --"
"Access Token Lifetime","Διάρκεια Ζωής Διακριτικού Πρόσβασης"
"Account Information","Πληροφορίες Λογαριασμού"
"Act as you until you revoke this application, or your admin account is disabled.","Λειτουργεί όπως εσείς μέχρι να ανακαλέσετε αυτή την εφαρμογή, ή ο λογαριασμός διαχειριστή σας είναι απενεργοποιημένος."
"Active","Ενεργό"
"Add New Role","Προσθήκη Νέου Ρόλου"
"Add New User","Προσθήκη Νέου Χρήστη"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Διαχειριστής GraphQL στο /api/admin/graphql (απαιτεί admin auth)"
"All","Όλα"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Όλα τα πρωτόκολλα API είναι <strong>απενεργοποιημένα από προεπιλογή</strong>. Ενεργοποιήστε μόνο αυτά που πραγματικά χρησιμοποιείτε, τίποτα από επιστρέφει 404 στο σημείο εισόδου."
"Allow Applications to Register Themselves","Επιτρέψτε στις Εφαρμογές να Εγγραφούν οι ίδιοι"
"API","API"
"API Cache","API Cache"
"API Key","Κλειδί API"
"API Protocols","API Protocols"
"API Role","Ρόλος API"
"API user has been deleted.","Ο χρήστης API έχει διαγραφεί."
"API user has been saved.","Ο χρήστης API έχει αποθηκευτεί."
"API User Information","Πληροφορίες Χρήστη API"
"API user not found.","Ο χρήστης API δεν βρέθηκε."
"API v2 Roles","API v2 Roles"
"API v2 Users","Χρήστες API v2"
"Application","Εφαρμογή"
"Approve","Έγκριση"
"Assign Role","Εκχώρηση Ρόλου"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Πιστοποίηση μέσω σύνδεσης πελάτη (email + κωδικός). Κάθε πελάτης μπορεί να έχει πρόσβαση μόνο στα δικά του δεδομένα."
"Authorization Code Lifetime","Διάρκεια Ζωής Κώδικα Εξουσιοδότησης"
"Authorization Server","Εξουσιοδότηση Διακομιστή"
"Authorize Application","Εξουσιοδότηση Εφαρμογής"
"Cache TTL (seconds)","Προσωρινή Αποθήκευση TTL (δευτερόλεπτα)"
"Can reach","Μπορεί να φτάσει"
"Catalog, cart and order tools for %s","Εργαλεία καταλόγου, καλαθιού και παραγγελιών για %s"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Επιλέξτε για να δημιουργήσετε νέο client_id και client_secret. Τα παλιά διαπιστευτήρια θα σταματήσουν να λειτουργούν."
"Client Credentials","Πιστοποιητικά Πελάτη"
"Client ID","Ταυτότητα Πελάτη"
"Client ID: %s","ID Πελάτη: %s"
"Client Secret","Μυστικό Πελάτη"
"Client Secret: %s","Μυστικό Πελάτη: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Λίστα χωρισμένη με κόμματα των επιτρεπόμενων καταγωγών. Προεπιλογές αποθήκευσης της βασικής διεύθυνσης URL αν είναι κενή."
"Connected Applications","Συνδεδεμένες Εφαρμογές"
"Contact Form","Φόρμα Επικοινωνίας"
"CORS Allowed Origins","Επιτρεπόμενες Προελεύσεις CORS"
"Created","Δημιουργήθηκε"
"Custom","Προσαρμοσμένο"
"Customer Session Operations","Λειτουργίες Συνεδρίας Πελατών"
"Delete API User","Διαγραφή Χρήστη Api"
"Delete Role","Διαγραφή Ρόλου"
"Deny","Άρνηση"
"Edit API User","Επεξεργασία Χρήστη Api"
"Edit API User '%s'","Επεξεργασία Χρήστη API '%s'"
"Edit Role","Επεξεργασία Ρόλου"
"Edit Role '%s'","Επεξεργασία Ρόλου '%s'"
"Email","E-mail"
"Exposes the REST v2 resource surface to AI agents at /api/mcp. Same bearer tokens and permissions as REST.","Εκθέτει την επιφάνεια πόρων REST v2 σε πράκτορες τεχνητής νοημοσύνης στο /api/mcp."
"First Name","Όνομα"
"Frontend/customer-facing GraphQL at /api/graphql","Frontend/customer-facing GraphQL at /api/graphql"
"General Settings","Γενικές Ρυθμίσεις"
"GraphQL, admin","GraphQL, διαχειριστής"
"GraphQL, public","GraphQL, δημόσιο"
"Hidden (stored hashed). Regenerate if needed.","Κρυφό (αποθηκευμένο κατακερματισμό). Αναγέννηση αν χρειάζεται."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Πόσο καιρό οι απαντήσεις API είναι προσωρινά αποθηκευμένες. Προεπιλογή: 300 (5 λεπτά). Ορίστε σε 0 για να απενεργοποιήσετε την προσωρινή αποθήκευση."
"ID","ID"
"If you approve, this application can:","Αν εγκρίνετε, αυτή η εφαρμογή μπορεί:"
"Inactive","Ανενεργό"
"In seconds (default: 60). A code is used once, seconds after it is issued.","Σε δευτερόλεπτα (προεπιλογή: 60). Χρησιμοποιείται ένας κωδικός μία φορά, δευτερόλεπτα μετά την έκδοσή του."
"In seconds (default: 3600 = 1 hour)","Σε δευτερόλεπτα (προεπιλογή: 3600 = 1 ώρα)"
"In seconds (default: 86400 = 24 hours)","Σε δευτερόλεπτα (προεπιλογή: 86400 = 24 ώρες)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","JWT υπογραφή μυστικό. Αυτόματη δημιουργία (τυχαία) και αποθηκεύονται κρυπτογραφημένα στην πρώτη χρήση, αν μείνει κενό."
"Last Name","Επώνυμο"
"Last Used","Τελευταία Χρήση"
"Leave blank to keep the current key.","Αφήστε κενό για να κρατήσει το τρέχον κλειδί."
"Leave empty to allow access to all stores.","Αφήστε κενό για να επιτρέψετε την πρόσβαση σε όλα τα καταστήματα."
"Legacy JSON-RPC","Παλιό JSON-RPC"
"Legacy REST (Magento 1)","Παλαιού Τύπου REST (Magento 1)"
"Legacy SOAP v1","Παλαιού τύπου SOAP v1"
"Legacy SOAP v2","Παλαιού τύπου SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Lets an application connect with a browser login and your approval, instead of a token pasted by hand. Required by MCP clients such as Claude and ChatGPT. Off by default, like every other protocol.","Επιτρέπει σε μια εφαρμογή να συνδεθεί με μια σύνδεση στο πρόγραμμα περιήγησης και την έγκρισή σας, αντί για ένα διακριτικό επικολλάται με το χέρι. Απαιτείται από τους πελάτες MCP, όπως Claude και ChatGPT. Απενεργοποιημένη από προεπιλογή, όπως κάθε άλλο πρωτόκολλο."
"MCP (Model Context Protocol)","Mcp (Πρότυπο Πρωτόκολλο Περιεχομένου)"
"MCP Requires Authentication","MCP Απαιτεί Έλεγχος Ταυτότητας"
