"* Select shipping method","* Επιλέξτε Μέθοδο Αποστολής"
"2Day","2Μέρες"
"2nd Day Air","2η Μέρα Αέρας"
"2nd Day Air AM","2η Μέρα Αέρας ΠΜ"
"3 Day Select","3 Μέρες Επιλογή"
"<br />Warning: <strong>%s</strong><br />","<br />Προειδοποίηση: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Προειδοποίηση!</strong> Αυτή η επιλογή απενεργοποιεί τη ναυτιλιακή μεταφορική του εμπόρου. Με αυτήν την επιλογή, η API του Google αγνοεί οποιαδήποτε προσπάθεια να επηρεάσει τις τιμές μεταφοράς."
"A virtual item to reflect the discount total","Ένα εικονικό στοιχείο για να αντικατοπτρίζει το σύνολο έκπτωσης"
"A virtual item to reflect the tax total","Ένα εικονικό στοιχείο για να αντικατοπτρίζει το σύνολο του φόρου"
"AVS Status: %s","Κατάσταση AVS: %s"
"Add Shipping Method","Προσθήκη Μέθοδου Αποστολής"
"Allowed Methods","Επιτρεπόμενες Μέθοδοι"
"Amount: %s","Ποσό: %s"
"Auto-generated from GoogleCheckout Charge","Αυτόματα δημιουργημένη από το GoogleCheckout Χρέωση"
"Buyer Account Age: %s days","Ηλικία Λογαριασμού Αγοραστή: %s ημέρες"
"CC Partial: xxxx-%s","CC Μερική: xxxx-%s"
"CID Status: %s","Κατάσταση CID: %s"
"Carrier Calculated Methods","Μέθοδοι Υπολογισμού Μεταφοράς"
"Cart Discount","Έκπτωση Καλαθιού"
"Checkout Image Style","Στυλ Εικόνας Αγοράς"
"Commercial","Εμπορική"
"Continue Shopping URL","URL Συνέχισης Αγορών"
"Credit memo has been created automatically","Πιστωτικό σημείωμα έχει δημιουργηθεί αυτόματα"
"Debug","Αποσφαλμάτωση"
"Default Package Height (in)","Προεπιλεγμένο Ύψος Πακέτου (ιν)"
"Default Package Length (in)","Προεπιλεγμένο Μήκος Πακέτου (σε ίντσες)"
"Default Package Width (in)","Παροχός Σύνδυμου Πλάτου (σε)"
"Default Price for Methods","Προεπιλεγμένη Τιμή για Μέθοδους"
"Default price:","Προκαθορισμένη τιμή:"
"Delivery Address Category","Κατηγορία Διεύθυνσης Παραδόσεων"
"Delivery Schedule","Πρόγραμμα Παραδόσεων"
"Description-based delivery","Περιγραφική παράδοση"
"Disable Default Tax Tables","Απενεργοποίηση Πινάκων Φόρου Προεπιλογής"
"Discount Tax","Επιμέριο Φόρο"
"Eligible for Protection: %s","Δικαιούχος Προστασίας: %s"
"Email delivery","Παράδοση Ηλεκτρονικού Ταχυδρομείου"
"Enable","Ενεργοποίηση"
"Enable Carrier Calculated","Ενεργοποίηση Υπολογισμού Μεταφορέα"
"Enable Digital Delivery","Ενεργοποίηση Ψηφιακής Παραδόσης"
"Enable Flat Rate","Ενεργοποίηση Πλατής Ταρίφας"
"Enable Merchant Calculated","Ενεργοποίηση Υπολογισμού Εμπόρου"
"Enable this if your checkout request is too big and being cut off.","Ενεργοποιήστε αυτό αν η αίτηση checkout σας είναι πολύ μεγάλη και κόβεται."
"Expiration: %s","Λήξη: %s"
"Express Mail","Εκφραστικό Ταχυδρομείο"
"Express Saver","Εξπρές Σέιβερ"
"FedEx","FedEx"
"Financial: %s -> %s","Οικονομικά: %s -> %s"
"First Overnight","Προτεραιότητα σε Μία Νύχτα"
