"Average Duration","Μέση Διάρκεια"
"Average Pages","Μέσες Σελίδες"
"Bounce Rate","Ρυθμός Αναπήδησης"
"Browsers","Browsers"
"Devices","Συσκευές"
"Devices & Browsers","Συσκευές & Περιηγητές"
"Direct / No referrer","Άμεσο / Χωρίς παραπομπή"
"Enable Log","Ενεργοποίηση Καταγραφής"
"Enable Log Cleaning","Ενεργοποίηση Καθαρισμού Αρχείου Καταγραφής"
"Error Email Recipient","Σφάλμα Παραλήπτη Email"
"Error Email Sender","Error Email Sender"
"Error Email Template","Πρότυπο Email Σφάλματος"
"Exit Pages","Έξοδος Σελίδων"
"Exits","Έξοδοι"
"Frequency","Συχνότητα"
"Landing Pages","Σελίδες Προσγείωσης"
"Log","Καταγραφή"
"Log cleanup Warnings","Καταγραφή των προειδοποιήσεων καθαρισμού"
"Logged in","Συνδεδεμένος"
"Login Conversion","Μετατροπή Σύνδεσης"
"New vs Returning","Νέα εναντίον επιστροφής"
"No data","Δεν υπάρχουν δεδομένα"
"No language data available","Δεν υπάρχουν διαθέσιμα δεδομένα γλώσσας"
"No page view data available","Δεν υπάρχουν διαθέσιμα δεδομένα προβολής σελίδας"
"No traffic source data available","Δεν υπάρχουν διαθέσιμα δεδομένα πηγής κυκλοφορίας"
"of visitors logged in","των επισκεπτών που συνδέθηκαν"
"Online","Συνδεδεμένος"
"Page","Σελίδα"
"Returning","Επιστροφή"
"Save Log, Days","Αποθήκευση Καταγραφής, Ημέρες"
"Session Metrics","Μετρήσεις Συνεδρίας"
"Sessions","Συνεδρίες"
"Start Time","Ώρα Έναρξης"
"Today","Σήμερα"
"Top Pages","Κορυφαία Σελίδα"
"Total visitors","Σύνολο επισκεπτών"
"Traffic Sources","Πηγές Κυκλοφορίας"
"Views","Προβολές"
"Visitors","Επισκέπτες"
"Visitors only","Μόνο επισκέπτες"
"Visits","Επισκέψεις"
"Week","Εβδομάδα"
