"Action","Ενέργεια"
"Add Sitemap","Προσθήκη Χάρτη Ιστότοπου"
"Always","Πάντα"
"CMS Pages Options","Επιλογές CMS Σελίδων"
"Categories Options","Επιλογές Κατηγοριών"
"Daily","Καθημερινά"
"Do not show in sitemap","Μη εμφάνιση στο χάρτη ιστοχώρου"
"Edit Sitemap","Επεξεργασία Χάρτη Ιστότοπου"
"Enabled","Ενεργοποιημένο"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Αρχείο ""%s"" δεν μπορεί να αποθηκευτεί. Παρακαλώ, βεβαιωθείτε ότι το κατάλογο ""%s"" είναι εγγράψιμο από τον διακομιστή ιστού."
"Filename","Όνομα αρχείου"
"Frequency","Συχνότητα"
"Generate","Δημιουργία"
"Generation Settings","Ρυθμίσεις δημιουργίας"
"Google Sitemap","Χάρτης Ιστότοπου Google"
"Hourly","Ωριαία"
"ID","ID"
"Last Time Generated","Τελευταία Φορά Που Δημιουργήθηκε"
"Link for Google","Σύνδεσμος για το Google"
"Monthly","Μηνιαία"
"Never","Ποτέ"
"New Sitemap","Νέος Χάρτης Ιστοτόπου"
"Path","Διαδρομή"
"Please create the specified folder ""%s"" before saving the sitemap.","Παρακαλούμε δημιουργήστε το καθορισμένο φάκελο ""%s"" πριν αποθηκεύσετε το χάρτη ιστοχώρου."
"Please define correct path","Ορίστε το σωστό μονοπάτι"
"Please enter a sitemap name with at most %s characters.","Παρακαλούμε εισάγετε ένα όνομα χάρτη ιστοχώρου με το πολύ %s χαρακτήρες."
"Please make sure that ""%s"" is writable by web-server.","Παρακαλούμε να διασφαλίσετε ότι το ""%s"" είναι προσβάσιμο για εγγραφή από τον διακομιστή ιστού."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Παρακαλώ χρησιμοποιήστε μόνο γράμματα (a-z ή A-Z), αριθμούς (0-9) ή υπογράμμιση (_) στο όνομα αρχείου. Δεν επιτρέπονται κενά ή άλλα χαρακτήρες."
"Priority","Προτεραιότητα"
"Products Options","Επιλογές προϊόντων"
"Show lastmod","Εμφάνιση τελευταίας τροποποίησης"
"Sitemap","Χάρτης Ιστότοπου"
"Sitemap generate Warnings","Χάρτης Ιστότοπου δημιούργησε Προειδοποιήσεις"
"Start Time","Ώρα Έναρξης"
"Store View","Προβολή Καταστήματος"
"The priority must be between 0 and 1.","Η προτεραιότητα πρέπει να είναι μεταξύ 0 και 1."
"The sitemap ""%s"" has been generated.","Το διαγραμμα περιεχομένου ""%s"" έχει δημιουργηθεί."
"The sitemap has been deleted.","Το χάρτης ιστοχώρου έχει διαγραφεί."
"The sitemap has been saved.","Το χάρτης ιστοχώρου έχει αποθηκευτεί."
"This sitemap no longer exists.","Αυτός ο Χάρτης ιστοτοπου δεν υπάρχει πλέον."
"Unable to find a sitemap to delete.","Δεν μπορώ να βρω ένα χάρτη ιστοχώρου για διαγραφή."
"Unable to find a sitemap to generate.","Δεν μπορώ να βρω ένα χάρτη ιστοχώρου για να γεννήσω."
"Unable to generate the sitemap.","Αδύνατη η γεννήθηκε του χάρτη ιστοχώρου."
"Valid values range: from 0.0 to 1.0.","Εισαχθείσες τιμές εύρους: από 0.0 έως 1.0."
"Weekly","Εβδομαδιαία"
"Yearly","Ετήσια"
