"Action","Ενέργεια"
"Activities","Activities"
"Activity Information","Activity Information"
"Activity Log","Activity Log"
"Activity log entry not found","Activity log entry not found"
"Admin Activity Log","Admin Activity Log"
"Back","Πίσω"
"Configuration","Ρύθμιση παραμέτρων"
"Create","Δημιουργία"
"CSV","CSV"
"Date/Time","Date/Time"
"Days to Keep Logs","Days to Keep Logs"
"Delete","Διαγραφή"
"Enable Admin Activity Log","Enable Admin Activity Log"
"Entity","Entity"
"Entity Type","Τύπος Οντότητας"
"Excel XML","Excel XML"
"Failed","Απέτυχε"
"Failure Reason","Failure Reason"
"General Settings","Γενικές Ρυθμίσεις"
"ID","ID"
"IP Address","Διεύθυνση IP"
"Log Delete Actions","Log Delete Actions"
"Log Failed Login Attempts","Log Failed Login Attempts"
"Login","Σύνδεση"
"Login Activity","Login Activity"
"Log Login/Logout Activity","Log Login/Logout Activity"
"Log Mass Actions","Log Mass Actions"
"Logout","Logout"
"Log Page Visits","Log Page Visits"
"Log Save Actions","Log Save Actions"
"Number of days to keep activity logs. Set to 0 to keep forever.","Number of days to keep activity logs. Set to 0 to keep forever."
"Request URL","Request URL"
"Status","Κατάσταση"
"Success","Επιτυχία"
"System","Σύστημα"
"Type","Τύπος"
"Update","Ενημέρωση"
"URL","Διεύθυνση URL"
"Username","Όνομα Χρήστη"
"View","Προβολή"
"View Activity Log","View Activity Log"
"View Activity Log Entry #%s","View Activity Log Entry #%s"
"View Login Activity","View Login Activity"
