"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* Απαιτούμενα Πεδία"
"-- Select --","-- Επιλογή --"
"Add New Option","Προσθήκη Νέας Επιλογής"
"Add Selection","Προσθήκη Επιλογής"
"and","και"
"Bundle Items","Δέσμη Αντικειμένων"
"Bundle Product","Δέσμη Προϊόντων"
"Buy %1$s","Αγορά %1$s"
"Buy %1$s for","Αγοράστε %1$s για"
"Buy %1$s for %2$s","Αγοράστε %1$s για %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Αγοράστε %1$s για %2$s (%3$s συμπεριλαμβανομένου του φόρου) κάθε"
"Buy %1$s for %2$s each","Αγοράστε %1$s για %2$s το καθένα"
"Buy %1$s with %2$s discount each","Αγοράστε %1$s με έκπτωση %2$s το καθένα"
"Catalog Product View (Bundle)","Προβολή Καταλόγου Προϊόντων (Πακέτο)"
"Checkbox","Πλαίσιο"
"Choose a selection...","Επιλέξτε μια επιλογή..."
"Click for price","Κάντε κλικ για τιμή"
"Close","Κλείσιμο"
"Default","Προεπιλογή"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Αναπτυσσόμενο"
"Dynamic","Δυναμικό"
"each","κάθε"
"Excl. Tax","Χωρίς Φπα"
"Excl. Tax:","Χωρίς ΦΠΑ:"
"Fixed","Σταθερό"
"From","Από"
"From:","Από:"
"Gift Message","Μήνυμα Δώρου"
"Incl. Tax","Με Φπα"
"Incl. Tax:","Με ΦΠΑ:"
"Input Type","Input Type"
"Is Required","Απαιτείται"
"Message:","Μήνυμα:"
"Multiple Select","Πολλαπλή Επιλογή"
"N/A","Δ/Υ"
"None","Κανένα"
"No options of this product are available.","Δεν υπάρχουν διαθέσιμες επιλογές για αυτό το προϊόν."
"Percent","Ποσοστό"
"Percent Discount","Ποσοστό Έκπτωσης"
"Please enter a number greater 0 in this field.","Παρακαλώ εισάγετε έναν αριθμό μεγαλύτερο του 0 σε αυτό το πεδίο."
"Please enter search conditions to view products.","Παρακαλούμε εισάγετε τις συνθήκες αναζήτησης για να δείτε τα προϊόντα."
"Please select options for product.","Παρακαλώ επιλέξτε επιλογές για το προϊόν."
"Please Select Products to Add","Παρακαλώ Επιλέξτε Προϊόντα για να προσθέσετε"
"Please specify product option(s).","Παρακαλούμε προσδιορίστε την επιλογή(ές) του προϊόντος."
"Position","Θέση"
"Price as configured","Τιμή όπως έχει ρυθμιστεί"
"Price Range","Εύρος Τιμών"
"Price Type","Τύπος Τιμής"
"Qty:","Ποσότητα:"
"Radio Buttons","Κουμπιά Επιλογής"
"Required options are not selected.","Δεν έχουν επιλεγεί οι απαιτούμενες επιλογές."
"save","αποθήκευση"
"Selected required options are not available.","Οι επιλεγμένες απαιτούμενες επιλογές δεν είναι διαθέσιμες."
"Separately","Ξεχωριστά"
"Ship Bundle Items","Στοιχεία Δέσμης Πλοίου"
"Shipment","Αποστολή"
"SKU","SKU"
"Store View Title","Τίτλος Προβολής Καταστήματος"
"There is no defined renderer for ""%s"" option type.","Δεν υπάρχει ορισμένη συσκευή αναπαραγωγής για τον τύπο επιλογής ""%s""."
"This product is also part of bundle(s)","Αυτό το προϊόν είναι επίσης μέρος πακέτου(ων)"
"To","Προς"
"To:","Προς:"
"Together","Μαζί"
"Total incl. Tax: %1$s","Σύνολο με ΦΠΑ: %1$s"
"Use Default Value","Χρήση Προκαθορισμένης Τιμής"
"User Defined Qty","Ποσ. Καθορισμένης Από Χρήστη"
