"%s Screenshot","%s Screenshot"
"%s violation(s)","%s violation(s)"
"Accessibility Scan","Σάρωση Προσβασιμότητας"
"Accessibility Scan Report","Αναφορά Σάρωσης Προσβασιμότητας"
"Accessibility Violations","Παραβιάσεις Προσβασιμότητας"
"Advanced","Προχωρημένα"
"Are you sure you want to delete this scan?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτή τη σάρωση?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","Ο αξονικός πυρήνας δεν μπόρεσε να αξιολογήσει αυτόματα %s check(s) (για παράδειγμα, χρωματική αντίθεση πάνω από μια εικόνα). Αναθεωρήστε τους χειροκίνητα."
"Back","Πίσω"
"CLI","CLI"
"Command failed (exit code %s): %s","Η εντολή απέτυχε (έξοδος κωδικού %s): %s"
"Command timed out after %s seconds: %s","Λήξη χρονικού ορίου εντολής μετά από %s δευτερόλεπτα: %s"
"Complete","Complete"
"Completed","Ολοκληρώθηκε"
"Conformance level used when starting a scan without an explicit level.","Το επίπεδο συμμόρφωσης χρησιμοποιείται κατά την έναρξη σάρωσης χωρίς ρητό επίπεδο."
"Critical","Κρίσιμο"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Μετάφραση Cron. Προεπιλογή: <strong>0 3 * * *</strong> (καθημερινά στις 3am)."
"Cron Schedule","Χρονοδιάγραμμα Cron"
"Date","Ημερομηνία"
"Default WCAG Level","Προεπιλεγμένο Επίπεδο WCAG"
"Delete","Διαγραφή"
"Delete Scans After","Διαγραφή Σάρωσης Μετά"
"Desktop","Επιφάνεια Εργασίας"
"Desktop Viewport","Προβολή Επιφάνειας Εργασίας"
"Enabled","Ενεργοποιημένο"
"Export PDF","Εξαγωγή PDF"
"Failed","Απέτυχε"
"Fix all of the following","Διορθώστε όλα τα ακόλουθα"
"Fix any of the following","Διορθώστε οποιοδήποτε από τα ακόλουθα"
"General Settings","Γενικές Ρυθμίσεις"
"How to fix","Πώς να διορθώσετε"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Μη έγκυρη σάρωση URL ""%s"": κάθε URL πρέπει να ανήκει σε μία από τις ρυθμισμένες βασικές διευθύνσεις URL καταστήματος"
"Learn more","Μάθετε περισσότερα"
"Manual","Χειροκίνητα"
"Maximum time in seconds to wait for a single page scan.","Μέγιστος χρόνος σε δευτερόλεπτα για αναμονή για σάρωση μιας σελίδας."
"Minor","Μικρός"
"Mobile","Κινητό"
"Mobile Viewport","Προβολή Κινητής Τηλεφωνίας"
"Moderate","Μέτρια"
"Needs Review","Χρειάζεται Αναθεώρηση"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Δεν βρέθηκαν αυτόματα ανιχνεύσιμες παραβιάσεις. Οι αυτόματοι έλεγχοι καλύπτουν μόνο μέρος του WCAG, οπότε συνιστάται ακόμα η χειροκίνητη δοκιμή με πληκτρολόγιο και αναγνώστη οθόνης."
"Node.js %s is installed, but the scanner requires version %s or newer.","Το Node.js %s είναι εγκατεστημένο, αλλά ο σαρωτής απαιτεί έκδοση %s ή νεότερη."
"Node.js Binary Path","Δυαδική Διαδρομή Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Το Node.js δεν βρέθηκε (ψάχνει για το ""%s""). Εγκαταστήστε τον Κόμβο. s %s ή νεότερη έκδοση, ή ορίστε την πλήρη διαδρομή του στο Σύστημα> Διαμόρφωση> Σάρωση προσβασιμότητας."
"npm Binary Path","δυαδική διαδρομή npm"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm δεν βρέθηκε (ψάχνοντας για το ""%s""). Εγκαταστήστε το μαζί με τον Κόμβο. s, ή ορίστε την πλήρη διαδρομή του στο System > Configuration > Accessibility Scan."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Ένα URL ανά γραμμή. Κάθε URL πρέπει να ανήκει σε ένα από τα βασικά URL του καταστήματος."
"Page Title","Τίτλος Σελίδας"
"Path to the node executable. Default: node","Διαδρομή για το εκτελέσιμο του κόμβου. Προεπιλογή: κόμβος"
"Path to the npm executable. Default: npm","Διαδρομή προς το εκτελέσιμο npm. Προεπιλογή: npm"
"Pending","Εκκρεμεί"
"Periodically scan the URLs below via cron, using the default WCAG level.","Περιοδικά σάρωση των παρακάτω URL μέσω cron, χρησιμοποιώντας το προεπιλεγμένο επίπεδο WCAG."
"Please provide a valid URL to scan","Παρακαλώ δώστε μια έγκυρη διεύθυνση URL για σάρωση"
"Run a New Scan","Εκτέλεση νέας σάρωσης"
"Running","Εκτελείται"
"Scan #%s","Σάρωση #%s"
"Scan failed","Η σάρωση απέτυχε"
"Scan failed: %s","Η σάρωση απέτυχε: %s"
"Scan History","Σάρωση Ιστορικού"
"Scan ID","Σάρωση ID"
"Scanning... this can take a couple of minutes.","Σάρωση... αυτό μπορεί να διαρκέσει μερικά λεπτά."
"Scan not found","Δεν βρέθηκε σάρωση"
"Scan Results","Αποτελέσματα Σάρωσης"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Οι σαρώσεις παλαιότερων από αυτές τις πολλές ημέρες διαγράφονται αυτόματα. Το 0 κρατά τα πάντα."
"Scan Timeout","Χρονικό Όριο Σάρωσης"
"Scheduled","Προγραμματισμένο"
"Scheduled Scans","Προγραμματισμένες Σαρώσεις"
"Selector","Επιλογέας"
"Serious","Σοβαρή"
"Show on desktop screenshot","Εμφάνιση στο στιγμιότυπο επιφάνειας εργασίας"
"Show on mobile screenshot","Εμφάνιση στο κινητό στιγμιότυπο οθόνης"
"Source","Πηγή"
"Started","Ξεκίνησε"
"Start Scan","Έναρξη Σάρωσης"
"Status","Κατάσταση"
"Summary","Summary"
"System","Σύστημα"
"Template","Πρότυπο"
"Template Source","Πηγή Προτύπου"
"The scan has been deleted.","Η σάρωση έχει διαγραφεί."
