"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"0 = never expires. Can be overridden per product.","0 = δεν λήγει ποτέ. Μπορεί να παρακαμφθεί ανά προϊόν."
"Action","Ενέργεια"
"Active","Ενεργό"
"Add a message...","Προσθήκη μηνύματος..."
"Add New Gift Card","Προσθήκη Νέας Δωροκάρτας"
"Admin Comment","Σχόλιο Διαχειριστή"
"Allow Gift Message","Επιτρέψτε Μήνυμα Δώρου"
"Allow Message","Επιτρέψτε Μήνυμα"
"All Websites","Όλες Οι Ιστοσελίδες"
"Amount","Ποσό"
"Amount Range","Εύρος Ποσότητας"
"An error occurred. Please try again.","Παρουσιάστηκε σφάλμα. Παρακαλώ προσπαθήστε ξανά."
"Applied Gift Cards:","Εφαρμοσμένες Κάρτες Δώρων:"
"Apply","Εφαρμογή"
"Apply Gift Card","Εφαρμογή Δωροκάρτας"
"Applying...","Εφαρμογή..."
"Balance","Υπόλοιπο"
"Balance: %s","Υπόλοιπο: %s"
"Balance After","Υπόλοιπο Μετά"
"Balance Before","Υπόλοιπο Πριν"
"Can be overridden per product.","Μπορεί να παρακαμφθεί ανά προϊόν."
"Cannot apply gift card.","Δεν μπορεί να εφαρμοστεί δωροκάρτα."
"Cannot remove gift card.","Αδυναμία αφαίρεσης δωροκάρτας."
"Card Type","Τύπος Κάρτας"
"Check","Έλεγχος"
"Check Balance","Ελέγξτε Το Υπόλοιπο"
"Checking...","Έλεγχος..."
"Code","Κωδικός"
"Code Length","Μήκος Κώδικα"
"Code Prefix (e.g., GC)","Κωδικός Πρόθεμα (π.χ., GC)"
"Comma-separated values (e.g., 25,50,100)","Τιμές διαχωρισμένες με κόμματα (π.χ. 25,50,100)"
"Created","Δημιουργήθηκε"
"Created %d gift card product(s): %s","Δημιουργήθηκε %d προϊόντα δωροκάρτας: %s"
"Created At","Δημιουργήθηκε Στις"
"Create Gift Card Products","Δημιουργία Προϊόντων Δωροκάρτας"
"Current Balance","Τρέχον Υπόλοιπο"
"Custom Amount","Προσαρμοσμένο Ποσό"
"Date","Ημερομηνία"
"Default: %s","Προεπιλογή: %s"
"Default Expiry (days)","Προεπιλεγμένη Λήξη (Ημέρες)"
"Delete","Διαγραφή"
"Delete Gift Card","Διαγραφή Δωροκάρτας"
"Disabled","Απενεργοποιημένο"
"Edit","Επεξεργασία"
"Edit Gift Card '%s'","Επεξεργαστείτε Την Δωροκάρτα '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Επεξεργαστείτε το για να ρυθμίσετε χειροκίνητα το υπόλοιπο. Χρησιμοποιήστε το ""Σχόλιο Διαχειριστή"" για να εξηγήσετε την προσαρμογή."
"Email Sender","Αποστολέας Email"
"Email Settings","Ρυθμίσεις Email"
