"%s file does not exists or is not readable","Το αρχείο %s δεν υπάρχει ή δεν είναι αναγνώσιμο"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Ο προσαρμογέας πρέπει να είναι μια παρουσία του Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Το αντικείμενο προσαρμογέα πρέπει να είναι ένα παράδειγμα του %s"
"Adapter type must be a non empty string","Ο τύπος προσαρμογέα πρέπει να είναι μια μη κενή συμβολοσειρά"
"Append Complex Data","Προσάρτηση Σύνθετων Δεδομένων"
"Attribute Code","Κωδικός Χαρακτηριστικού"
"Attribute does not has options, so filtering is impossible","Το χαρακτηριστικό δεν έχει επιλογές, οπότε το φιλτράρισμα είναι αδύνατο"
"Attribute Label","Ετικέτα Χαρακτηριστικού"
"Auto_increment column not found for table %s","Δεν βρέθηκε η στήλη αυτόματης αύξησης για τον πίνακα %s"
"Begin data validation","Έναρξη επικύρωσης δεδομένων"
"Begin export of %s","Ξεκινήστε την εξαγωγή του %s"
"Begin import of ""%s"" with ""%s"" behavior","Ξεκινήστε την εισαγωγή του ""%s"" με ""%s"" συμπεριφορά"
"Can not determine attribute filter type","Δεν μπορεί να προσδιοριστεί τύπος φίλτρου χαρακτηριστικού"
"Can not find required columns: %s","Δεν είναι δυνατή η εύρεση απαιτούμενων στηλών: %s"
"Cannot get table status for %s","Αδυναμία λήψης κατάστασης πίνακα για %s"
"Categories","Κατηγορίες"
"Check Data","Έλεγχος Δεδομένων"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Επιλεγμένες σειρές: %d, ελεγχόμενες οντότητες: %d, μη έγκυρες σειρές: %d, συνολικά λάθη: %d"
"Column names: ""%s"" are invalid","Ονόματα στηλών: ""%s"" δεν είναι έγκυρα"
"Column names have duplicates","Τα ονόματα των στηλών έχουν διπλότυπα"
"Column names is empty or is not an array","Τα ονόματα των στηλών είναι κενά ή δεν είναι πίνακας"
"CSV","CSV"
"Customers","Πελάτες"
"Data is invalid or file is not uploaded","Τα δεδομένα δεν είναι έγκυρα ή το αρχείο δεν μεταφορτώθηκε"
"Delete Entities","Διαγραφή Οντότητες"
"Destination directory is not writable","Ο κατάλογος προορισμού δεν είναι εγγράψιμος"
"Destination file is not writable","Το αρχείο προορισμού δεν είναι εγγράψιμο"
"Destination file path must be a string","Η διαδρομή του αρχείου προορισμού πρέπει να είναι συμβολοσειρά"
"Done import data validation","Επικύρωση δεδομένων εισαγωγής"
"Duplicate Unique Attribute for '%s'","Αντίγραφο μοναδικού χαρακτηριστικού για το '%s'"
"Each data row must be an array","Κάθε γραμμή δεδομένων πρέπει να είναι ένας πίνακας"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Το αντικείμενο προσαρμογέα οντότητας πρέπει να είναι ένα παράδειγμα του Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Οντότητα είναι άγνωστη"
"Entity Type","Τύπος Οντότητας"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Ο τύπος μοντέλου οντότητας πρέπει να είναι ένα παράδειγμα του Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Ο τύπος μοντέλου οντότητας πρέπει να είναι ένα παράδειγμα του Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Σφάλμα στη δομή δεδομένων: οι συμπεριφορές αναμιγνύονται"
"Error in data structure: entity codes are mixed","Σφάλμα στη δομή δεδομένων: οι κωδικοί οντότητας αναμειγνύονται"
"Errors limit (%d) reached. Please fix errors and re-upload file","Συμπληρώθηκε το όριο σφαλμάτων (%d). Παρακαλώ διορθώστε τα σφάλματα και ανεβάστε ξανά το αρχείο"
"Escape CSV fields","Διαφυγής πεδία CSV"
"Export","Εξαγωγή"
"Exported %s rows.","Εξαγόμενες σειρές %s."
"Export File Format","Μορφή Αρχείου Εξαγωγής"
"Export has been done.","Η εξαγωγή έχει ολοκληρωθεί."
"Export Settings","Ρυθμίσεις Εξαγωγής"
"File does not contain data.","Το αρχείο δεν περιέχει δεδομένα."
"File does not contain data. Please upload another one","Το αρχείο δεν περιέχει δεδομένα. Μεταφορτώστε ένα άλλο"
"File format is unknown","Η μορφή αρχείου είναι άγνωστη"
"File is partially valid, but import is not possible","Το αρχείο είναι εν μέρει έγκυρο, αλλά η εισαγωγή δεν είναι δυνατή"
"File is totally invalid. Please fix errors and re-upload file","Το αρχείο δεν είναι απολύτως έγκυρο. Παρακαλώ διορθώστε τα σφάλματα και ξανά-ανεβάστε το αρχείο"
"File is valid! To start import process press ""Import"" button","Το αρχείο είναι έγκυρο! Για να ξεκινήσετε τη διαδικασία εισαγωγής πατήστε το κουμπί ""Εισαγωγή"""
"File is valid, but import is not possible","Το αρχείο είναι έγκυρο, αλλά η εισαγωγή δεν είναι δυνατή"
"File was not uploaded","Το αρχείο δεν μεταφορτώθηκε"
"Filter","Φίλτρο"
"From","Από"
"Header column names already set","Τα ονόματα στηλών κεφαλίδων έχουν ήδη οριστεί"
"Import","Εισαγωγή"
"Import/Export","Εισαγωγή/Εξαγωγή"
"Import Behavior","Εισαγωγή Συμπεριφοράς"
"Import CSV","Εισαγωγή CSV"
"Import has been done successfuly.","Η εισαγωγή έχει γίνει με επιτυχία."
"Import Settings","Ρυθμίσεις Εισαγωγής"
"Import successfully done.","Η εισαγωγή ολοκληρώθηκε επιτυχώς."
"Incorrect entity type","Εσφαλμένος τύπος οντότητας"
"Input entity code is not equal to entity adapter code","Ο κωδικός οντότητας εισαγωγής δεν είναι ίσος με τον κωδικό οντότητας προσαρμογέα"
"in rows","σε σειρές"
"in rows:","σε σειρές:"
"Invalid entity","Μη έγκυρη οντότητα"
"Invalid entity model","Μη έγκυρο μοντέλο οντότητας"
"Invalid file format","Μη έγκυρη μορφή αρχείου"
"Invalid parameters","Μη έγκυρες παράμετροι"
