"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Add to Cart","Προσθήκη στο Καλάθι"
"Are you sure to delete this fallback color?","Είστε βέβαιοι να διαγράψετε αυτό το εφεδρικό χρώμα?"
"Choose an Option...","Επιλέξτε μια Επιλογή..."
"Configurable Swatches","Διαμορφώσιμες Swatches"
"Dynamic Price Change for Swatches in Product Listing","Δυναμική αλλαγή τιμής για Swatches στην καταχώρηση προϊόντων"
"Enabled","Ενεργοποιημένο"
"General Settings","Γενικές Ρυθμίσεις"
"Height","Ύψος"
"Innermost dimensions, not including border, in pixels","Εσωτερικές διαστάσεις, εκτός του περιγράμματος, σε εικονοστοιχεία"
"In Stock","Σε Απόθεμα"
"Out of Stock","Χωρίς απόθεμα"
"Previous","Προηγούμενο"
"Product Attributes to Show as Swatches in Product Detail","Χαρακτηριστικά προϊόντος για εμφάνιση ως Swatches σε λεπτομέρεια προϊόντος"
"Product Attribute to Use for Swatches in Product Listing","Χαρακτηριστικό προϊόντος για χρήση για Swatches στην Λίστα Προϊόντων"
"Remove This Item","Αφαίρεση Αυτού Του Είδους"
"Swatch","Δείγμα"
"Swatch Dimensions in Layered Navigation","Διαστάσεις Swatch σε πολυεπίπεδη πλοήγηση"
"Swatch Dimensions in Product Listing","Swatch Διαστάσεις σε Λίστα Προϊόντων"
"Swatch Dimensions on Product Detail Page","Swatch Διαστάσεις στη σελίδα λεπτομερειών του προϊόντος"
"Width","Width"
