"Add","Προσθήκη"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options.","Add gift options."
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Allow Gift Messages for Order Items","Επιτρέψτε Μηνύματα Δώρο για τα Στοιχεία Παραγγελίας"
"Allow Gift Messages on Order Level","Επιτρέψτε Μηνύματα Δώρο σε Επίπεδο Παραγγελίας"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Είστε σίγουροι;"
"Cancel","Ακύρωση"
"Do you have any gift items in your order?","Έχετε οποιαδήποτε είδη δώρων στην παραγγελία σας;"
"Edit","Επεξεργασία"
"From","Από"
"Gift Message","Mήνυμα Δώρου"
"Gift Message API","Gift Message API"
"Gift Options","Επιλογές δώρου"
"Gift Options for Individual Items","Επιλογές Δώρου για Μεμονωμένα Στοιχεία"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Μήνυμα"
"No","Όχι"
"Save Gift Message","Αποθηκεύστε το Μήνυμα Δώρου"
"The gift message has been saved.","The gift message has been saved."
"To","Έως"
"Unknown entity type","Άγνωστος Τύπος Οντότητας"
"Use config","Χρήση Ρυθμήσεων"
"Yes","Ναί"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
