"Action","Ενέργεια"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Είστε βέβαιοι ότι θέλετε να επαναφέρετε αυτήν την έκδοση? Το τρέχον περιεχόμενο θα αποθηκευτεί ως νέα έκδοση πρώτα."
"Back","Πίσω"
"Blog module is not enabled.","Το Blog module δεν είναι ενεργοποιημένο."
"Blog Post","Ανάρτηση Blog"
"CMS Block","CMS Block"
"CMS Page","Σελίδα CMS"
"Content has been restored from version. The previous state was saved as a new version.","Το περιεχόμενο έχει αποκατασταθεί από την έκδοση. Η προηγούμενη κατάσταση αποθηκεύτηκε ως νέα έκδοση."
"Content Version History","Ιστορικό Εκδόσεων Περιεχομένου"
"Content Versioning","Content Versioning"
"Date","Ημερομηνία"
"Delete versions older than this many days. Set to 0 for unlimited.","Διαγραφή εκδόσεων παλαιότερων από τόσες ημέρες. Ορίστε σε 0 για απεριόριστα."
"Editor","Επεξεργαστής"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Μέγιστος αριθμός εκδόσεων για κάθε οντότητα. Ορίστε σε 0 για απεριόριστη."
"Max Version Age (Days)","Μέγιστη Ηλικία Έκδοσης (Ημέρες)"
"Max Versions Per Entity","Μέγιστες Εκδόσεις Ανά Οντότητα"
"No versions available. Versions are created when content is saved.","Δεν υπάρχουν διαθέσιμες εκδόσεις. Οι εκδόσεις δημιουργούνται όταν αποθηκεύεται περιεχόμενο."
"No version specified.","Δεν καθορίστηκε έκδοση."
"Preview","Προεπισκόπηση"
"Restore","Επαναφορά"
"Snapshot Data","Δεδομένα Στιγμιότυπου"
"Source entity not found.","Η οντότητα προέλευσης δεν βρέθηκε."
"Version","Έκδοση"
"Version %s","Έκδοση %s"
"Version Details","Λεπτομέρειες Έκδοσης"
"Version not found.","Η έκδοση δεν βρέθηκε."
"Versions","Εκδόσεις"
