"Additional Product Attributes","Πρόσθετα Χαρακτηριστικά Προϊόντος"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Τύπος Ταυτοποίησης"
"Auth Token","Διακριτικό Πιστοποίησης"
"Bearer Token","Διακριτικό Φορέα"
"Custom Header","Προσαρμοσμένη Κεφαλίδα"
"Custom Header Name","Προσαρμοσμένο Όνομα Κεφαλίδας"
"Debug Mode","Λειτουργία Αποσφαλμάτωσης"
"Displayed Error Message","Εμφανιζόμενο Μήνυμα Σφάλματος"
"Enabled","Ενεργοποιημένο"
"None","Κανένα"
"Request Timeout (seconds)","Χρονικό Όριο Αίτησης (δευτερόλεπτα)"
"Select product attributes to include in the API request payload.","Επιλέξτε χαρακτηριστικά προϊόντος που θα συμπεριληφθεί στο API αίτημα ωφέλιμο φορτίο."
"Shipping Bridge","Γέφυρα Αποστολής"
"Ship to Applicable Countries","Αποστολή στις Εφαρμοστέες Χώρες"
"Ship to Specific Countries","Αποστολή στις Συγκεκριμένες Χώρες"
"Sort Order","Σειρά Ταξινόμησης"
"Title","Τίτλος"
