"Add Recipient","Προσθήκη Παραλήπτη"
"Allow for Guests","Επιτρέπεται για επισκέπτες"
"An invalid email address for recipient was entered.","Εισήχθηκε άκυρη διεύθυνση email για τον παραλήπτη."
"At least one recipient must be specified.","Ελάχιστος ένας παραλήπτης πρέπει να καθοριστεί."
"Back","Πίσω"
"Catalog Product Email to a Friend","Κατάλογος Προϊόντος Email σε Φίλο"
"Email Address","Διεύθυνση Email"
"Email Address:","Διεύθυνση Email:"
"Email Templates","Πρότυπα Ηλεκτρονικού Ταχυδρομείου"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Email:","Ηλεκτρονικό Μήνυμα:"
"Enabled","Ενεργοποιημένο"
"Invalid Sender Information","Λάθος Πληροφορίες Αποστολέα"
"Invalid sender email.","Άκυρος αποστολέας email."
"Limit Sending By","Όριο Αποστολής Από"
"Max Products Sent in 1 Hour","Μεγ. Προϊόντα Αποστέλλονται σε 1 Ώρα"
"Max Recipients","Μεγ. Παραλήπτες"
"Maximum %d email addresses allowed.","Επιτρέπονται στο μέγιστο %d διευθύνσεις email."
"Message:","Μήνυμα:"
"Name","Όνομα"
"Name:","Όνομα:"
"No more than %d emails can be sent at a time.","Δεν μπορούν να σταλούν περισσότερα από %d emails κάθε φορά."
"Please define a correct Cookie instance.","Ορίστε ένα σωστό παράδειγμα εμφάνισης Cookie."
"Please define a correct Product instance.","Ορίστε ένα σωστό παράδειγμα εμφάνισης Προϊόντος."
"Please define the correct Sender information.","Ορισμός Σωστής Πληροφορίας Αποστολέα."
"Recipient:","Παραλήπτης:"
"Remove Email","Αφαίρεση Email"
"Select Email Template","Επιλέξτε πρότυπο ηλεκτρονικού ταχυδρομείου"
"Send Email","Αποστολή Email"
"Send product to a friend","Αποστολή προϊόντος σε ένα φίλο"
"Sender:","Αποστολέας:"
"Some emails were not sent.","Ορισμένα emails δεν εστάλησαν."
"The link to a friend was sent.","Ο σύνδεσμος εστάλει σε ένα φίλο."
"The message cannot be empty.","Το μήνυμα δεν μπορεί να είναι κενό."
"The messages cannot be sent more than %d times in an hour","Τα μηνύματα δεν μπορούν να σταλούν περισσότερες από %d φορές την ώρα"
"The sender name cannot be empty.","Το όνομα του αποστολέα δεν μπορεί να είναι κενό."
"There were some problems with the data.","Υπήρξαν κάποια προβλήματα με τα δεδομένα."
"You have exceeded limit of %d sends in an hour","Έχετε υπερβεί το όριο των %d αποστολών ανά ώρα"
