"%s Index process is working now. Please try run this process later.","Η διαδικασία ευρετηρίου %s λειτουργεί τώρα. Παρακαλώ δοκιμάστε να εκτελέσετε αυτή τη διαδικασία αργότερα."
"'%s' Index Process Information","'%s' Πληροφορίες Διεργασίας Ευρετηρίου"
"Action","Ενέργεια"
"Already running, skipped.","Ήδη σε λειτουργία, παραλείφθηκε."
"Cannot initialize the indexer process.","Αδυναμία αρχικοποίησης της διεργασίας ευρετηρίου."
"Change Index Mode","Αλλαγή Λειτουργίας Ευρετηρίου"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Κάντε κλικ εδώ για να μεταβείτε στο <a href=""%s"">Διαχείριση Προσωρινής Αποθήκευσης</a> και να ανανεώσετε τους τύπους προσωρινής μνήμης."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Κάντε κλικ εδώ για να μεταβείτε στο <a href=""%s"">Index Management</a> και να αναδημιουργήσετε απαιτούμενα ευρετήρια."
"Close","Κλείσιμο"
"Delete","Διαγραφή"
"Description","Περιγραφή"
"Disable","Απενεργοποίηση"
"Enable","Ενεργοποίηση"
"General","Γενικά"
"Index","Δείκτης"
"Index Description","Περιγραφή Ευρετηρίου"
"Indexer code is not defined.","Ο κωδικός ευρετηρίου δεν έχει οριστεί."
"Indexer model is not defined.","Το μοντέλο ευρετηρίου δεν έχει οριστεί."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Δείκτης μοντέλο θα πρέπει να επεκτείνει Mage_Index_Model_Indexer_Abstract."
"Index Management","Διαχείριση Ευρετηρίου"
"Index Mode","Λειτουργία Ευρετηρίου"
"Index mode","Λειτουργία ευρετηρίου"
"Index Name","Όνομα Ευρετηρίου"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Χειροκίνητη Ενημέρωση"
"Mode","Λειτουργία"
"Never","Ποτέ"
"No","Όχι"
"Not started.","Δεν ξεκίνησε."
"One or more of the Indexes are not up to date:","Ένας ή περισσότεροι από τους Δείκτες δεν είναι μέχρι σήμερα:"
"Please select Index(es)","Παρακαλώ επιλέξτε Ευρετήριο(α)"
"Please select Indexes","Παρακαλώ επιλέξτε Ευρετήρια"
"Process Information","Πληροφορίες Επεξεργασίας"
"Processing","Επεξεργασία"
"Process is locked.","Η διεργασία είναι κλειδωμένη."
"Ready","Έτοιμο"
"Refresh","Ανανέωση"
"Reindex All","Επαναδεικτοδότηση Όλων"
"Reindex complete","Ολοκλήρωση επαναευρετηρίου"
"Reindex Data","Αναδεικνυόμενα Δεδομένα"
"Reindex did not complete","Η επαναευρετήριο δεν ολοκληρώθηκε"
"Reindex finished with errors","Η επαναδημιουργία ευρετηρίου ολοκληρώθηκε με σφάλματα"
"Reindex Required","Απαιτείται Αναπροσαρμογή Ευρετηρίου"
"Request failed","Το αίτημα απέτυχε"
"Revoke","Revoke"
"Status","Κατάσταση"
"System","Σύστημα"
"The index has been saved.","Το ευρετήριο έχει αποθηκευτεί."
"The reindex process was interrupted.","Η διαδικασία επαναευρετηρίου διακόπηκε."
"There was a problem with reindexing process.","Υπήρξε ένα πρόβλημα με την επαναδημιουργία της διαδικασίας."
"There was a problem with saving process.","Υπήρξε ένα πρόβλημα με την αποθήκευση της διαδικασίας."
"Total of %d index(es) have changed index mode.","Σύνολο %d ευρετήριο(α) έχουν αλλάξει κατάσταση ευρετηρίου."
"Unable to create directory var/%s.","Αδυναμία δημιουργίας καταλόγου var/%s."
"Unknown reindex run.","Άγνωστη εκτέλεση επαναευρετηρίου."
"Updated At","Ενημερώθηκε Στις"
"Update on Save","Ενημέρωση κατά την αποθήκευση"
"Update Required","Απαιτείται Ενημέρωση"
"Yes","Ναι"
