"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %dδ"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Είστε βέβαιοι ότι θέλετε να απενεργοποιήσετε την επιλεγμένη εργασία cron?"
"At %s","Στο %s"
"Callback","Callback"
"Clear History","Εκκαθάριση Ιστορικού"
"Close","Κλείσιμο"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Προγραμματισμένες Εργασίες) - όλοι οι χρόνοι είναι σε λεπτά"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Το Cron δεν φαίνεται να εκτελείται. Δεν έχουν εκτελεστεί εργασίες την τελευταία ώρα. Παρακαλώ επιβεβαιώστε ότι το cron έχει ρυθμιστεί στο διακομιστή σας."
"Cron history has been cleared. %d record(s) deleted.","Το ιστορικό Cron έχει εκκαθαριστεί. %d εγγραφή(ές) διαγράφηκε."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" έχει απενεργοποιηθεί."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" έχει ενεργοποιηθεί."
"Cron Jobs","Εργασίες Cron"
"Daily","Καθημερινά"
"Daily at %s","Καθημερινά στο %s"
"day %s","ημέρα %s"
"Disable","Απενεργοποίηση"
"Disabled","Απενεργοποιημένο"
"Enable","Ενεργοποίηση"
"Enabled","Ενεργοποιημένο"
"Every %d hours at minute %d","Κάθε %d ώρες στο λεπτό %d"
"Every %d minutes","Κάθε %d λεπτά"
"Every cron run","Κάθε cron τρέχει"
"Every hour","Κάθε ώρα"
"Every minute","Κάθε λεπτό"
"Execution History","Ιστορικό Εκτέλεσης"
"Failure History Lifetime","Διάρκεια Ζωής Ιστορικού Αποτυχιών"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Για σωστές διευθύνσεις URL που δημιουργούνται κατά τη διάρκεια cron τρέχει παρακαλώ σιγουρευτείτε ότι Web > ασφαλές και μη ασφαλές URL βάσης ορίζονται ρητά."
"Generate Schedules Every","Δημιουργία Χρονοδιαγραμμάτων Κάθε"
"History","Ιστορικό"
"History Cleanup Every","Καθαρισμός Ιστορικού Κάθε"
"hour %s","hour %s"
"Hourly","Ωριαία"
"Invalid callback: %s::%s does not exist","Μη έγκυρη επιστροφή κλήσης: %s::%s δεν υπάρχει"
"Invalid model/method definition, expecting ""model/class::method"".","Μη έγκυρος ορισμός μοντέλου/μεθόδου, αναμένοντας ""μοντέλο/κλάση::method""."
"Job Code","Κωδικός Εργασίας"
"Job did not complete: the process died or exceeded the maximum running time (%s minutes).","Η εργασία δεν ολοκληρώθηκε: η διαδικασία πέθανε ή ξεπέρασε το μέγιστο χρόνο λειτουργίας (%s λεπτά)."
"Last Run","Τελευταία Εκτέλεση"
"Last Status","Τελευταία Κατάσταση"
"Manually reset via cron:unlock: job never completed.","Χειροκίνητη επαναφορά μέσω του cron:unlock: η εργασία δεν ολοκληρώθηκε ποτέ."
"Mark as Error if Still Running After","Σήμανση ως σφάλματος αν εξακολουθεί να εκτελείται μετά"
"minute %s","λεπτό %s"
"Missed","Αναπάντητες"
"Missed if Not Run Within","Αναπάντητη εάν δεν εκτελεστεί μέσα"
"month %s","μήνας %s"
"Monthly","Μηνιαία"
"Monthly on day %d at %s","Μηνιαία ημέρα %d στο %s"
"Next Run","Επόμενη Εκτέλεση"
"No callbacks found","Δεν βρέθηκαν callbacks"
"No execution history found.","Δεν βρέθηκε ιστορικό εκτέλεσης."
"No job code specified.","Δεν καθορίστηκε κωδικός εργασίας."
"No schedule ID specified.","Δεν καθορίστηκε ID χρονοδιαγράμματος."
"Not run","Δεν εκτελείται"
"Not scheduled","Μη προγραμματισμένο"
"Pending","Εκκρεμεί"
"Please select cron job(s).","Παρακαλώ επιλέξτε εργασίες cron."
"Request failed","Το αίτημα απέτυχε"
"Run Cron Job","Εκτέλεση Εργασίας Cron"
"Running","Εκτελείται"
"Running...","Εκτέλεση..."
"Run Now","Εκτέλεση Τώρα"
"Schedule","Χρονοδιάγραμμα"
"Schedule Ahead for","Προγραμματισμός εμπρός για"
"Schedule not found.","Το χρονοδιάγραμμα δεν βρέθηκε."
"Stale jobs whose worker died (OOM, timeout, SIGKILL) are flipped from ""running"" to ""error"" after this many minutes. Keep this above the runtime of your slowest job, as any job still running past this threshold is marked as an error. Set to 0 to disable.","Stale θέσεις εργασίας των οποίων ο εργάτης πέθανε (OOM, χρονικό όριο, SIGKILL) ρίχνονται από το ""τρέξιμο"" σε ""λάθος"" μετά από αυτό πολλά λεπτά. Κρατήστε αυτό πάνω από το χρόνο εκτέλεσης της αργής εργασίας σας, καθώς κάθε εργασία εξακολουθεί να τρέχει πέρα από αυτό το όριο επισημαίνεται ως σφάλμα. Ορισμός σε 0 για απενεργοποίηση."
"Success","Επιτυχία"
"Success History Lifetime","Διάρκεια Ζωής Ιστορικού Επιτυχίας"
"Timed out","Λήξη χρονικού ορίου"
"Too late for the schedule.","Πολύ αργά για το πρόγραμμα."
"Total of %d cron job(s) were disabled.","Σύνολο %d cron δουλειά(ες) ήταν απενεργοποιημένα."
"Total of %d cron job(s) were enabled.","Σύνολο %d cron δουλειά(ες) ήταν ενεργοποιημένη."
"Unable to save the cron expression.","Δεν είναι δυνατή η αποθήκευση της έκφρασης cron."
"Unknown cron job: %s","Άγνωστη εργασία cron: %s"
"weekday %s","weekday %s"
"Weekly","Εβδομαδιαία"
"Weekly on %s at %s","Εβδομαδιαία στις %s στο %s"
