"# of Use","# χρήσης"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και άνω"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Αντιγραφή δεδομένων από: %s)"
"* Required Fields","* Απαιτούμενα Πεδία"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 από προεπιλογή, αν δεν έχει οριστεί. Για να ανανεώσετε αμέσως, καθαρίστε τα μπλοκ HTML εξόδου Cache."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Deprecated.</strong> Επίπεδη Κατάλογος θα αφαιρεθεί σε μια μελλοντική έκδοση. Σύγχρονες βάσεις δεδομένων δεν απαιτούν πλέον αυτή τη βελτιστοποίηση."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"Action","Ενέργεια"
"Active Filters","Ενεργά Φίλτρα"
"Actual Price","Πραγματική Τιμή"
"Add","Προσθήκη"
"Add Attribute","Προσθήκη Χαρακτηριστικού"
"Add attribute into attribute set","Προσθήκη χαρακτηριστικού σε σύνολο χαρακτηριστικών"
"Add Design Change","Προσθήκη Αλλαγής Σχεδίασης"
"Add Group","Προσθήκη Ομάδας"
"Add group into attribute set","Προσθήκη ομάδας σε σύνολο χαρακτηριστικών"
"Add Group Price","Προσθήκη Τιμής Ομάδας"
"Additional Information","Πρόσθετες Πληροφορίες"
"Additional Views","Πρόσθετες Προβολές"
"Add New","Προσθήκη Νέου"
"Add New Attribute","Προσθήκη Νέου Χαρακτηριστικού"
"Add New Attribute Set","Προσθέστε Νέο Σύνολο Χαρακτηριστικών"
"Add new custom option into product","Προσθήκη νέας προσαρμοσμένης επιλογής στο προϊόν"
"Add New Group","Προσθήκη Νέας Ομάδας"
"Add New Images","Προσθήκη Νέων Εικόνων"
"Add New Option","Προσθήκη Νέας Επιλογής"
"Add New Row","Προσθήκη Νέας Γραμμής"
"Add New Search Term","Προσθήκη Νέου Όρου Αναζήτησης"
"Add New Set","Προσθήκη Νέου Συνόλου"
"Add new values into custom option","Προσθήκη νέων τιμών στην προσαρμοσμένη επιλογή"
"Add NOINDEX,FOLLOW to Filtered Layered Navigation Pages","Προσθήκη NOINDEX,ΑΚΟΛΟΥΘΟΣ σε φιλτραρισμένες σελίδες πολυεπίπεδης πλοήγησης"
"Add NOINDEX,FOLLOW to Paginated Category Pages","Προσθήκη NOINDEX,FOLLOW σε σελίδες κατηγοριών με σελιδοποίηση"
"Add option","Προσθήκη επιλογής"
"Add Product","Προσθήκη Προϊόντος"
"Add Product To Websites","Προσθήκη Προϊόντος Σε Ιστοσελίδες"
"Add rel=""nofollow"" to Layered Navigation Filter Links","Προσθήκη rel=""nofollow"" στους πολυεπίπεδους συνδέσμους φίλτρων πλοήγησης"
"Add Root Category","Προσθήκη Βασικής Κατηγορίας"
"Add Subcategory","Προσθήκη Υποκατηγορίας"
"Add Tax","Προσθήκη Φόρου"
"Add Tier","Προσθήκη Βαθμίδας"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη στη Σύγκριση"
"Add to Wishlist","Προσθήκη στη λίστα επιθυμιών"
"Alert Urls","Urls Ειδοποίησης"
"All","Όλα"
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"Allow All Products per Page","Να Επιτρέπονται Όλα τα Προϊόντα ανά Σελίδα"
"Allow Dynamic Media URLs in Products and Categories","Να επιτρέπονται οι δυναμικές διευθύνσεις URL πολυμέσων στα προϊόντα και τις κατηγορίες"
"Allowed File Extensions","Επιτρεπόμενες Επεκτάσεις Αρχείων"
"Allowed file extensions to upload","Επιτρεπόμενες επεκτάσεις αρχείων για μεταφόρτωση"
"Allow HTML Tags on Frontend","Επιτρέψτε τις Ετικέτες HTML στην περιοχή πελατών"
"All products","Όλα τα προϊόντα"
"All products - recently added products, New products - products marked as new","Όλα τα προϊόντα - προϊόντα που προστέθηκαν πρόσφατα, Νέα προϊόντα - προϊόντα που επισημαίνονται ως νέα"
"All Product Types","Όλοι Οι Τύποι Προϊόντων"
"All Websites","Όλες Οι Ιστοσελίδες"
"Amount","Ποσό"
"Anchor Custom Text","Προσαρμοσμένο Κείμενο Σημείου Αγκύρωσης"
