"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"Abandoned carts","Εγκαταλελειμμένα καλάθια"
"Action","Ενέργεια"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη στη Σύγκριση"
"Add to Wishlist","Προσθήκη στη λίστα επιθυμιών"
"All Time","Όλη Την Ώρα"
"Any","Οποιαδήποτε"
"Applied Coupon","Εφαρμοσμένο Κουπόνι"
"Applies to Any of the Specified Order Statuses","Ισχύει για οποιαδήποτε από τις καθορισμένες καταστάσεις παραγγελίας"
"Are you sure?","Είσαι σίγουρος?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Είστε βέβαιοι ότι θέλετε να ανανεώσετε στατιστικά στοιχεία διάρκειας ζωής? Μπορεί να υπάρξει επίδραση απόδοσης κατά τη διάρκεια αυτής της λειτουργίας."
"Avg. Approved Rating","Μέση Εγκεκριμένη Βαθμολογία"
"Avg. Rating","Μέση Βαθμολογία"
"Bestsellers","Bestsellers"
"Bestsellers Grid Template","Πρότυπο Πλέγματος Bestsellers"
"Bestsellers Images and Names Template","Πρότυπο Bestsellers Εικόνες και Ονομάτων"
"Bestsellers Images Only Template","Πρότυπο Εικόνων Bestsellers Μόνο"
"Bestsellers List Template","Πρότυπο Λίστας estsellers"
"Bestsellers Names Only Template","Πρότυπο Ονομάτων Bestsellers Μόνο"
"Carts","Καλάθια"
"Catalog Category (Without Subcategories)","Κατηγορία Καταλόγου (Χωρίς Υποκατηγορίες)"
"Compared Product Images Only Template","Πρότυπο Εικόνων Προϊόντων Που Συγκρίθηκαν Μόνο"
"Compared Product Names Only Template","Πρότυπο Ονομάτων Προϊόντων Που Συγκρίθηκαν Μόνο"
"Compared Products Grid Template","Πρότυπο Πλέγματος Συγκριθέντων Προϊόντων"
"Compared Products Images and Names Template","Πρότυπο Εικόνων και Ονομάτων Συγκρινόμενων Προϊόντων"
"Compared Products List Template","Πρότυπο Λίστας Συγκρινόμενων Προϊόντων"
"Coupons","Κουπόνια"
"Coupons Usage Report","Αναφορά Χρήσης Κουπονιών"
"Created At","Δημιουργήθηκε Στις"
"CSV","CSV"
"Current Month Starts","Τρέχων Μήνας Ξεκινά"
"Customer","Πελάτης"
"Customer Name","Όνομα Πελάτη"
"Customers","Πελάτες"
"Customers by Number of Orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by number of orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by Orders Total","Πελάτες ανά Σύνολο Παραγγελιών"
"Customers by orders total","Πελάτες ανά σύνολο παραγγελιών"
"Customers Report","Αναφορά Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tags","Ετικέτες Πελατών"
"Customer Tags","Ετικέτες Πελάτη"
"Dashboard","Ταμπλό"
"Day","Ημέρα"
"Default Recently Compared Products Count","Προεπιλεγμένη Καταμέτρηση Προϊόντων Που Συγκρίθηκαν Πρόσφατα"
"Default Recently Viewed Products Count","Προεπιλεγμένη Καταμέτρηση Προϊόντων Που Προβλήθηκαν Πρόσφατα"
"Description","Περιγραφή"
"Detail","Λεπτομέρεια"
"Downloads","Λήψεις"
"Email","E-mail"
"Empty Rows","Κενές Γραμμές"
"Enable Product Compare","Ενεργοποίηση Σύγκρισης Προϊόντων"
"Enable Recently Viewed Products","Ενεργοποίηση Προϊόντων Που Προβλήθηκαν Πρόσφατα"
"Enable Reports","Ενεργοποίηση Αναφορών"
"Excel XML","Excel XML"
"Filter","Φίλτρο"
"First Name","Όνομα"
"From","Από"
"General","Γενικά"
"Guest","Επισκέπτης"
"Hits","Εμφανίσεις"
"ID","ID"
"Index model name must be defined","Πρέπει να οριστεί το όνομα μοντέλου ευρετηρίου"
"Invalid date specified.","Καθορίστηκε μη έγκυρη ημερομηνία."
"Invoiced","Τιμολογημένο"
"IP Address","Διεύθυνση IP"
"Items in Cart","Αντικείμενα στο καλάθι"
"Last 7 Days","Τελευταίες 7 Ημέρες"
"Last 30 Days","Τελευταίες 30 Ημέρες"
"Last Name","Επώνυμο"
"Last Review","Τελευταία Αναθεώρηση"
"Link","Σύνδεσμος"
"List of best selling products for a given period","Κατάλογος των προϊόντων με τις καλύτερες πωλήσεις για μια δεδομένη περίοδο"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Λίστα Προϊόντων Πρόσφατα Συγκρίθηκε και Αφαιρέθηκε από τη Λίστα Σύγκρισης από Επισκέπτη"
"List of Products Recently Viewed by Visitor","Λίστα Προϊόντων που Προβλήθηκαν πρόσφατα από τον επισκέπτη"
"Low Stock","Χαμηλό Απόθεμα"
"Low stock","Χαμηλό απόθεμα"
"Match Period To","Ταίριασμα Περιόδου Σε"
"Month","Μήνας"
"Most Viewed","Πιο Προβεβλημένα"
"Name","Όνομα"
"New Accounts","Νέοι Λογαριασμοί"
"No","Όχι"
"Number Added","Αριθμός Προστέθηκε"
"Number Fulfilled","Πλήρης Αριθμός"
"Number of Items","Αριθμός στοιχείων"
"Number of New Accounts","Αριθμός νέων λογαριασμών"
"Number of Products to display","Αριθμός Προϊόντων προς εμφάνιση"
"Number Of Reviews","Αριθμός Κριτικών"
"Number of Reviews","Αριθμός αξιολογήσεων"
"Number of Total Tags","Αριθμός συνολικών ετικετών"
"Number of Unique Tags","Αριθμός μοναδικών ετικετών"
"Number of Views","Αριθμός προβολών"
"Number Purchased","Αριθμός Αγοράστηκε"
"Number Viewed","Αριθμός Που Προβλήθηκαν"
"Only In-Stock Products","Μόνο Προϊόντα Σε Απόθεμα"
"Orders","Παραγγελίες"
"Order Status","Κατάσταση Παραγγελίας"
"Order Taxes Report Grouped by Tax Rate","Αναφορά φόρων παραγγελίας που ομαδοποιούνται ανά φορολογικό συντελεστή"
"Out of stock","Χωρίς απόθεμα"
"Period","Περίοδος"
"Poducts Report","Έκθεση Poducts"
"Popularity","Δημοτικότητα"
"Popular Tags","Δημοφιλείς Ετικέτες"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Products","Προϊόντα"
"Products in carts","Προϊόντα σε καλάθια"
"Product SKU","Κωδικός Προϊόντος"
"Products Ordered","Προϊόντα Που Παραγγέλθηκαν"
"Products Report","Έκθεση Προϊόντων"
"Products Reviews","Κριτικές Προϊόντων"
"Products Tags","Ετικέτες Προϊόντων"
