"# of Items (and above)","# Αντικειμένων (και πάνω)"
"# of Items vs. Destination","# Αντικειμένων εναντίον Προορισμού"
"An error occurred while import table rates.","Παρουσιάστηκε σφάλμα κατά την εισαγωγή πίνακα τιμών."
"Calculate Handling Fee","Υπολογισμός Τέλους Χειρισμού"
"Carrier:","Μεταφορέας:"
"City","Πόλη"
"Close Window","Κλείσιμο Παραθύρου"
"Condition","Κατάσταση"
"contact us","επικοινωνήστε μαζί μας"
"Country","Χώρα"
"Custom Value","Προσαρμοσμένη Τιμή"
"Date","Ημερομηνία"
"Delivered on:","Παραδόθηκε στις:"
"Delivered to:","Παραδόθηκε σε:"
"Description","Περιγραφή"
"Displayed Error Message","Εμφανιζόμενο Μήνυμα Σφάλματος"
"Divide to equal weight (one request)","Διαίρεση σε ίσο βάρος (μία αίτηση)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Διπλή γραμμή #%s (Χώρα ""%s"", Περιοχή/Κράτος ""%s"", Τ.Κ. ""%s"" και Αξία ""%s"")."
"email us at ","στείλτε μας email στο "
"Enabled","Ενεργοποιημένο"
"Error:","Σφάλμα:"
"Export","Εξαγωγή"
"File has not been imported. See the following list of errors: %s","Το αρχείο δεν έχει εισαχθεί. Δείτε την ακόλουθη λίστα σφαλμάτων: %s"
"Fixed","Σταθερό"
"Flat Rate","Πάγια Χρέωση"
" for more information or "," για περισσότερες πληροφορίες ή "
"Free Shipping","Δωρεάν Αποστολή"
"Handling Fee","Τέλος Χειρισμού"
"Import","Εισαγωγή"
"Include Virtual Products in Price Calculation","Συμπερίληψη εικονικών προϊόντων στον υπολογισμό τιμής"
"Info:","Πληροφορίες:"
"Invalid %s ""%s"" in the Row #%s.","Άκυρο %s ""%s"" στη γραμμή #%s."
"Invalid Country ""%s"" in the Row #%s.","Μη έγκυρη χώρα ""%s"" στη γραμμή #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Μη έγκυρη περιοχή/κράτος ""%s"" στη γραμμή #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Μη Έγκυρη τιμή αποστολής ""%s"" στη γραμμή #%s."
"Invalid Table Rate code for type %s: %s","Μη έγκυρος κωδικός ποσοστού πίνακα για τον τύπο %s: %s"
"Invalid Table Rate code type: %s","Μη έγκυρος τύπος κωδικού ποσοστού πίνακα: %s"
"Invalid Table Rates File Format","Μη Έγκυρη Μορφή Αρχείου Τιμών Πίνακα"
"Invalid Table Rates format in the Row #%s","Μη έγκυρη μορφή τιμών πίνακα στη γραμμή #%s"
"Local Time","Τοπική Ώρα"
"Location","Τοποθεσία"
"Method Name","Όνομα Μεθόδου"
"Minimum Order Amount","Ελάχιστο Ποσό Παραγγελίας"
"N/A","Δ/Υ"
"None","Κανένα"
"Options","Επιλογές"
"Order Subtotal (and above)","Υποσύνολο (και πάνω) Παραγγελίας"
"Origin","Καταγωγή"
"Percent","Ποσοστό"
"Per Order","Ανά Παραγγελία"
"Per Package","Ανά Πακέτο"
"Price","Τιμή"
"Price vs. Destination","Τιμή εναντίον Προορισμού"
"Region/State","Περιοχή/Πολιτεία"
"Service Type:","Τύπος Υπηρεσίας:"
"Shipment #","Αποστολή #"
"Shipment Tracking Popup","Αναδυόμενο Παράθυρο Παρακολούθησης Αποστολής"
"Shipped or billed on:","Αποστάλθηκε ή χρεώθηκε στις:"
"Shipping Methods","Μέθοδοι Αποστολής"
"Shipping Settings","Ρυθμίσεις Αποστολής"
"Ship to Applicable Countries","Αποστολή στις Εφαρμοστέες Χώρες"
"Ship to Specific Countries","Αποστολή στις Συγκεκριμένες Χώρες"
"Show Method if Not Applicable","Εμφάνιση μεθόδου αν δεν είναι εφαρμόσιμη"
"Signed by:","Υπογράφηκε από:"
"Sort Order","Σειρά Ταξινόμησης"
"Status:","Κατάσταση:"
"Street Address","Διεύθυνση Οδού"
"Street Address Line 2","Γραμμή 2 Διεύθυνσης"
"Table Rates","Πίνακας Συντελεστών"
"There is no tracking available.","Δεν υπάρχει καμία παρακολούθηση διαθέσιμη."
"There is no tracking available for this shipment.","Δεν υπάρχει καμία παρακολούθηση για αυτήν την αποστολή."
"The shipping module is not available.","Η μονάδα αποστολής δεν είναι διαθέσιμη."
"The shipping module is not available for selected delivery country.","Η μονάδα αποστολής δεν είναι διαθέσιμη για την επιλεγμένη χώρα αποστολής."
"This shipping method is currently unavailable.","Αυτή η μέθοδος αποστολής δεν είναι διαθέσιμη αυτή τη στιγμή."
"This shipping method is not available, please specify ZIP-code","Αυτή η μέθοδος αποστολής δεν είναι διαθέσιμη, παρακαλώ προσδιορίστε τον κωδικό ZIP"
"Title","Τίτλος"
"Track:","Κομμάτι:"
"Tracking Information","Πληροφορίες Εντοπισμού"
"Tracking information is currently not available. Please ","Οι πληροφορίες παρακολούθησης δεν είναι διαθέσιμες επί του παρόντος. Παρακαλώ "
"Tracking information is currently unavailable.","Οι πληροφορίες παρακολούθησης δεν είναι διαθέσιμες αυτήν τη στιγμή."
"Tracking Number:","Αριθμός Εντοπισμού:"
"Type","Τύπος"
"Use origin weight (few requests)","Χρήση αρχικού βάρους (λίγες αιτήσεις)"
"Weight (and above)","Βάρος (και πάνω)"
"Weight:","Βάρος:"
"Weight vs. Destination","Βάρος εναντίον Προορισμού"
"ZIP/Postal Code","Ταχυδρομικός Κώδικας"
