"%d Review(s)","%d Review(s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Add New Review"
"Administrator","Διαχειριστής"
"Allow Guests to Write Reviews","Επιτρέψτε στους Επισκέπτες να Γράψουν Κριτικές"
"All Reviews","Όλες οι Αξιολογήσεις"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Approved","Εγκρίθηκε"
"Are you sure?","Είστε σίγουροι;"
"Are you sure you want to do this?","Είστε βέβαιοι πως θέλετε να το κάνετε αυτό;"
"Average Customer Rating","Μέσος Όρος Βαθμολογίας"
"Average Customer Rating:","Μέσος Όρος Βαθμολογίας:"
"Back","Πίσω"
"Back to My Reviews","Πίσω στις Αξιολογήσεις μου"
"Back to Product Reviews","Πίσω στις Αξιολογήσεις Προϊόντος"
"Be the First to Review","Be the First to Review"
"Be the first to review this product","Γίνετε ο πρώτος που θα αξιολογήσει το προϊόν"
"Cancel","Ακύρωση"
"Catalog Product Review View","Catalog Product Review View"
"Close","Κλείσιμο"
"Created On","Δημιουργήθηκε στις"
"Customer","Πελάτης"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Delete","Διαγραφή"
"Delete Review","Διαγραφή Αξιολόγησης"
"Detailed Rating","Αναλυτική Βαθμολογία"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Επισκέπτης"
"ID","ID"
"Manage Ratings","Διαχείριση Βαθμολογιών"
"My Product Reviews","Οι Αξιολογήσεις μου"
"My Recent Reviews","Οι Πρόσφατες Αξιολογήσεις μου"
"Name","Όνομα"
"Name in Store","Name in Store"
"New Review","Νεά Αξιολόγηση"
"Nickname","Ψευδώνυμο"
"Nickname can't be empty","Nickname can't be empty"
"Not Approved","Δεν Εγκρίθηκε"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Προς έγκριση"
"Pending Reviews","Αξιολογήσεις σε Εκκρεμότητα"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a rating for each category","Please select a rating for each category"
"Posted By","Posted By"
"Price","Τιμή"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Product Rating","Βαθμολογία Προϊόντος"
"Product Rating:","Βαθμολογία Προϊόντος:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product SKU","Product SKU"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Qty","Ποσότητα"
"Rating:","Rating:"
"Review","Αξιολόγηση"
"Review (submitted on %s):","Review (submitted on %s):"
"Review can't be empty","Review can't be empty"
"Review Details","Λεπτομέρειες Αξιολόγησης"
"Review Form Fields Before","Review Form Fields Before"
"Reviews","Αξιολογήσεις"
"Reviews and Ratings","Reviews and Ratings"
"Review summary can't be empty","Review summary can't be empty"
"Save Review","Αποθήκευση Αξιολόγησης"
"SKU","Κωδικός"
"Status","Κατάσταση"
"Submit Review","Υποβολή Αξιολόγησης"
"Summary","Περίληψη"
"Summary of Review","Περίληψη της Αξιολόγησης"
"Summary Rating","Περίληψη Βαθμολογίας"
"Title","Τίτλος"
"Type","Τύπος"
"Unable to post the review.","Unable to post the review."
"Update Status","Ενημέρωση Κατάστασης"
"View All Reviews","View All Reviews"
"View Details","Προβολή Λεπτομερειών"
"Visible In","Visible In"
"Websites","Ιστοσελίδες"
"Write a Review","Write a Review"
"You're reviewing:","Αξιολογείτε:"
"You have submitted no reviews.","Δεν έχετε υποβάλει κάποια αξιολόγηση."
"Your Rating:","Your Rating:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
