"%d items","%d στοιχεία"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Actions","Ενέργειες"
"Add Layout Update","Προσθήκη Ενημέρωσης Διάταξης"
"Add New Widget Instance","Προσθήκη Νέας Παρουσίας Γραφικού Στοιχείου"
"All","Όλα"
"All Pages","Όλες Οι Σελίδες"
"All Product Types","Όλοι Οι Τύποι Προϊόντων"
"Anchor Categories","Κατηγορίες Αγκύρωσης"
"An error occurred during POST data validation: %s","Παρουσιάστηκε σφάλμα κατά την επικύρωση δεδομένων POST: %s"
"An error occurred during saving a widget: %s","Παρουσιάστηκε σφάλμα κατά την αποθήκευση ενός γραφικού συστατικού: %s"
"Apply","Εφαρμογή"
"Assign to Store Views","Ανάθεση σε Προβολές Καταστήματος"
"Big Image","Μεγάλη Εικόνα"
"Block Reference","Αναφορά Block"
"Categories","Κατηγορίες"
"Choose...","Επιλογή..."
"Close","Κλείσιμο"
"CMS","CMS"
"Continue","Συνέχεια"
"Default Template","Προεπιλεγμένο Πρότυπο"
"Delete","Διαγραφή"
"Design Package/Theme","Σχεδιασμός Πακέτου/Θέματος"
"Error occurs during loading chooser.","Παρουσιάστηκε σφάλμα κατά τη φόρτωση του επιλογέα."
"Export to:","Εξαγωγή σε:"
"Frontend Properties","Ιδιότητες Περιοχής Χρήσης"
"Generic Pages","Γενικές Σελίδες"
"Go to Next page","Μετάβαση στην επόμενη σελίδα"
"Go to Previous page","Μετάβαση στην προηγούμενη σελίδα"
"Images","Εικόνες"
"Insert Widget...","Insert Widget..."
"Items per page","Αντικείμενα ανά σελίδα"
"Layout Updates","Ενημερώσεις Διάταξης"
"Manage Widget Instances","Διαχείριση Εμφανίσεων Widget"
"New Instance","Νέα Παρουσία"
"New Widget Instance","Νέα Παρουσία Γραφικού Στοιχείου"
"Next page","Επόμενη σελίδα"
"Non-Anchor Categories","Κατηγορίες Μη Αγκύρωσης"
"Not Selected","Δεν Επιλέχθηκε"
"of %s","του %s"
"Open Chooser","Άνοιγμα Επιλογέα"
"Page","Σελίδα"
"per page","ανά σελίδα"
"Please Select Block Reference First","Παρακαλώ Επιλέξτε Πρώτα Την Αναφορά Μπλοκ"
"Previous page","Προηγούμενη σελίδα"
"Products","Προϊόντα"
"Remove Layout Update","Κατάργηση Ενημέρωσης Διάταξης"
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Select All","Επιλογή Όλων"
"selected","επιλεγμένα"
"Settings","Ρυθμίσεις"
"Sort Order","Σειρά Ταξινόμησης"
"Sort Order of widget instances in the same block reference","Σειρά ταξινόμησης των εμφανίσεων widget με την ίδια αναφορά ταμπλό"
"Specific %s","Συγκεκριμένο %s"
"Specified Page","Καθορισμένη Σελίδα"
"Template","Πρότυπο"
"The information in this tab has been changed.","Οι πληροφορίες σε αυτήν την καρτέλα έχουν αλλάξει."
"The widget instance has been deleted.","Η παρουσία του γραφικού στοιχείου έχει διαγραφεί."
"The widget instance has been saved.","Η παρουσία του widget έχει αποθηκευτεί."
"This tab contains invalid data. Please solve the problem before saving.","Αυτή η καρτέλα περιέχει μη έγκυρα δεδομένα. Παρακαλώ λύστε το πρόβλημα πριν από την αποθήκευση."
"Thumbnail","Thumbnail"
"Type","Τύπος"
"View","Προβολή"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Αναγνωριστικό Widget"
"Widget Instance","Παρουσία Γραφικού Στοιχείου"
"Widget instance is not full complete to create.","Η παρουσία γραφικού στοιχείου δεν είναι πλήρης για δημιουργία."
"Widget Instance Title","Τίτλος Παρουσίας Γραφικού Στοιχείου"
"Widget Options","Επιλογές Γραφικού Στοιχείου"
"Widgets","Widget"
"Widget Type","Τύπος Γραφικού Στοιχείου"
"Widget Type is not specified","Τύπος γραφικού στοιχείου δεν έχει καθοριστεί"
"Wrong widget instance specified.","Λάθος παρουσία widget καθορίστηκε."
