"Action","Ενέργεια"
"Allow New Accounts via Social Sign-In","Να επιτρέπονται νέοι λογαριασμοί μέσω Κοινωνικής Σύνδεσης"
"Apple Service ID","Apple Service ID"
"Connected Accounts","Συνδεδεμένοι Λογαριασμοί"
"Connected On","Συνδεδεμένο Ενεργό"
"Continue with Apple","Συνεχίστε με Apple"
"Continue with Facebook","Συνεχίστε με το Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Δημιουργήστε μια εφαρμογή στην πύλη προγραμματιστών Meta, ενεργοποιήστε το Facebook Σύνδεση για το Web, και προσθέστε τον τομέα καταστήματος σας στους επιτρεπόμενους τομείς."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Δημιουργήστε ένα αναγνωριστικό υπηρεσίας στην πύλη Apple Developer. Καταχωρήστε τον τομέα του καταστήματός σας και προσθέστε https://yourstore.com/customer/social/login ως URL επιστροφής."
"Creating new accounts with social sign-in is not allowed. Please register first.","Η δημιουργία νέων λογαριασμών με κοινωνική σύνδεση δεν επιτρέπεται. Παρακαλώ εγγραφείτε πρώτα."
"Customer Connected Accounts","Συνδεδεμένοι Λογαριασμοί Πελάτη"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Οι πελάτες εισέρχονται με το κουμπί Google Identity Services . Δημιουργήστε ένα αναγνωριστικό πελάτη OAuth στην Κονσόλα Google Cloud και προσθέστε την προέλευση του καταστήματός σας στην εξουσιοδοτημένη JavaScript προέλευση."
"Email","E-mail"
"Enable Facebook Login","Ενεργοποίηση Σύνδεσης Στο Facebook"
"Enable Google One Tap","Ενεργοποίηση Του Google One Tap"
"Enable Google Sign-In","Ενεργοποίηση Σύνδεσης Google"
"Enable Sign in with Apple","Ενεργοποίηση σύνδεσης με Apple"
"Facebook App ID","Αναγνωριστικό Εφαρμογής Facebook"
"Facebook App Secret","Μυστικό App Facebook"
"Failed Attempts Allowed per IP per Hour","Αποτυχημένες Προσπάθειες Επιτρέπονται ανά Ώρα"
"Google Client ID","Αναγνωριστικό Πελάτη Google"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Πόσο καιρό παραμένει έγκυρο ένα σήμα nonce που έχει εκδοθεί. Τιμές κάτω των 60 δευτερολέπτων αυξάνονται στα 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Πόσες αποτυχημένες προσπάθειες κοινωνικής σύνδεσης μία διεύθυνση IP μπορεί να κάνει ανά ώρα. Ορίστε 0 για να απενεργοποιήσετε το όριο."
"Invalid authentication token.","Μη έγκυρο διακριτικό ταυτοποίησης."
"Invalid form key. Please refresh the page and try again.","Μη έγκυρο κλειδί φόρμας. Ανανεώστε τη σελίδα και προσπαθήστε ξανά."
"Linked Sign-In Providers","Συνδεδεμένοι Πάροχοι Σύνδεσης"
"or","ή"
"Please complete the required fields of your profile.","Παρακαλώ συμπληρώστε τα απαιτούμενα πεδία του προφίλ σας."
"Provider","Πάροχος"
"Provider Email","Email Παρόχου"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Εμφανίζει την προτροπή One Tap για να επιστρέψετε τους χρήστες της Google στις σελίδες σύνδεσης και εγγραφής."
"Sign-in failed. Please try again later.","Η σύνδεση απέτυχε. Παρακαλώ προσπαθήστε ξανά αργότερα."
"Sign-In Nonce Lifetime (Seconds)","Διάρκεια Ζωής Nonce (Δευτερόλεπτα)"
"Sign-in verification is temporarily unavailable. Please try again later.","Η επαλήθευση εισόδου δεν είναι προσωρινά διαθέσιμη. Παρακαλώ προσπαθήστε ξανά αργότερα."
"Social Login","Κοινωνική Σύνδεση"
"The linked customer account no longer exists.","Ο συνδεδεμένος λογαριασμός πελάτη δεν υπάρχει πλέον."
"The sign-in provider could not be unlinked.","Ο πάροχος σύνδεσης δεν μπόρεσε να αποσυνδεθεί."
"The sign-in provider has been unlinked.","Ο πάροχος σύνδεσης έχει αποσυνδεθεί."
"This account is not active.","Αυτός ο λογαριασμός δεν είναι ενεργός."
"This customer has no linked sign-in providers.","Αυτός ο πελάτης δεν έχει συνδεδεμένους παρόχους υπογραφών."
"This sign-in method is not available.","Αυτή η μέθοδος σύνδεσης δεν είναι διαθέσιμη."
"Too many attempts. Please try again later.","Πάρα πολλές προσπάθειες. Παρακαλώ δοκιμάστε ξανά αργότερα."
"Unknown sign-in provider.","Άγνωστος πάροχος σύνδεσης."
"Unlink","Αποσύνδεση"
"When disabled, only customers with an existing account can sign in with a social provider.","Όταν είναι απενεργοποιημένη, μόνο πελάτες με έναν υπάρχοντα λογαριασμό μπορούν να συνδεθούν με έναν κοινωνικό πάροχο."
"You can sign in with these connected providers.","Μπορείτε να συνδεθείτε με αυτούς τους συνδεδεμένους παρόχους."
"You have no connected sign-in providers.","Δεν έχετε συνδεδεμένους παρόχους σύνδεσης."
"Your account has been created.","Ο λογαριασμός σας έχει δημιουργηθεί."
"Your sign-in attempt has expired. Please try again.","Η προσπάθεια εισόδου σας έχει λήξει. Παρακαλώ δοκιμάστε ξανά."
