"# of Uses","# χρήσεων"
"%s tag(s) have been accepted for moderation.","Οι ετικέτες %s έχουν γίνει δεκτές για έγκριση."
"<strong>Tag Name:</strong> %s","<strong>Όνομα Ετικέτας:</strong> %s"
"Action","Ενέργεια"
"Add","Προσθήκη"
"Add New Tag","Προσθήκη Νέας Ετικέτας"
"Add tag(s) to product","Προσθήκη ετικέτας στο προϊόν"
"Add Tags","Προσθήκη Ετικετών"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Wishlist","Προσθήκη στη λίστα επιθυμιών"
"Add Your Tags:","Προσθέστε Τις Ετικέτες Σας"
"All Tags","Όλες Οι Ετικέτες"
"Approved","Εγκρίθηκε"
"Are you sure?","Είσαι σίγουρος?"
"Are you sure you want to delete this tag?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την ετικέτα?"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό?"
"Back","Πίσω"
"Back to Tags List","Πίσω στη λίστα ετικετών"
"Base Popularity","Βασική Δημοτικότητα"
"Block Information","Πληροφορίες Μπλοκ"
"Catalog Product View","Προβολή Προϊόντων Καταλόγου"
"Change status","Αλλαγή κατάστασης"
"Click on a tag to view your corresponding products.","Κάντε κλικ σε μια ετικέτα για να δείτε τα αντίστοιχα προϊόντα σας."
"Country","Χώρα"
"CSV","CSV"
"Customer My Account My Tags List","Πελάτης Του Λογαριασμού Μου Λίστα Ετικέτες"
"Customer My Account Tag View","Η Προβολή Ετικετών Του Λογαριασμού Μου"
"Customers","Πελάτες"
"Customer Since","Πελάτης Από"
"Customers Submitted this Tag","Οι πελάτες υπέβαλαν αυτή την ετικέτα"
"Customers Tagged '%s'","Πελάτες Με Ετικέτα '%s'"
"Delete","Διαγραφή"
"Delete Tag","Διαγραφή Ετικέτας"
"Disabled","Απενεργοποιημένο"
"Edit Tag '%s'","Επεξεργασία Ετικέτας '%s'"
"Email","E-mail"
"Enable Adding Tags in Frontend","Ενεργοποίηση Προσθήκης Ετικετών στην περιοχή πελατών"
"First Name","Όνομα"
"General Information","Γενικές Πληροφορίες"
"Grid","Πλέγμα"
"ID","ID"
"Info","Πληροφορίες"
"Last Name","Επώνυμο"
"List","Λίστα"
"Manage Tags","Διαχείριση Ετικετών"
"Middle Name","Μεσαίο Όνομα"
"My Recent Tags","Οι Πρόσφατες Ετικέτες Μου"
"My Tags","Οι Ετικέτες Μου"
"Name","Όνομα"
"New Tag","Νέα Ετικέτα"
"No matches found.","Δεν βρέθηκαν ταιριάσματα."
"Pending","Εκκρεμεί"
"Pending Tags","Εκκρεμείς Ετικέτες"
"Popular","Δημοφιλή"
"Popular Tags","Δημοφιλείς Ετικέτες"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Products","Προϊόντα"
"Product SKU","Κωδικός Προϊόντος"
"Products Tagged by Administrators","Προϊόντα που επισημάνθηκαν από Administrators"
"Products Tagged by Customers","Προϊόντα που επισημάνθηκαν από τους πελάτες"
"Products Tagged with '%s'","Προϊόντα με ετικέτα '%s'"
"Products tagged with '%s'","Προϊόντα με ετικέτα '%s'"
"Product Tag API","Ετικέτα Προϊόντος Api"
"Product Tags","Ετικέτες Προϊόντος"
"Rebuild Tag aggregation data","Αναδόμηση δεδομένων συγκέντρωσης ετικετών"
"Remove","Αφαίρεση"
"Remove product tag","Αφαίρεση ετικέτας προϊόντος"
"Retrieve list of tags by product","Ανάκτηση λίστας ετικετών ανά προϊόν"
"Retrieve product tag info","Ανάκτηση πληροφοριών ετικέτας προϊόντος"
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Save Tag","Αποθήκευση Ετικέτας"
"SKU","SKU"
"Status","Κατάσταση"
"Store View","Προβολή Καταστήματος"
"Tag","Ετικέτα"
"Tag ""%s"" has already been added to the product.","Η ετικέτα ""%s"" έχει ήδη προστεθεί στο προϊόν."
"Tag ""%s"" has been added to the product.","Η ετικέτα ""%s"" έχει προστεθεί στο προϊόν."
"Tag ""%s"" has been rejected by administrator.","Η ετικέτα ""%s"" έχει απορριφθεί από το διαχειριστή."
"Tag Aggregation Data","Συγκεντρωτικά Δεδομένα Ετικετών"
"Tagged Products List","Λίστα Προϊόντων Με Ετικέτα"
"Tag Name","Όνομα Ετικέτας"
"Tags","Ετικέτες"
"Tags:","Ετικέτες:"
"Tags List (All Available)","Λίστα Ετικετών (Όλα Διαθέσιμα)"
"Tags List Before","Λίστα Ετικετών Πριν"
"Telephone","Τηλέφωνο"
"There are no tags available.","Δεν υπάρχουν διαθέσιμες ετικέτες"
"The tag has been deleted.","Η ετικέτα έχει διαγραφεί."
"Unable to find any products tagged with '%s' in the current store","Δεν είναι δυνατή η εύρεση προϊόντων με ετικέτα '%s' στο τρέχον κατάστημα"
"Unable to remove tag. Please, try again later.","Δεν είναι δυνατή η αφαίρεση της ετικέτας. Παρακαλώ, προσπαθήστε ξανά αργότερα."
"Unable to save tag(s).","Αδυναμία αποθήκευσης ετικέτας(ων)."
"Update","Ενημέρωση"
"Update product tag","Ενημέρωση ετικέτας προϊόντος"
"Use spaces to separate tags. Use single quotes (') for phrases.","Χρησιμοποιήστε κενά για να διαχωρίσετε ετικέτες. Χρησιμοποιήστε μονά εισαγωγικά (') για φράσεις."
