"%d product(s) were updated","%d προϊόν(τα) ενημερώθηκαν"
"%s (Default Template from Locale)","%s (Προκαθορισμένο πρότυπο από την τοπική γλώσσα)"
"%s cache type(s) disabled.","Τύπος(οι) προσωρινής μνήμης %s απενεργοποιήθηκε."
"%s cache type(s) enabled.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ενεργοποιήθηκε."
"%s cache type(s) refreshed.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ανανεώθηκε."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Για τον τύπο ""Τοπικός διακομιστής"" πρέπει να χρησιμοποιήσετε σχετική διαδρομή προς Magento εγκατάσταση var/εξαγωγή ή var/εισαγωγή, π.χ. var/εξαγωγή, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Για τα ονόματα των 2 γραμμάτων ΗΠΑ)"
"(If left empty will be auto-generated)","(Αν μείνει κενό θα δημιουργηθεί αυτόματα)"
"(Leave empty for first spreadsheet)","(Αφήστε κενό για το πρώτο υπολογιστικό φύλλο)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Τα προϊόντα θα προστεθούν/ενημερωθούν σε αυτό το κατάστημα, αν η στήλη 'κατάστημα' είναι κενή ή λείπει από το αρχείο εισαγωγής)."
"(Starting with)","(Ξεκινώντας με)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Όταν 'Όχι', μόνο χαρτογραφημένα πεδία θα εισαχθούν. Όταν αντιστοιχίζονται, χρησιμοποιήστε 'στήλη1', 'στήλη2', κλπ.)"
"(You have to increase php memory_limit before changing this value)","(Πρέπει να αυξήσετε το php memory_limit πριν αλλάξετε αυτήν την τιμή)"
"(\\t for tab)","(\\t για την καρτέλα)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Εάν η ευρετηρίαση είναι σε εξέλιξη, θα πρέπει να σκοτωθεί και νέα διαδικασία ευρετηρίασης θα ξεκινήσει."
"* Required Fields","* Απαιτούμενα Πεδία"
"-- Not Selected --","-- Δεν Επιλέχθηκε --"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"-- Please select --","-- Παρακαλώ επιλέξτε --"
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"-- Please Select a Category --","-- Παρακαλώ Επιλέξτε μια κατηγορία --"
"-- Please Select Billing Agreement--","-- Παρακαλώ Επιλέξτε Συμφωνία Χρέωσης--"
"1 Hour","1 Ώρα"
"2 Hours","2 Ώρες"
"2FA verification code:","Κωδικός επαλήθευσης 2FA:"
"2FA verification code is invalid.","Ο κωδικός επαλήθευσης 2FA δεν είναι έγκυρος."
"2YTD","2YTD"
"6 Hours","6 Ώρες"
"12 Hours","12 Ώρες"
"12h AM/PM","12h Πμ/Μμ"
"24 Hours","24 Ώρες"
"24h","24η"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Σφάλμα</h1><p>Η σελίδα δεν βρέθηκε.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"Access Denied","Απαγορεύεται Η Πρόσβαση"
"Access denied","Απαγορεύεται η Πρόσβαση"
"Access denied.","Δεν επιτρέπεται η πρόσβαση."
"Account Created in:","Ο λογαριασμός δημιουργήθηκε στο:"
"Account Created on (%s):","Ο λογαριασμός δημιουργήθηκε στις (%s):"
"Account Created on:","Ο λογαριασμός δημιουργήθηκε στις:"
