"Actions","Åtgärder"
"An error occurred while marking notification as read.","Ett fel inträffade när meddelandet markerades som läst."
"An error occurred while marking the messages as read.","Ett fel inträffade när meddelanden markerades som lästa."
"An error occurred while removing messages.","Ett fel inträffade när meddelanden skulle tas bort."
"An error occurred while removing the message.","Ett fel inträffade när meddelandet skulle tas bort."
"Are you sure?","Är du säker?"
"critical","kritisk"
"Date Added","Tillagd datum"
"Last Update","Senaste uppdatering"
"major","större"
"Mark as Read","Markera som läst"
"Mark as read","Markera som läst"
"Message","Meddelande"
"Messages Inbox","Inkorg för meddelanden"
"minor","mindre"
"notice","notis"
"Notifications","Aviseringar"
"Please select messages.","Välj meddelanden."
"Read Details","Läs detaljer"
"Remove","Radera"
"Severity","Allvarlighetsgrad"
"Show List","Visa lista"
"Show Toolbar","Visa verktygsfält"
"The message has been marked as read.","Meddelandet har markerats som läst."
"The message has been removed.","Meddelandet har tagits bort."
"Total of %d record(s) have been marked as read.","Totalt antal %d poster har markerats som lästa."
"Total of %d record(s) have been removed.","Totalt antal %d post(er) har tagits bort."
"Unable to proceed. Please, try again.","Det gick inte att fortsätta. Försök igen."
"Update Frequency","Uppdatera frekvens"
"Wrong message type","Fel meddelandetyp"
