"Additional Product Attributes","Ytterligare produktattribut"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Autentiseringstyp"
"Auth Token","Auth token"
"Bearer Token","Bärartoken"
"Custom Header","Anpassat sidhuvud"
"Custom Header Name","Anpassat sidhuvudsnamn"
"Debug Mode","Felsökningsläge"
"Displayed Error Message","Felmeddelande som visas"
"Enabled","Aktiverad"
"None","Ingen"
"Request Timeout (seconds)","Tidsgräns för begäran (sekunder)"
"Select product attributes to include in the API request payload.","Välj produktattribut att inkludera i nyttolasten för API-begäran."
"Shipping Bridge","Frakt bro"
"Ship to Applicable Countries","Skicka till tillämpliga länder"
"Ship to Specific Countries","Skicka till specifika länder"
"Sort Order","Sortera efter"
"Title","Titel"
