"3D Secure","3D säker"
"3D Secure Card Validation","3D Secure Card Validering"
"Accepted Currency","Accepterad valuta"
"Allow Partial Authorization","Tillåt partiell auktorisering"
"amount %s","belopp %s"
"API Login ID","API inloggnings-ID"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Är du säker på att du vill avbryta din betalning? Klicka OK för att avbryta din betalning och frigöra det belopp som sitter kvar. Klicka på Avbryt för att ange ett annat kreditkort och fortsätta med din betalning."
"authorize","auktorisera"
"Authorize.net (Deprecated)","Authorize.net (avskriven)"
"Authorize.Net Transaction ID %s","Authorize.Net transaktions-ID %s"
"Authorize and Capture","Auktorisera och fånga"
"authorize and capture","auktorisera och fånga"
"Authorize Only","Auktorisera endast"
"Cancel","Avbryt"
"capture","fånga"
"Credit Card: xxxx-%s","Kreditkort: xxxx-%s"
"Credit Card Types","Typ av kreditkort"
"Credit Card Verification","Verifiering av kreditkort"
"Debug","Debug"
"Email Customer","E-post kund"
"Enabled","Aktiverad"
"Error in payment gateway.","Fel i betalningsgateway."
"failed","misslyckades"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway åtgärder är låsta eftersom gateway inte kan slutföra en eller flera av transaktionerna. Logga in på ditt Authorize.Net-konto för att lösa problemet manuellt."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Om tomt kommer ett standardvärde att användas. Anpassad URL kan tillhandahållas genom CardinalCommerce-avtal."
"Invalid amount for authorization.","Ogiltigt belopp för godkännande."
"Invalid amount for capture.","Ogiltigt belopp för insamling."
"Invalid amount for partial authorization.","Ogiltigt belopp för partiell auktorisering."
"Invalid amount for refund.","Ogiltigt belopp för återbetalning."
"Invalid split tenderId ID.","Ogiltigt delat tenderId ID."
"Maximum Order Total","Maximal ordersumma"
"Merchant's Email","Köpmannens e-post"
"Minimum Order Total","Minsta ordersumma"
"New Order Status","Ny orderstatus"
"Parent Authorize.Net transaction (ID %s) expired","Överordnad Authorize.Net transaktion (ID %s) löpte ut"
"Payment Action","Betalning åtgärd"
"Payment authorization error.","Fel vid betalningsgodkännande."
"Payment canceling error.","Fel vid avbokning."
"Payment capturing error.","Fel vid insamling av betalningar."
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Payment partial authorization error.","Fel vid delauktorisering."
"Payment refunding error.","Fel vid återbetalning."
"Payment updating error.","Fel vid uppdatering av betalningar."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Behandlat belopp"
"refund","återbetalning"
"Remaining Balance","Återstående saldo"
"Severe 3D Secure Card Validation","Svår 3D Secure Card Validering"
"Severe Validation Removes Chargeback Liability on Merchant","Allvarlig validering tar bort laddningsansvar för handlare"
"Shopping cart contents and/or address has been changed.","Varukorgens innehåll och/eller adress har ändrats."
"Sort Order","Sortera efter"
"successful","Lyckad"
"Test Mode","Testläge"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Beloppet på ditt kreditkort är otillräckligt för att slutföra ditt köp. Det tillgängliga beloppet har lagts på is. För att slutföra ditt köp klickar du på OK och anger ytterligare kreditkortsnummer. För att avbryta köpet och frigöra beloppet i behåll, klicka på Avbryta."
"There was an error canceling transactions. Please contact us or try again later.","Det gick inte att avbryta transaktioner. Kontakta oss eller försök igen senare."
"Title","Titel"
"Transaction Key","Transaktionsnyckel"
"void","ogiltig"
"You have reached the maximum number of credit card allowed to be used for the payment.","Du har nått det maximala antalet kreditkort som får användas för betalningen."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Du har nått det maximala antalet kreditkort som kan användas för en betalning. De tillgängliga beloppen på alla använda kort var otillräckliga för att slutföra betalningen. Betalningen har avbrutits och belopp som sitter kvar har släppts."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Ditt kreditkort har avvisats. Klicka på OK för att ange ett annat kreditkort för att slutföra ditt köp. Klicka på Avbryt för att släppa beloppet i håll och välj en annan betalningsmetod."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Din beställning har inte lagts eftersom innehållet i kundvagnen och/eller adressen har ändrats. Auktoriserade belopp från din tidigare betalning som var kvar är nu släppt. Gå igenom kassan för ditt senaste kundvagnsinnehåll."
"Your payment has been cancelled. All authorized amounts have been released.","Din betalning har avbrutits. Alla godkända belopp har släppts."
