"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Varukorgen Prisregler baserat på ""%s"" attribut har inaktiverats."
"%s Coupon(s) have been generated","%s kupong(er) har genererats"
"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till ny regel"
"Alphabetical","Alfabetisk"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Ett fel inträffade när kupongerna skulle genereras. Granska loggen och försök igen."
"Apply","Tillämpa"
"Apply the rule only if the following conditions are met (leave blank for all products)","Tillämpa regeln endast om följande villkor är uppfyllda (lämna tomt för alla produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Tillämpa regeln endast på varukorgsartiklar som matchar följande villkor (lämna tomt för alla artiklar)"
"Apply To","Tillämpa på"
"Apply to Shipping Amount","Tillämpa på fraktbelopp"
"Are you sure you want to delete the selected coupon(s)?","Är du säker på att du vill ta bort de markerade kupongerna?"
"Attribute ""%s"" %s %s %s","Attribut ""%s"" %s %s %s"
"Auto","Automatiskt"
"Auto Generated Specific Coupon Codes","Automatiskt genererade specifika kupongkoder"
"Buy X get Y free (discount amount is Y)","Köp X få Y gratis (rabattbelopp är Y)"
"By Fixed value","Av fast värde"
"By Percentage","Per procent"
"Can't acquire coupon.","Kan inte skaffa kupong."
"Cart Attribute","Kundvagn attribut"
"Catalog","Katalog"
"Code Format","Kod format"
"Code Length","Kod längd"
"Code Prefix","Kod Prefix"
"Code Suffix","Code Suffix"
"Conditions","Villkor"
"Conditions combination","Villkor kombination"
"Coupon","Kupong"
"Coupon Code","Kupongkod"
"Coupon Qty","Kupong Antal"
"Coupons Information","Information om kuponger"
"Coupon with the same code","Kupong med samma kod"
"Created On","Skapad den"
"Customer Groups","Kund grupper"
"Dash Every X Characters","Stryk varje X-tecken"
"Date Expire","Datum löper ut"
"Date Start","Startdatum"
"Default Label","Förvald etikett"
"Default Rule Label for All Store Views","Standardregel etikett för alla butiksvyer"
"Description","Beskrivning"
"Discount Amount","Rabatt belopp"
"Discount Qty Step (Buy X)","Rabatt Antal Steg (Köp X)"
"Edit Rule","Redigera regel"
"Edit Rule '%s'","Redigera regel '%s'"
"Excluding prefix, suffix and separators.","Exklusive prefix, suffix och separatorer."
"Fixed amount discount","Fast belopp rabatt"
"Fixed amount discount for whole cart","Fast belopp rabatt för hela kundvagnen"
"For matching items only","Endast för matchande artiklar"
"For shipment with matching items","För leverans med matchande artiklar"
"FOUND","HITTA"
"Free Shipping","Fri frakt"
"From Date","Från datum"
"General Information","Allmän information"
"Generate","Generera"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Om %s %s %s för ett underurval av varor i kundvagnen matchar %s av dessa villkor:"
"If an item is %s in the cart with %s of these conditions true:","Om en artikel är %s i kundvagnen med %s av dessa villkor sant:"
"If empty no separation.","Om tomt ingen separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","Om du väljer och sparar regeln kommer du att kunna generera flera kupongkoder."
"Inactive","Inaktiv"
"is assigned","är tilldelad"
"is not assigned","är inte tilldelad"
"Item totals are not set for rule.","Objekttotalen är inte inställda för regel."
"Labels","Etiketter"
"Manage Coupon Codes","Hantera rabattkoder"
"Maximum Qty Discount is Applied To","Maximalt antal rabatt tillämpas på"
"New Rule","Ny regel"
"No","Nej"
"No Coupon","Ingen kupong"
"NOT FOUND","INTE HITTAD"
"NOT LOGGED IN","INTE LOGGED I"
"Not valid data provided","Ej giltig data angiven"
"Number of Uses","Antal användningsområden"
"Numeric","Numeric"
"Payment Method","Betalningsmetod"
"Percent of product price discount","Procent av produktpriset rabatt"
"Period","Period"
"Price in cart","Pris i varukorgen"
"Priority","Prioritet"
"Product attribute combination","Produkt attribut kombination"
"Products subselection","Delval av produkter"
"Promotions","Kampanjer"
"Public In RSS Feed","Publik i RSS-flöde"
"Quantity in cart","Antal i kundvagnen"
"Row total in cart","Rad totalt i varukorgen"
"Rule Information","Regel Information"
"Rule is not defined","Regeln är inte definierad"
"Rule Name","Regel namn"
"Sales Discount Amount","Försäljning Rabatt Belopp"
"Sales Subtotal Amount","Försäljning Delsumma Belopp"
"Sales Total Amount","Försäljning Totalt Belopp"
"Save and Continue Edit","Spara och fortsätt redigera"
"Shipping Country","Leveransland"
"Shipping Method","Leveranssätt"
"Shipping Postcode","Postnummer för frakt"
"Shipping Region","Frakt Region"
"Shipping State/Province","Frakt delstat/provins"
"Shopping Cart Price Rule","Prisregel för kundvagn"
"Shopping Cart Price Rules","Prisregler för kundvagn"
"Special Price","Specialpris"
"Specific Coupon","Specifik kupong"
"Status","Status"
"Stop Further Rules Processing","Stoppa ytterligare regler behandling"
"Store View Specific Labels","Specifika etiketter för butiksvy"
"Subtotal","Delsumma"
"Subtotal Amount","Summa delsumma"
"The rule has been deleted.","Regeln har tagits bort."
"The rule has been saved.","Regeln har sparats."
"This rule no longer exists.","Denna regel existerar inte längre."
"Times Used","Använda tider"
"To Date","Till datum"
"To Fixed Value","Till fast värde"
"To Percentage","Till procent"
"Total","Totalt"
"Total Amount","Totalt belopp"
"total amount","totalt belopp"
"Total Items Quantity","Totalt antal artiklar"
"total quantity","totalt antal"
"Total Weight","Total vikt"
"Unable to create requested Coupon Qty. Please check settings and try again.","Det gick inte att skapa begärd kupongantal. Kontrollera inställningarna och försök igen."
"Unable to find a rule to delete.","Det gick inte att hitta en regel att ta bort."
"Update prices using the following information","Uppdatera priserna med hjälp av följande information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Update the Product","Uppdatera produkten"
"Usage limit enforced for logged in customers only","Användningsgräns påtvingad för inloggade kunder endast"
"Use Auto Generation","Använd automatisk generering"
"Used","Använt"
"Uses per Coupon","Användning per kupong"
"Uses per Customer","Användning per kund"
"Website","Webbplats"
"Websites","Webbplatser"
"Wrong rule specified.","Fel regel angiven."
"Yes","Ja"
