"Average Duration","Genomsnittlig varaktighet"
"Average Pages","Genomsnittliga sidor"
"Bounce Rate","Studsa hastighet"
"Browsers","Browsers"
"Devices","Enheter"
"Devices & Browsers","Enheter och webbläsare"
"Direct / No referrer","Direkt / Ingen referens"
"Enable Log","Aktivera logg"
"Enable Log Cleaning","Aktivera loggrensning"
"Error Email Recipient","Mottagare för e-postfel"
"Error Email Sender","Error Email Sender"
"Error Email Template","E-postmall för fel"
"Exit Pages","Avsluta sidor"
"Exits","Avsluta"
"Frequency","Frekvens"
"Landing Pages","Landningssidor"
"Log","Logg"
"Log cleanup Warnings","Logga rensning Varningar"
"Logged in","Inloggad"
"Login Conversion","Konvertering av inloggning"
"New vs Returning","Ny vs Återlämning"
"No data","Ingen data"
"No language data available","Ingen språkdata tillgänglig"
"No page view data available","Inga sid visa data tillgängliga"
"No traffic source data available","Ingen trafikkälldata tillgänglig"
"of visitors logged in","av inloggade besökare"
"Online","Online"
"Page","Sida"
"Returning","Återvänder"
"Save Log, Days","Spara logg, dagar"
"Session Metrics","Sessionsstatistik"
"Sessions","Sessioner"
"Start Time","Starttid"
"Today","Idag"
"Top Pages","Topp sidor"
"Total visitors","Totalt antal besökare"
"Traffic Sources","Trafikkällor"
"Views","Visningar"
"Visitors","Besökare"
"Visitors only","Endast besökare"
"Visits","Besök"
"Week","Vecka"
