"%s Index process is working now. Please try run this process later.","%s Index processen fungerar nu. Försök köra denna process senare."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Åtgärd"
"Already running, skipped.","Körs redan, hoppas över."
"Cannot initialize the indexer process.","Kan inte initiera indexeringsprocessen."
"Change Index Mode","Ändra indexläge"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klicka här för att gå till <a href=""%s"">Cache Management</a> och uppdatera cachetyper."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klicka här för att gå till <a href=""%s"">Index Management</a> och bygga om nödvändiga index."
"Close","Stäng"
"Delete","Radera"
"Description","Beskrivning"
"Disable","Inaktivera"
"Enable","Aktivera"
"General","Allmänt"
"Index","Index"
"Index Description","Indexets beskrivning"
"Indexer code is not defined.","Indexerarkoden är inte definierad."
"Indexer model is not defined.","Indexerarmodellen är inte definierad."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexerarmodellen bör förlänga Mage_Index_Model_Indexer_Abstract."
"Index Management","Hantering av index"
"Index Mode","Indexläge"
"Index mode","Indexläge"
"Index Name","Indexnamn"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Manuell uppdatering"
"Mode","Läge"
"Never","Aldrig"
"No","Nej"
"Not started.","Ej påbörjad."
"One or more of the Indexes are not up to date:","En eller flera av indexen är inte aktuella:"
"Please select Index(es)","Välj index"
"Please select Indexes","Välj index"
"Process Information","Bearbeta information"
"Processing","Bearbetar"
"Process is locked.","Processen är låst."
"Ready","Redo"
"Refresh","Uppdatera"
"Reindex All","Omindexera alla"
"Reindex complete","Omindex slutförd"
"Reindex Data","Omindexera data"
"Reindex did not complete","Reindex slutfördes inte"
"Reindex finished with errors","Reindex klar med fel"
"Reindex Required","Omindex krävs"
"Request failed","Begäran misslyckades"
"Revoke","Revoke"
"Status","Status"
"System","System"
"The index has been saved.","Indexet har sparats."
"The reindex process was interrupted.","Omindexprocessen avbröts."
"There was a problem with reindexing process.","Det gick inte att indexera om processen."
"There was a problem with saving process.","Det gick inte att spara processen."
"Total of %d index(es) have changed index mode.","Totalt %d index (es) har ändrat indexläge."
"Unable to create directory var/%s.","Kunde inte skapa katalog var/%s."
"Unknown reindex run.","Okänd omindexering kör."
"Updated At","Uppdaterad vid"
"Update on Save","Uppdatera vid Spara"
"Update Required","Uppdatering krävs"
"Yes","Ja"
