"%s's Wishlist","%ss önskelista"
"%s - Discounts and Coupons","%s - Rabatter och rabattkuponger"
"%s - Special Products","%s - Specialprodukter"
"%s has reached a quantity of %s.","%s har nått ett antal %s."
"%s RSS Feed","%s RSS-flöde"
"Admin Catalog","Admin-katalog"
"Admin Order","Admin Order"
"Cannot retrieve the wishlist","Kan inte hämta önskelistan"
"Catalog","Katalog"
"Category Feeds","Kategori Flöden"
"click <a href=""%s"">here</a> to view the review","Klicka på <a href=""%s"">här</a> för att se granskningen"
"Click for price","Klicka för pris"
"Coupons/Discounts","Rabatter"
"Customer Name: %s","Kundens namn: %s"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Enable RSS","Aktivera RSS"
"Error in processing xml. %s","Fel vid bearbetning av xml. %s"
"From:","Från:"
"Get Feed","Få Flöde"
"Gift Message","Meddelande till gåvan"
"Grand Total","Totalsumma"
"Low Stock Products","Produkter med lågt lager"
"Message:","Meddelande:"
"Miscellaneous Feeds","Diverse flöden"
"New Order Notification","Ny ordernotifikation"
"New Order Period (days)","Ny orderperiod (dagar)"
"New Orders","Nya beställningar"
"New Products","Nya produkter"
"New Products from %s","Nya produkter från %s"
"Order","Beställning"
"Order #%s created at %s","Beställning #%s skapad på %s"
"Pending product review(s)","Väntar på produktrecension(er)"
"Product: ""%s"" review By: %s","Produkt: ""%s"" review Av: %s"
"Product: <a href=""%s"">%s</a> <br>","Produkt: <a href=""%s"">%s</a> <br>"
"Products tagged with %s","Produkter taggade med %s"
"Purchased From: %s","Köpt från: %s"
"Review: %s <br>","Recension: %s <br>"
"Review Notification","Granska avisering"
"Rss Config","Rss Konfiguration"
"RSS Feeds","RSS-flöden"
"RSS Feeds List","Lista RSS-flöden"
"Shipping &amp; Handling","Leverans &amp; Hantering"
"Special Products","Specialprodukter"
"Stock Notification","Lager notifikation"
"Store: %s <br>","Butik: %s <br>"
"Subtotal","Delsumma"
"Summary of review: %s <br>","Sammanfattning av recension: %s <br>"
"Tags Products","Taggar produkter"
"Tax","Skatt"
"There are no Rss Feeds","Det finns inga RSS-flöden"
"To:","Till:"
"Top Level Category","Kategori på högsta nivå"
"Wishlist","Önskelista"
