"# of Use","Antal användningar"
"%1$s incl tax.","%1$s inkl moms."
"%s-%s of %s","%s-%s av %s"
"%s and above","%s och högre"
"%s Item(s)","%s objekt"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiera data från: %s)"
"* Required Fields","* Obligatoriska fält"
"-- Please Select --","-- Välj --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som standard, om den inte är inställd. För att uppdatera direkt, Rensa blocken HTML Output Cache."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Deprecated.</strong> Flat Catalog kommer att tas bort i en framtida version. Moderna databaser kräver inte längre denna optimering."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Varning!</strong> Tillämpning av MAP som standard kommer att dölja alla produktpriser på framsidan."
"Action","Åtgärd"
"Active Filters","Aktiva filter"
"Actual Price","Faktiskt pris"
"Add","Lägg till"
"Add Attribute","Lägg till attribut"
"Add attribute into attribute set","Lägg till attribut i attributset"
"Add Design Change","Lägg till designändring"
"Add Group","Lägg till grupp"
"Add group into attribute set","Lägg till grupp i attributset"
"Add Group Price","Lägg till grupppris"
"Additional Information","Ytterligare information"
"Additional Views","Ytterligare visningar"
"Add New","Lägg till ny"
"Add New Attribute","Lägg till nytt attribut"
"Add New Attribute Set","Lägg till nytt attributset"
"Add new custom option into product","Lägg till nytt anpassat alternativ till produkten"
"Add New Group","Lägg till ny grupp"
"Add New Images","Lägg till nya bilder"
"Add New Option","Lägg till nytt alternativ"
"Add New Row","Lägg till ny rad"
"Add New Search Term","Lägg till ny sökterm"
"Add New Set","Lägg till nytt set"
"Add new values into custom option","Lägg till nya värden i anpassat alternativ"
"Add option","Lägg till alternativ"
"Add Product","Lägg till produkt"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Add Root Category","Lägg till rotkategori"
"Add Subcategory","Lägg till underkategori"
"Add Tax","Lägg till moms"
"Add Tier","Lägg till nivå"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämförelse"
"Add to Wishlist","Lägg till i önskelista"
"Alert Urls","Alert Url"
"All","Alla"
"ALL GROUPS","ALLA GRUPPER"
"Allow All Products per Page","Tillåt alla produkter per sida"
"Allow Dynamic Media URLs in Products and Categories","Tillåt dynamiska media-URL:er i produkter och kategorier"
"Allowed File Extensions","Tillåtna filtillägg"
"Allowed file extensions to upload","Tillåtna tillägg att ladda upp"
"Allow HTML Tags on Frontend","Tillåt HTML-taggar på frontend"
"All products","Alla produkter"
"All products - recently added products, New products - products marked as new","Alla produkter - nyligen tillagda produkter, Nya produkter - produkter markerade som nya"
"All Product Types","Alla produkttyper"
"All Websites","Alla webbplatser"
"Amount","Belopp"
"Anchor Custom Text","Ankare anpassad text"
"Anchor Custom Title","Ankare anpassad titel"
"and","och"
"and above","och över"
"An error occurred while adding products to websites.","Ett fel uppstod när du lägger till produkter till webbplatser."
"An error occurred while clearing comparison list.","Ett fel inträffade vid rensning av jämförelselistan."
"An error occurred while deleting this review.","Ett fel inträffade när granskningen skulle tas bort."
"An error occurred while removing products from websites.","Ett fel inträffade när produkter togs bort från webbplatser."
"An error occurred while saving the attribute set.","Ett fel inträffade när attributet skulle sparas."
"An error occurred while saving the collection, aborting. Error message: %s","Ett fel inträffade när samlingen skulle sparas. Felmeddelande: %s"
"An error occurred while saving the product. ","Ett fel inträffade när produkten skulle sparas. "
"An error occurred while saving the search query.","Ett fel inträffade när sökfrågan skulle sparas."
"An error occurred while saving the URL rewrite","Ett fel inträffade när URL-omskrivning skulle sparas"
"An error occurred while saving this review.","Ett fel inträffade när granskningen skulle sparas."
"An error occurred while updating the product(s) attributes.","Ett fel inträffade vid uppdatering av produkt(er) attribut."
"An error occurred while updating the product(s) status.","Ett fel uppstod när uppdateringen produkt(er) status."
"An invalid group ID is specified, skipping the record.","Ett ogiltigt grupp-ID anges, hoppar över posten."
"An invalid option ID is specified for %s (%s), skipping the record.","Ett ogiltigt alternativ ID anges för %s (%s), hoppar över posten."
"An invalid store was specified.","En ogiltig butik har angetts."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Tillämplig för katalogprodukter och kategorier. Alla medieinnehåll kommer att infogas i redigeraren som en statisk URL. Det uppdateras inte om systemets konfigurationsbas URL ändras."
"Apply","Tillämpa"
"Apply MAP (Default Value)","Tillämpa MAP (standardvärde)"
"Apply price filter","Tillämpa prisfilter"
"Apply To","Tillämpa på"
"Approved","Godkänd"
"A product type is not defined for the indexer.","En produkttyp är inte definierad för indexeraren."
"Are you sure?","Är du säker?"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Are you sure you would like to remove all products from your comparison?","Är du säker på att du vill ta bort alla produkter från jämförelsen?"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort detta objekt från jämför produkter?"
"Assign","Tilldela"
"Assigned Products","Tilldelade produkter"
"Assign product link","Tilldela produktlänk"
"Assign product to category","Tilldela produkt till kategori"
"Associated Products","Kopplade produkter"
"Attrib. Set Name","Attrib. Ange namn"
"Attribute ""%s"" is invalid.","Attributet ""%s"" är ogiltigt."
"Attribute ""%s"" is required.","Attribut ""%s"" krävs."
"Attribute add","Attribut lägg till"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attributkoden är ogiltig. Använd endast bokstäver (a-z), siffror (0-9) eller understreck (_) i det här fältet, första tecknet ska vara en bokstav. Använd inte ""event"" för en attributkod."
"Attribute Information","Attributinformation"
"Attribute Name:","Attributets namn:"
"Attribute remove","Attribut ta bort"
"Attributes","Attribut"
"Attribute Set","Attributset"
"Attribute Sets","Attributuppsättningar"
"Attribute with the same code already exists","Attribut med samma kod finns redan"
"Attrribute names can be specified per store.","Attribut namn kan anges per butik."
"Autogenerate","Generera automatiskt"
"Availability:","Tillgänglighet:"
"Back","Tillbaka"
"Background Color","Bakgrundsfärg"
"Backorders","Backorder"
"Based On","Baserat på"
"Base Image Width","Bas bildbredd"
"Before Order Confirmation","Före orderbekräftelse"
"Best Value","Bästa värde"
"Block after Info Column","Blockera efter informationskolumn"
"Bottom/Left","Nederst/vänster"
"Bottom/Right","Nederst/höger"
"Bottom Block Options Wrapper","Nedre blockalternativ Wrapper"
"Bundle Items","Paketera objekt"
"Buy %1$s","Köp %1$s"
"Buy %1$s for","Köp %1$s för"
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl. moms) vardera"
"Buy %1$s for %2$s each","Köp %1$s för %2$s varje"
"Cache Lifetime (Seconds)","Cache-livstid (sekunder)"
"Cache refresh needed.","Cachen behöver uppdateras."
"Can't create image.","Kan inte skapa bild."
"Can be Divided into Multiple Boxes for Shipping","Kan delas i flera lådor för frakt"
"Can be used only with catalog input type Dropdown","Kan endast användas med katalogens indatatyp Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan endast användas med katalogens indatatyp Dropdown, flera val och pris"
