"3D Secure","3D säker"
"Actions","Åtgärder"
"Added","Tillagd"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Tillåter inloggade kunder att spara sina betalningsmetoder för snabbare framtida kassor. Sparade polletter lagras säkert av PayPal."
"Are you sure you want to delete this payment method?","Är du säker på att du vill ta bort denna betalningsmetod?"
"Authorization ID","Auktorisering ID"
"Authorize and Capture","Auktorisera och fånga"
"Authorize Only","Auktorisera endast"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Automatiskt befolkad efter att ha klickat på ""Registrera Webhook"". Används för att verifiera äktheten av inkommande PayPal-meddelanden."
"AVS Code","AVS kod"
"Bancontact","Ban kontakt"
"BLIK","BLIK"
"Capture ID","Fånga ID"
"Cart is empty.","Varukorgen är tom."
"Client ID","Klient ID"
"Client Secret","Klienthemlighet"
"Confirm your payment with PayPal, then click ""Place Order"".","Bekräfta din betalning med PayPal, klicka sedan på ""Lägg beställning""."
"Connection failed. Please check your credentials.","Anslutningen misslyckades. Kontrollera dina uppgifter."
"Connection failed: %s","Anslutning misslyckades: %s"
"Connection successful.","Anslutningen lyckades."
"Could not acquire order lock.","Kunde inte skaffa orderlås."
"CVV Code","CVV kod"
"Debug Mode","Felsökningsläge"
"Delete","Radera"
"Display on Product Page","Visa på produktsidan"
"Display on Shopping Cart","Visa i kundvagn"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Visar inline kredit/betalkort fält direkt på din kassasida. Kunderna anger sina kortuppgifter utan att omdirigeras till PayPal. Kräver PayPal Avancerad Kassa behörighet."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Visar PayPal-knappar i kassan. Kunderna betalar med sitt PayPal-konto, Pay Later, eller andra PayPal-stödda metoder utan att lämna din webbplats."
"Enabled","Aktiverad"
"eps","eps"
"Failed to create PayPal order.","Det gick inte att skapa PayPal-order."
"Failed to create PayPal order: %s","Kunde inte skapa PayPal-order: %s"
"Failed to register webhook.","Misslyckades att registrera webhook."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Ogiltig formulärnyckel."
"Invalid payment method.","Ogiltig betalningsmetod."
"Log API requests and responses to var/log/paypal.log","Logga API-förfrågningar och svar på var/log/paypal.log"
"Missing PayPal order ID.","PayPal order-ID."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Inget PayPal-auktoriserings-ID hittades för ogiltigt."
"No PayPal authorization or order ID found for capture.","Ingen PayPal auktorisering eller order-ID hittades för att fånga."
"No PayPal capture ID found for refund.","Ingen PayPal capture ID hittades för återbetalning."
