"* Required Fields","* Obligatoriska fält"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> begär åtkomst till ditt konto"
"Admin","Administratör"
"After authorization application will have access to you account.","Efter auktorisering ansökan kommer att ha tillgång till ditt konto."
"An error occurred.","Ett fel uppstod."
"An error occurred. Your authorization request is invalid.","Ett fel inträffade. Din begäran om auktorisering är ogiltig."
"An error occurred on confirm authorize.","Ett fel uppstod när bekräfta auktorisera."
"An error occurred on delete action.","Ett fel inträffade vid borttagning åtgärd."
"An error occurred on reject authorize.","Ett fel inträffade vid avvisa godkännande."
"An error occurred on saving consumer data.","Ett fel inträffade när konsumentdata skulle sparas."
"An error occurred on update revoke status.","Ett fel inträffade vid uppdateringen återkalla status."
"An error occurred while deleting the consumer.","Ett fel inträffade när konsumenten skulle tas bort."
"Application Name","Applikationens namn"
"Authorization confirmed","Auktorisering bekräftad"
"Authorization confirmed.","Auktorisering bekräftad."
"Authorize","Auktorisera"
"Authorize application","Auktorisera ansökan"
"Authorized Tokens","Auktoriserade Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Städa upp Sannolikhet"
"Cleanup Settings","Rensa inställningar"
"Close","Stäng"
"Confirmation Of Authorization","Bekräftelse av tillstånd"
"Confirm token authorization for admin","Bekräfta auktorisering för administratör"
"Confirm token authorization Pop Up for admin","Bekräfta auktorisering av token Pop Up för admin"
"Consumer Information","Information om konsumtionen"
"Consumer Name","Konsumentens namn"
"Consumers","Konsumenter"
"Created At","Skapad den"
"Current Admin Password","Nuvarande administratörslösenord"
"Customer","Kund"
"Delete","Radera"
"deleted","borttagen"
"Disable","Inaktivera"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Edit Consumer","Redigera konsument"
"Email","E-post"
"Email Address","E-postadress"
"Enable","Aktivera"
"Enabled","Aktiverad"
"enabled","aktiverad"
"Entry with ID #%s not found.","Inlägg med ID #%s hittades inte."
"Expiration Period","Utgångsperiod"
"Give the verifier code to application administrator","Ge verifierarkoden till applikationsadministratören"
"ID","ID"
"Invalid ID parameter.","Ogiltig ID-parameter."
"Key","Nyckel"
"Log In","Logga in"
"Login","Inloggning"
"Log in as admin","Logga in som administratör"
"Log in to use <strong>%s</strong>","Logga in för att använda <strong>%s</strong>"
"My Applications","Mina applikationer"
"Name","Namn"
"New Consumer","Ny konsument"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Mina appar"
"OAuth authorization for admin","OAuth auktorisering för admin"
"OAuth authorization simple for admin","OAuth auktorisering enkel för admin"
"OAuth Authorized Tokens","OAuth auktoriserade Tokens"
"OAuth Consumers","OAuth konsumenter"
"Password","Lösenord"
"Permissions","Behörigheter"
"Please login to proceed authorization.","Logga in för att fortsätta auktoriseringen."
"Please select needed row(s).","Välj önskade rader."
"Please select revoke status.","Välj återkalla status."
"Reject","Avvisa"
"Rejected Callback URL","Avvisad URL för uppringning"
"Rejection Of Authorization","Avvisande av tillstånd"
"Reject token authorization for admin","Avvisa tillstånd för token för admin"
"Reject token authorization Pop Up for admin","Avvisa tillstånd för token Pop Up för admin"
"REST - My Apps","REST - Mina appar"
"REST - OAuth Authorized Tokens","REST - OAuth auktoriserade Tokens"
"REST - OAuth Consumers","REST - OAuth konsumenter"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Rollens namn"
"Save","Spara"
"Save and Continue Edit","Spara och fortsätt redigera"
"Secret","Hemlighet"
"Selected entries enabled.","Valda poster aktiverade."
"Selected entries has been deleted.","Valda poster har tagits bort."
"Selected entries revoked.","Valda poster återkallade."
"Status","Status"
"System","System"
"The application access request is rejected.","Begäran om åtkomst till ansökan avvisas."
"The consumer has been deleted.","Konsumenten har tagits bort."
"The consumer has been saved.","Konsumenten har sparats."
"Token Status Change","Ändra Token Status"
"Token Status Change Email Template","Ändra e-postmall för Token Status"
"Unable to find a consumer.","Det gick inte att hitta en konsument."
"User ID","Användar-ID"
"User Name","Användarnamn"
"User Type","Typ av användare"
"Verifier code: %s","Verifieringskod: %s"
