"-- Please Select --","-- Välj --"
"Add to Cart","Lägg till i kundvagn"
"Are you sure to delete this fallback color?","Är du säker på att ta bort denna reserv färg?"
"Choose an Option...","Välj ett alternativ..."
"Configurable Swatches","Konfigurerbara Swatches"
"Dynamic Price Change for Swatches in Product Listing","Dynamisk prisförändring för Swatches i produktlistan"
"Enabled","Aktiverad"
"General Settings","Allmänna inställningar"
"Height","Höjd"
"Innermost dimensions, not including border, in pixels","Innersta mått, ej gräns, i pixlar"
"In Stock","I lager"
"Out of Stock","Ej i lager"
"Previous","Föregående"
"Product Attributes to Show as Swatches in Product Detail","Produktattribut att visa som Swatches i produktdetalj"
"Product Attribute to Use for Swatches in Product Listing","Produktattribut att använda för Swatches i produktlistning"
"Remove This Item","Ta bort denna artikel"
"Swatch","Swatch"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch dimensioner i produktlistan"
"Swatch Dimensions on Product Detail Page","Swatch-mått på produktdetaljsida"
"Width","Width"
