"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Länk</a>"
"Actions XML is not valid.","Åtgärder XML är inte giltigt."
"An error occurred while opening file: ""%s"".","Ett fel uppstod när du öppnade filen: ""%s""."
"Could not load file: ""%s"".","Kunde inte ladda fil: ""%s""."
"Could not save file: %s.","Kunde inte spara filen: %s."
"Declared adapter %s was not found.","Deklarerad adapter %s hittades inte."
"Destination folder ""%s"" is not a directory.","Målmapp ""%s"" är inte en katalog."
"Destination folder ""%s"" is not writable.","Målmapp ""%s"" är inte skrivbar."
"Done","Klar"
"Dry run set, stopping execution.","Torr körning, stoppa utförandet."
"Error in field mapping: field list for mapping is not defined.","Fel i fältmappning: fältlistan för kartläggning är inte definierad."
"ETA: %s","ETA: %s"
"File ""%s"" does not exist.","Filen ""%s"" finns inte."
"Found %d rows.","Hittade %d rader."
"hour","timme"
"hours","timmar"
"Invalid file path.","Ogiltig sökväg."
"Invalid node.","Ogiltig nod."
"Less than a minute","Mindre än en minut"
"Loaded successfully: ""%s"".","Laddades framgångsrikt: ""%s""."
"Memory Used: %s","Använt minne: %s"
"Method ""%s"" not defined in adapter %s.","Metoden ""%s"" inte definierad i adaptern %s."
"Method ""%s"" was not defined in adapter %s.","Metoden ""%s"" definierades inte i adaptern %s."
"minute","minut"
"minutes","minuter"
"Path ""%s"" is not allowed. Files must be in var/export or var/import.","Sökväg ""%s"" är inte tillåtet. Filer måste vara i var/export eller var/import."
"Please declare ""adapter"" and ""method"" nodes first.","Vänligen ange ""adapter"" och ""metod"" noder först."
"Processed records: %s","Bearbetade poster: %s"
"Profile with the same name already exists.","Profil med samma namn finns redan."
"Saved successfully: ""%s"" [%d byte(s)].","Sparades framgångsrikt: ""%s"" [%d byte(s)]."
"Sheet 1","Ark 1"
"Skip undefined row.","Hoppa över odefinierad rad."
"Starting %s :: %s","Startar %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Målmappen ""%s"" finns inte eller så finns det ingen behörighet att skapa den."
"Total records: %s","Totalt antal poster: %s"
"Upload failed. Can not find required columns: %s in file %s.","Uppladdningen misslyckades. Hittade inte obligatoriska kolumner: %s i filen %s."
"Upload failed. Wrong data format in file: %s.","Uppladdningen misslyckades. Fel dataformat i filen: %s."
