"1 star","1 stjärna"
"2 stars","2 stjärnor"
"3 stars","3 stjärnor"
"4 stars","4 stjärnor"
"5 stars","5 stjärnor"
"Add New Rating","Lägg till nytt betyg"
"Assigned Options","Tilldelade alternativ"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Default Value","Förvalt värde"
"Delete Rating","Ta bort betyg"
"Edit Rating","Redigera betyg"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Om du inte anger en betygsrubrik för en butik, kommer standardvärdet att användas."
"Manage Ratings","Hantera betyg"
"New Rating","Nytt betyg"
"Option Label","Etikett för alternativ"
"Option Title","Alternativ titel"
"Option Title:","Titel: Alternativ"
"Please select one of each ratings above","Välj ett av varje betyg ovan"
"Rating Information","Information om betyg"
"Rating isn't Available","Betyget är inte tillgängligt"
"Rating Name","Betygsnamn"
"Rating Title","Betygets titel"
"Rating Visibility","Betygsättning synlighet"
"Rating with the same title","Betyg med samma titel"
"Save Rating","Spara betyg"
"Sort Order","Sortera efter"
"Visible In","Synlig i"
