"""Remember Me"" Default Value","""Kom ihåg mig"" standardvärde"
"* Required Fields","* Obligatoriska fält"
"2FA Verification Code","2FA verifieringskod"
"2FA verification code is invalid.","2FA verifieringskod är ogiltig."
"Accept Format-valid VAT When VIES Unavailable","Acceptera Format-giltig moms när VIES inte är tillgängligt"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Kontobekräftelse krävs. Vänligen kontrollera din e-post för bekräftelselänk. För att skicka bekräftelsemailet igen, vänligen <a href=""%s"">klicka här</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Kontobekräftelse krävs. Vänligen kontrollera din e-post för bekräftelselänken. För att skicka bekräftelsemailet igen, vänligen <a href=""%s"">klicka här</a>."
"Account Dashboard","Konto instrumentpanel"
"Account Information","Kontoinformation"
"Account Options","Kontoalternativ"
"Account Sharing Options","Inställningar för delning av konto"
"Action","Åtgärd"
"Added From","Tillagd från"
"Additional Address Entries","Ytterligare adressposter"
"Add New Address","Lägg till ny adress"
"Add New Customer","Lägg till ny kund"
"Add New Customer Group","Lägg till ny kundgrupp"
"Address","Adress"
"Address Book","Adressbok"
"Addresses","Adresser"
"Address Information","Adress Information"
"Address Templates","Adress mallar"
"Admin","Administratör"
"All","Alla"
"All countries","Alla länder"
"ALL GROUPS","ALLA GRUPPER"
"Allow customers to login via a secure link sent to their email instead of using a password.","Tillåt kunder att logga in via en säker länk som skickas till deras e-post istället för att använda ett lösenord."
"Allow Two-Factor Authentication","Tillåt tvåfaktorsautentisering"
"All Store Views","Alla butiksvyer"
"Always optional.","Alltid valfritt."
"Amount","Belopp"
"An error occurred during validation. Please try again.","Ett fel inträffade under valideringen. Försök igen."
"An error occurred while deleting the address.","Ett fel inträffade när adressen skulle tas bort."
"An error occurred while retrieving the option value: %s.","Ett fel inträffade när optionsvärdet skulle hämtas: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ett fel inträffade när samlingen skulle sparas, avbryter. Fel: %s"
"An error occurred while updating two-factor authentication.","Ett fel inträffade vid uppdatering tvåfaktorsautentisering."
"An invalid option ID is specified for %s (%s), skipping the record.","Ett ogiltigt alternativ ID anges för %s (%s), hoppar över posten."
"Approved","Godkänd"
"Are you sure?","Är du säker?"
"Are you sure that you want to remove this item?","Är du säker på att du vill ta bort detta objekt?"
"Are you sure you want to cancel adding of this address?","Är du säker på att du vill avbryta tillägget av denna adress?"
"Are you sure you want to delete this address?","Är du säker på att du vill ta bort denna adress?"
"Assign a Customer Group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back","Tillbaka"
"Bad request.","Felaktig begäran."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Baserat på momsregistreringsnummer skulle kunden tillhöra kundgruppen %s."
"Bill to Name","Bill till namn"
"Bought From","Köpt från"
"By Email","Via e-post"
"By IP","Efter IP"
"By IP and Email","Via IP och E-post"
"Cache Lifetime (hours)","Cache-livstid (timmar)"
"Cancel","Avbryt"
"Cannot save address.","Kan inte spara adress."
"Cannot save a new password.","Kan inte spara ett nytt lösenord."
"Cannot save the customer.","Kan inte spara kunden."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan inte dela kundkonton globalt eftersom vissa kundkonton med samma e-post finns på flera webbplatser och inte kan slås samman."
"Change Account Data","Ändra kontodata"
"Change Billing Address","Ändra faktureringsadress"
"Changed Email or Password Email Template","Ändrade e-post- eller lösenordsmallar"
"Changed Password or Email","Ändrade lösenord eller e-post"
"Change Password","Ändra lösenord"
"Change Shipping Address","Ändra leveransadress"
"City","Stad"
"Close","Stäng"
"Company","Företag"
"Configure","Konfigurera"
"Confirmation Link Email","Bekräftelse Länk E-post"
"Confirmed","Bekräftad"
"Confirm New Password","Bekräfta nytt lösenord"
"Confirm Password","Bekräfta lösenord"
"Contact Information","Kontaktinformation"
"Continue","Fortsätt"
"Continue Shopping","Fortsätt handla"
"Controls whether password is required during registration when Magic Link is enabled.","Kontrollerar om lösenord krävs vid registrering när Magic Link är aktiverad."
"Country","Land"
"Country is required.","Land är obligatoriskt."
"Create","Skapa"
"Create an account","Skapa ett konto"
"Create customer","Skapa kund"
"Create customer address","Skapa kundadress"
"Create New Account Options","Skapa nya kontoalternativ"
"Create New Customer Account","Skapa nytt kundkonto"
"Create Order","Skapa order"
"CSV","CSV"
"Current Admin Password","Nuvarande administratörslösenord"
"Current Password","Nuvarande lösenord"
"Customer","Kund"
"Customer Account Edit Form","Formulär för redigering av kundkonto"
"Customer Account Login Form","Formulär för kundkonto"
"Customer Account Logout Success","Utloggning av kundkonto lyckades"
"Customer Account Registration Form","Formulär för kundkontoregistrering"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Kundkonton kan inte inaktiveras eftersom gästkassan inte är tillåten. Aktivera gästkassan först."
"Customer Account Two-Factor Authentication","Tvåfaktorsautentisering för kundkonto"
"Customer Account Two-Factor Authentication Challenge","Tvåfaktorsautentiseringsutmaning för kundkonto"
"Customer API","Kund API"
"Customer collection expected.","Kund insamling förväntas."
"Customer Configuration","Kundens konfiguration"
"Customer email is required","Kund e-post krävs"
"Customer Forgot Password Form","Kund Glömt lösenordsformulär"
"Customer Group","Kundgrupp"
"Customer Groups","Kund grupper"
"Customer Information","Kundens information"
"Customer Login","Kund inloggning"
"Customer My Account (All Pages)","Kund Mitt Konto (Alla sidor)"
"Customer My Account Address Book","Kund Mitt Konto Adressbok"
"Customer My Account Address Edit Form","Kund Mitt Konto Adress Redigera Formulär"
"Customer My Account Dashboard","Kund Mitt Konto Instrumentpanel"
"Customer registration","Kund registrering"
"Customers","Kunder"
"Customer Since","Kund sedan"
"Customers Only","Endast kunder"
"Customer View","Kundens vy"
"Customer website ID must be specified when using the website scope","Kundens webbplats-ID måste anges när webbplatsen används"
"Customer will stay on the current page if ""No"" is selected.","Kunden kommer att stanna på den aktuella sidan om ""Nej"" är vald."
"Date","Datum"
"Date Added","Tillagd datum"
"Date of Birth","Datum för födelsen"
"Day","Dag"
"Days in Wishlist","Dagar i önskelista"
"DD","DD"
